Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
Наименование Избирательной комиссии:    Шацкая																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026					
1	"Число избирателей, внесенных в списки избирателей"	21763	220	270	425	199	103	91	165	218	271	264	280	146	80	566	1093	988	305	99	77	201	474	323	218	341	198	256	507	88	457	247	232	104	287	250	100	89	385	224	87	257	259	403	322	222	148	147	211	189	1057	1124	1567	1760	1239	1193	551	186					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20945	224	270	420	206	100	94	165	210	250	255	280	150	82	555	1050	970	275	100	82	195	470	315	215	340	197	260	500	89	445	250	230	106	280	250	100	88	360	225	87	250	255	400	315	215	150	140	205	190	1000	1050	1450	1650	1100	1100	555	180					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11301	132	173	251	98	57	56	107	147	147	105	221	66	63	336	569	558	176	53	42	108	204	187	99	199	103	116	269	61	258	182	135	68	180	149	43	38	213	139	54	146	182	161	117	128	99	101	114	94	468	484	758	872	508	528	318	61					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3167	71	74	65	27	10	14	49	37	63	122	31	66	13	142	40	59	66	38	35	55	138	90	88	99	51	64	68	10	54	44	16	17	73	32	36	37	85	60	26	88	39	129	118	41	17	17	26	64	36	21	80	29	59	31	105	102					
6	Число погашенных избирательных бюллетеней	6477	21	23	104	81	33	24	9	26	40	28	28	18	6	77	441	353	33	9	5	32	128	38	28	42	43	80	163	18	133	24	79	21	27	69	21	13	62	26	7	16	34	110	80	46	34	22	65	32	496	545	612	749	533	541	132	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3167	71	74	65	27	10	14	49	37	63	122	31	66	13	142	40	59	66	38	35	55	138	90	88	99	51	64	68	10	54	44	16	17	73	32	36	37	85	60	26	88	39	129	118	41	17	17	26	64	36	21	80	29	59	31	105	102					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11301	132	173	251	98	57	56	107	147	147	105	221	66	63	336	569	558	176	53	42	108	204	187	99	199	103	116	269	61	258	182	135	68	180	149	43	38	213	139	54	146	182	161	117	128	99	101	114	94	468	484	758	872	508	528	318	61					
9	Число недействительных избирательных бюллетеней	98	0	0	5	0	0	0	2	0	2	0	0	0	0	4	3	3	1	0	1	3	3	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	2	0	0	0	4	3	0	2	1	1	2	1	8	2	16	6	4	6	8	0					
10	Число действительных избирательных бюллетеней	14370	203	247	311	125	67	70	154	184	208	227	252	132	76	474	606	614	241	91	76	160	339	276	187	298	154	180	337	71	310	225	150	85	253	181	79	75	296	199	80	234	217	287	235	167	115	117	138	157	496	503	822	895	563	553	415	163					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	557	5	7	10	5	3	3	5	5	11	7	7	4	4	19	30	20	7	3	3	5	10	8	5	10	4	5	10	4	10	7	7	5	7	7	4	3	10	5	3	5	5	10	8	5	4	4	5	4	30	35	35	35	35	35	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	129	0	1	10	0	0	1	0	1	8	0	1	0	0	2	4	0	0	0	0	0	1	0	1	0	0	4	0	0	1	0	0	0	0	5	0	0	5	1	0	0	0	1	3	0	3	1	0	3	3	7	30	10	10	10	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	107	1	1	0	0	3	0	2	3	5	1	0	0	0	2	5	5	2	0	0	0	0	2	2	2	2	0	2	1	4	0	1	0	0	2	1	1	1	0	2	3	1	2	2	1	0	0	1	1	3	10	14	4	5	7	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	428	5	6	0	5	3	2	5	4	3	7	6	4	4	17	26	20	7	3	3	5	9	8	4	10	4	1	10	4	9	7	7	5	7	2	4	3	5	4	3	5	5	9	5	5	1	3	5	1	27	28	5	25	25	25	8	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
