Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Новосибирская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860					
1	"Число избирателей, внесенных в списки избирателей"	84509	2631	2798	2665	2849	3018	1727	2549	2660	265	1551	1119	263	1522	415	169	2300	2458	352	1661	398	1236	1128	174	2763	2389	2576	1416	1623	895	291	385	206	84	2152	1459	827	1566	817	2084	887	2016	1901	1022	599	1641	321	2211	458	2717	1670	558	600	306	1716	1364	1095	153	235	2621	395	712	1648	222					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	75640	2300	2400	2300	2400	2300	1500	2500	2400	260	1400	1000	260	1300	380	160	2200	2200	410	1500	390	1000	1000	180	2500	2200	2100	1200	1400	800	270	340	190	75	2000	1200	800	1400	800	1800	800	1800	1700	950	540	1500	360	2100	400	2400	1500	540	570	300	1600	1300	1000	185	250	2400	380	650	1400	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	46203	1610	1712	1500	1650	1831	759	1486	1207	124	830	654	94	858	240	118	1167	1104	276	1037	180	494	617	112	1392	1281	1164	641	906	555	163	234	172	54	1194	768	382	953	506	968	562	1039	940	491	384	1102	185	1100	240	1388	898	262	280	179	956	667	688	125	202	1400	228	409	1312	173					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2924	37	42	32	61	37	108	65	75	57	32	37	42	58	26	18	108	164	30	58	62	113	74	8	33	16	45	46	22	28	15	16	2	12	16	24	49	49	16	104	9	62	50	50	29	61	65	135	34	37	58	40	20	9	75	92	40	18	10	107	32	46	1	7					
6	Число погашенных избирательных бюллетеней	26513	653	646	768	689	432	633	949	1118	79	538	309	124	384	114	24	925	932	104	405	148	393	309	60	1075	903	891	513	472	217	92	90	16	9	790	408	369	398	278	728	229	699	710	409	127	337	110	865	126	975	544	238	270	112	569	541	272	42	38	893	120	195	87	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2923	37	42	32	61	37	108	65	75	57	32	37	42	58	26	18	108	164	30	58	62	113	74	8	33	16	45	46	22	28	15	16	2	12	16	24	49	49	16	104	9	62	50	50	29	61	65	134	34	37	58	40	20	9	75	92	40	18	10	107	32	46	1	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46181	1610	1710	1496	1649	1830	757	1482	1207	124	830	653	93	858	240	118	1167	1104	276	1037	180	493	617	112	1392	1281	1164	641	906	555	163	234	172	54	1194	767	382	953	506	968	562	1039	940	491	383	1102	185	1099	239	1388	898	262	280	179	955	667	688	125	202	1400	228	409	1312	173					
9	Число недействительных избирательных бюллетеней	579	19	19	27	15	16	10	12	21	3	10	3	0	12	1	0	12	15	2	7	0	31	10	2	20	19	17	6	6	11	1	0	6	0	20	11	5	12	11	10	6	12	19	10	3	12	0	17	4	14	15	5	0	0	3	6	2	1	2	16	2	8	20	0					
10	Число действительных избирательных бюллетеней	48525	1628	1733	1501	1695	1851	855	1535	1261	178	852	687	135	904	265	136	1263	1253	304	1088	242	575	681	118	1405	1278	1192	681	922	572	177	250	168	66	1190	780	426	990	511	1062	565	1089	971	531	409	1151	250	1216	269	1411	941	297	300	188	1027	753	726	142	210	1491	258	447	1293	180					
