Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Белокалитвинская																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №8343									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85513	2249	2048	2499	920	2566	1290	2635	2695	1958	1468	1754	1619	1664	1592	2713	1442	1985	2020	2329	713	635	441	864	1485	1250	1278	486	64	280	189	122	1453	1209	1348	639	515	689	217	2300	2097	1991	695	376	1484	1530	1633	2097	1032	576	949	425	215	612	1500	1556	394	801	2015	727	205	185	373	387	490	939	842	343	592	1024	1010	437	753	137	1468									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	101800	2250	2100	2550	850	2600	1300	2650	2700	1900	1500	1750	1600	1650	1600	2650	1450	2000	2000	2300	700	650	450	850	1550	1050	1450	500	60	275	190	125	1400	1250	1400	700	550	650	225	2350	2200	2000	750	390	1500	1450	1750	2050	1050	600	1000	450	200	500	1600	1550	450	800	2000	750	200	185	350	400	450	950	850	350	600	1050	1050	450	750	150	17200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42756	1135	936	907	420	965	500	1124	1340	688	717	1278	818	827	632	1195	700	1201	877	1090	235	206	181	337	485	858	337	172	35	132	136	98	459	457	778	261	211	343	145	1361	1534	946	412	232	645	627	859	833	431	301	579	242	149	445	1017	1023	241	446	895	391	87	98	199	230	373	627	337	239	306	514	600	306	527	67	1421									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3791	21	24	99	75	145	41	127	16	184	25	22	36	29	25	105	53	38	34	5	54	49	28	56	32	43	44	16	9	29	8	2	54	26	60	40	17	50	35	92	76	136	42	22	62	66	101	122	88	84	95	50	9	44	97	119	27	25	57	50	10	25	42	23	12	81	81	4	50	49	61	31	34	21	47									
6	Число погашенных избирательных бюллетеней	55253	1094	1140	1544	355	1490	759	1399	1344	1028	758	450	746	794	943	1350	697	761	1089	1205	411	395	241	457	1033	149	1069	312	16	114	46	25	887	767	562	399	322	257	45	897	590	918	296	136	793	757	790	1095	531	215	326	158	42	11	486	408	182	329	1048	309	103	62	109	147	65	242	432	107	244	487	389	113	189	62	15732									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3791	21	24	99	75	145	41	127	16	184	25	22	36	29	25	105	53	38	34	5	54	49	28	56	32	43	44	16	9	29	8	2	54	26	60	40	17	50	35	92	76	136	42	22	62	66	101	122	88	84	95	50	9	44	97	119	27	25	57	50	10	25	42	23	12	81	81	4	50	49	61	31	34	21	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42750	1135	936	907	420	965	500	1124	1340	688	716	1278	818	827	632	1195	700	1201	877	1090	235	206	181	337	485	858	335	172	35	132	136	98	459	457	778	261	211	343	145	1361	1534	946	412	232	644	627	859	833	431	301	579	242	149	445	1015	1023	241	446	895	391	87	98	199	230	373	627	337	239	306	514	600	306	527	67	1421									
9	Число недействительных избирательных бюллетеней	882	15	17	43	6	17	17	24	44	18	17	18	22	30	16	23	21	12	26	36	5	3	5	0	5	4	2	0	0	9	1	2	31	11	16	16	10	4	1	7	11	4	16	2	25	12	13	12	12	1	37	6	3	6	73	1	5	2	7	12	5	0	2	5	2	8	0	0	0	9	12	0	10	1	14									
10	Число действительных избирательных бюллетеней	45659	1141	943	963	489	1093	524	1227	1312	854	724	1282	832	826	641	1277	732	1227	885	1059	284	252	204	393	512	897	377	188	44	152	143	98	482	472	822	285	218	389	179	1446	1599	1078	438	252	681	681	947	943	507	384	637	286	155	483	1039	1141	263	469	945	429	92	123	239	248	383	700	418	243	356	554	649	337	551	87	1454									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1665	40	40	20	30	20	20	20	40	20	20	30	20	25	25	30	25	30	30	45	10	10	10	15	35	30	20	10	5	5	5	5	35	25	25	15	10	10	5	80	80	50	20	20	30	40	45	45	30	20	30	30	10	10	30	35	10	10	30	10	5	5	10	10	10	15	20	5	10	20	20	10	20	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1025	15	17	12	16	20	6	16	21	8	20	15	5	17	6	22	11	10	8	18	3	10	10	10	17	11	17	3	0	3	1	0	14	25	16	8	6	5	2	33	80	27	17	14	26	29	36	45	30	20	30	30	10	8	29	35	4	5	9	1	0	5	10	6	2	4	3	2	3	13	19	10	5	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	275	1	0	9	0	4	7	14	12	7	1	9	9	14	2	8	2	5	7	5	3	2	1	9	5	0	1	0	0	3	2	0	2	3	2	2	0	1	1	15	10	4	4	0	7	4	3	3	5	2	4	1	0	1	0	5	1	2	3	2	0	1	0	2	3	4	3	0	1	1	0	2	3	1	25									
14	Число погашенных неиспользованных открепительных удостоверений	640	25	23	8	14	0	14	4	19	12	0	15	15	8	19	8	14	20	22	27	7	0	0	5	18	19	3	7	5	2	4	5	21	0	9	7	4	5	3	47	0	23	3	6	4	11	9	0	0	0	0	0	0	2	1	0	6	5	21	9	5	0	0	4	8	11	17	3	7	7	1	0	15	4	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	432	9	8	13	2	8	3	6	6	4	8	9	2	6	5	12	7	6	2	5	3	7	11	7	12	4	12	2	0	2	0	1	15	11	11	18	6	2	1	15	19	16	7	2	12	9	11	14	5	0	6	4	0	8	8	20	3	1	9	0	0	0	0	1	1	5	2	1	1	3	2	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	720	19	15	13	12	22	11	22	34	24	14	17	19	25	16	26	16	13	12	19	5	10	3	3	7	13	5	4	1	1	2	1	10	3	5	4	3	4	0	11	6	9	3	5	7	22	12	16	7	2	0	6	2	0	5	7	1	7	35	2	1	0	0	4	3	3	1	1	7	6	1	5	4	1	85									
