Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    Максатихинская																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626					
1	"Число избирателей, внесенных в список избирателей"	15373	1914	2020	1990	1910	285	170	408	319	561	520	521	327	241	248	133	165	534	130	259	185	251	555	347	226	369	433	352					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14700	1900	2000	2000	1800	250	150	400	300	500	500	500	300	200	250	125	150	500	125	250	150	200	500	350	200	350	400	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5777	852	890	733	754	111	48	156	107	161	202	191	134	42	68	61	72	183	32	106	69	96	239	108	62	95	153	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1617	24	19	53	66	91	74	27	70	88	148	82	32	57	32	30	30	72	36	39	50	40	36	88	59	89	64	121					
6	Число погашенных избирательных бюллетеней	7306	1024	1091	1214	980	48	28	217	123	251	150	227	134	101	150	34	48	245	57	105	31	64	225	154	79	166	183	177					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1617	24	19	53	66	91	74	27	70	88	148	82	32	57	32	30	30	72	36	39	50	40	36	88	59	89	64	121					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5777	852	890	733	754	111	48	156	107	161	202	191	134	42	68	61	72	183	32	106	69	96	239	108	62	95	153	52					
9	Число недействительных избирательных бюллетеней	77	7	14	10	15	1	0	1	3	1	2	2	1	1	1	0	0	7	0	0	0	0	4	2	2	0	3	0					
10	Число действительных избирательных бюллетеней	7317	869	895	776	805	201	122	182	174	248	348	271	165	98	99	91	102	248	68	145	119	136	271	194	119	184	214	173					
