Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Любытинская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169					
1	"Число избирателей, внесенных в списки избирателей"	8882	98	250	198	101	206	194	82	489	173	331	169	1240	2509	265	121	319	98	98	310	1631					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7046	90	200	170	96	200	170	80	350	150	250	150	900	1800	250	150	300	100	90	300	1250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5054	67	100	86	69	150	124	33	201	81	140	89	758	1474	153	66	148	63	73	132	1047					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1383	13	85	81	20	19	36	40	135	50	101	35	102	123	86	39	98	31	10	119	160					
6	Число погашенных избирательных бюллетеней	609	10	15	3	7	31	10	7	14	19	9	26	40	203	11	45	54	6	7	49	43					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1383	13	85	81	20	19	36	40	135	50	101	35	102	123	86	39	98	31	10	119	160					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5054	67	100	86	69	150	124	33	201	81	140	89	758	1474	153	66	148	63	73	132	1047					
9	Число недействительных избирательных бюллетеней	42	1	0	0	1	0	5	0	1	3	1	0	8	9	4	0	0	0	0	0	9					
10	Число действительных избирательных бюллетеней	6395	79	185	167	88	169	155	73	335	128	240	124	852	1588	235	105	246	94	83	251	1198					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	180	5	5	5	5	5	5	5	10	5	10	5	20	30	5	5	5	5	5	10	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	70	1	2	1	0	0	1	0	6	5	3	1	3	13	5	0	5	0	0	5	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	72	1	2	1	0	1	2	0	0	3	3	0	9	18	3	3	0	4	3	0	19					
14	Число погашенных неиспользованных открепительных удостоверений	110	4	3	4	5	5	4	5	4	0	7	4	17	17	0	5	0	5	5	5	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	10					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	163	6	8	3	4	7	3	2	10	5	9	1	23	42	5	2	3	0	1	8	21					
		2.53%	7.50%	4.32%	1.80%	4.49%	4.14%	1.88%	2.74%	2.98%	3.82%	3.73%	0.81%	2.67%	2.63%	2.09%	1.90%	1.22%	0.00%	1.20%	3.19%	1.74%					
19	2.Всероссийская политическая партия «Гражданская Сила»	35	1	0	1	0	1	0	0	3	0	1	1	1	15	1	0	1	0	0	2	7					
