Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Лыткаринская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	41249	1499	2274	2126	2045	1876	1930	2439	1961	2415	2178	2346	2529	1940	1640	2261	2065	1965	1972	2038	1750									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39650	1450	2200	2050	2000	1750	1850	2350	1900	2350	2100	2250	2450	1850	1550	2200	1950	1900	1900	1950	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15600	572	1138	1152	633	702	701	688	646	852	715	751	885	880	627	1180	696	1014	668	588	512									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	266	20	5	3	1	5	3	4	5	7	8	11	9	34	11	10	6	11	9	44	60									
6	Число погашенных избирательных бюллетеней	23784	858	1057	895	1366	1043	1146	1658	1249	1491	1377	1488	1556	936	912	1010	1248	875	1223	1318	1078									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	266	20	5	3	1	5	3	4	5	7	8	11	9	34	11	10	6	11	9	44	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15588	572	1137	1152	633	702	701	684	646	852	715	751	884	880	627	1180	690	1014	668	588	512									
9	Число недействительных избирательных бюллетеней	280	9	0	33	21	9	20	6	27	23	15	19	14	12	1	27	13	0	11	16	4									
10	Число действительных избирательных бюллетеней	15574	583	1142	1122	613	698	684	682	624	836	708	743	879	902	637	1163	683	1025	666	616	568									
