Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Красносельский район																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №4003	УИК №4004	УИК №4005									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26093	2707	2590	3024	3146	1853	2317	2604	2328	2663	1736	794	191	140									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21300	2100	1800	1800	2000	1300	1600	1900	1600	1900	1300	2000	1000	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10102	998	831	1324	1275	651	762	793	845	961	537	794	191	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	387	23	52	49	80	38	38	36	20	34	17	0	0	0									
6	Число погашенных избирательных бюллетеней	10811	1079	917	427	645	611	800	1071	735	905	746	1206	809	860									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	387	23	52	49	80	38	38	36	20	34	17	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10080	997	826	1316	1273	650	760	792	845	959	537	794	191	140									
9	Число недействительных избирательных бюллетеней	185	18	20	29	19	16	8	10	16	19	14	11	2	3									
10	Число действительных избирательных бюллетеней	10282	1002	858	1336	1334	672	790	818	849	974	540	783	189	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	115	15	10	15	10	10	15	10	10	10	10	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	81	12	9	11	7	10	10	3	6	5	8	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1980	174	63	506	321	74	20	25	98	11	11	346	191	140									
14	Число погашенных неиспользованных открепительных удостоверений	34	3	1	4	3	0	5	7	4	5	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	2	1	0	1	1	0	1	2	1	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	375	48	40	44	38	25	34	25	25	41	23	29	1	2									
		3.58%	4.71%	4.56%	3.22%	2.81%	3.63%	4.26%	3.02%	2.89%	4.13%	4.15%	3.65%	0.52%	1.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	208	20	18	23	28	11	17	14	23	17	20	10	4	3									
		1.99%	1.96%	2.05%	1.68%	2.07%	1.60%	2.13%	1.69%	2.66%	1.71%	3.61%	1.26%	2.09%	2.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	294	18	16	48	60	13	17	28	37	25	17	11	2	2									
		2.81%	1.76%	1.82%	3.52%	4.43%	1.89%	2.13%	3.38%	4.28%	2.52%	3.07%	1.39%	1.05%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3552	374	240	482	451	234	263	264	278	348	174	290	89	65									
		33.94%	36.67%	27.33%	35.31%	33.33%	34.01%	32.96%	31.88%	32.14%	35.05%	31.41%	36.52%	46.60%	46.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	194	25	15	22	35	13	14	7	25	17	11	8	1	1									
		1.85%	2.45%	1.71%	1.61%	2.59%	1.89%	1.75%	0.85%	2.89%	1.71%	1.99%	1.01%	0.52%	0.71%									
24	"6. Политическая партия ""Гражданская Платформа"""	43	5	9	4	8	1	1	4	1	7	2	1	0	0									
		0.41%	0.49%	1.03%	0.29%	0.59%	0.15%	0.13%	0.48%	0.12%	0.70%	0.36%	0.13%	0.00%	0.00%									
