Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																									
Дата голосования: 04.12.2011																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403					
1	"Число избирателей, внесенных в список избирателей"	174976	124	2226	2036	1148	255	484	227	171	121	40	103	117	146	2127	1202	768	1957	1802	2109	575	2143	2084	2009	1641	2861	2194	1138	2404	2477	2364	1581	1271	2319	2567	2229	2425	1508	2042	1917	1654	1681	1802	2604	2620	1688	2679	2092	2546	1397	2114	1769	1994	2133	2342	1635	1062	1361	1625	2322	2206	2725	1636	2379	1334	402	2601	2787	2750	2375	2636	2719	2173	2879	2660	2014	2708	2319	2678	2266	2107	1952	2296	2365	2637	2422	2126	1667	1583	1469	2377	1501	1839	949	2273	445	1359	1118	212					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	157810	1000	2000	2000	1000	300	600	230	300	130	100	150	200	200	2000	1100	700	1600	1500	2000	600	2000	2000	2000	1500	2500	2000	1000	2000	2000	2000	1500	1100	2000	2000	2000	2200	1300	2000	1500	1500	1500	1500	2500	2500	1500	2500	2000	2000	1100	2000	1500	2000	2000	2000	1500	1000	1100	1500	2000	2000	2500	1500	2000	1100	300	2500	2500	2500	2000	2500	2500	2000	2500	2100	2000	2200	2000	2500	2000	2000	1600	2000	2000	2500	2000	2000	1500	1500	1200	2000	1500	1500	800	2000	600	1100	1000	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	85327	124	1026	1003	484	205	327	225	157	56	37	101	79	143	1090	758	446	901	1063	1202	575	1017	1135	962	854	1334	956	314	793	826	1086	488	594	1096	1249	837	1172	617	1060	833	895	810	845	1417	1313	840	1289	1149	1298	645	1150	953	829	995	1157	847	536	774	850	1149	1055	1338	641	1225	556	134	1297	1213	1356	1205	1451	1453	1112	1394	1237	1093	1188	1277	1277	1152	986	1064	1204	1248	1147	1181	1254	605	735	554	1091	761	949	400	1157	292	513	444	122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1972	0	17	26	2	23	99	0	0	58	0	0	27	0	8	16	8	11	40	30	0	27	27	20	34	54	34	5	7	5	13	15	6	13	17	10	29	0	14	16	24	15	57	15	14	22	13	12	29	16	19	23	39	7	18	7	13	7	12	15	22	20	5	26	14	43	11	4	13	18	11	15	10	26	20	22	12	12	25	8	12	15	21	16	17	15	20	17	47	23	26	37	11	39	47	14	8	140	22					
6	Число погашенных избирательных бюллетеней	70511	876	957	971	514	72	174	5	143	16	63	49	94	57	902	326	246	688	397	768	25	956	838	1018	612	1112	1010	681	1200	1169	901	997	500	891	734	1153	999	683	926	651	581	675	598	1068	1173	638	1198	839	673	439	831	524	1132	998	825	646	451	319	638	836	923	1142	854	749	530	123	1192	1283	1131	777	1038	1032	878	1080	843	885	1000	711	1198	840	1002	521	775	736	1336	804	726	878	718	623	883	702	540	361	796	294	579	416	156					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1972	0	17	26	2	23	99	0	0	58	0	0	27	0	8	16	8	11	40	30	0	27	27	20	34	54	34	5	7	5	13	15	6	13	17	10	29	0	14	16	24	15	57	15	14	22	13	12	29	16	19	23	39	7	18	7	13	7	12	15	22	20	5	26	14	43	11	4	13	18	11	15	10	26	20	22	12	12	25	8	12	15	21	16	17	15	20	17	47	23	26	37	11	39	47	14	8	140	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	85278	124	1025	977	484	205	327	225	157	56	37	101	79	143	1089	757	446	901	1063	1202	575	1017	1134	962	854	1334	956	314	793	826	1085	488	594	1096	1249	837	1172	617	1060	833	894	810	845	1417	1313	839	1289	1149	1298	645	1149	953	829	995	1157	847	536	774	850	1149	1055	1338	641	1223	556	134	1295	1213	1356	1204	1451	1453	1112	1394	1237	1091	1188	1277	1276	1151	986	1064	1204	1248	1145	1180	1254	605	735	554	1091	761	949	400	1157	292	513	441	122					
9	Число недействительных избирательных бюллетеней	1314	2	15	21	7	4	10	4	2	3	2	0	2	3	21	13	8	12	17	16	14	14	12	17	14	18	15	3	19	9	16	4	11	11	13	16	16	5	26	13	29	18	6	22	11	12	30	21	22	19	17	19	6	13	25	15	13	10	19	16	22	13	9	18	9	4	24	24	12	12	31	13	23	10	21	14	25	26	14	18	22	10	14	10	12	10	16	10	11	6	16	7	12	5	14	4	4	14	4					
10	Число действительных избирательных бюллетеней	85936	122	1027	982	479	224	416	221	155	111	35	101	104	140	1076	760	446	900	1086	1216	561	1030	1149	965	874	1370	975	316	781	822	1082	499	589	1098	1253	831	1185	612	1048	836	889	807	896	1410	1316	849	1272	1140	1305	642	1151	957	862	989	1150	839	536	771	843	1148	1055	1345	637	1231	561	173	1282	1193	1357	1210	1431	1455	1099	1410	1236	1099	1175	1263	1287	1141	976	1069	1211	1254	1150	1185	1258	612	771	571	1101	791	948	434	1190	302	517	567	140					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3705	0	45	178	25	0	0	0	0	0	0	0	0	0	45	55	25	35	35	45	0	45	45	45	35	50	45	25	45	45	45	35	25	45	50	45	50	145	45	35	35	35	35	50	50	35	50	45	50	25	45	35	45	45	45	35	25	25	35	45	45	50	35	45	25	10	50	50	50	45	50	50	45	50	52	45	45	45	50	45	45	35	45	45	50	45	45	35	35	25	45	35	35	20	45	10	25	25	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2289	0	22	178	14	0	0	0	0	0	0	0	0	0	32	45	13	18	19	37	0	42	31	21	15	30	20	6	24	20	28	20	24	27	36	34	32	117	24	12	30	19	15	22	34	11	32	20	40	14	24	17	15	36	30	20	10	15	14	19	18	38	14	28	11	1	34	25	31	25	44	43	38	37	50	19	42	26	32	22	14	15	29	31	21	21	34	15	12	16	17	5	15	15	31	7	10	25	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2491	124	19	39	9	21	74	30	53	20	8	5	14	32	13	13	16	22	31	33	225	31	20	20	9	40	27	14	21	16	21	9	12	45	69	45	42	25	22	41	17	17	24	33	22	14	32	16	32	25	23	6	18	21	29	22	12	27	25	27	19	27	35	12	15	8	15	25	24	19	19	19	19	33	40	13	26	18	19	30	12	11	18	26	27	19	26	13	20	9	8	9	10	4	16	24	11	11	10					
14	Число погашенных неиспользованных открепительных удостоверений	1416	0	23	0	11	0	0	0	0	0	0	0	0	0	13	10	12	17	16	8	0	3	14	24	20	20	25	19	21	25	17	15	1	18	14	11	18	28	21	23	5	16	20	28	16	24	18	25	10	11	21	18	30	9	15	15	15	10	21	26	27	12	21	17	14	9	16	25	19	20	6	7	7	13	2	26	3	19	18	23	31	20	16	14	29	24	11	20	23	9	28	30	20	5	14	3	15	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	4	0	0	3	2	0	0	0	1	0	0	1	2	3	0	0	0	1	0	0	0	1	1	1	0	0	2	1	1	0	0	2	2	0	0	0	0	2	1	0	0	1	1	0	6	2	1	0	1	0	0	0	2	0	0	0	1	0	1	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	17482	25	215	212	90	40	99	41	27	29	4	16	20	35	211	123	81	199	244	243	20	236	226	208	176	267	183	54	139	170	207	69	130	233	255	144	251	142	207	163	214	184	189	304	298	219	272	224	271	128	252	202	160	213	250	171	146	168	202	264	220	300	115	257	116	29	272	242	268	269	325	336	223	268	269	224	260	261	249	278	175	198	245	250	237	228	243	98	124	83	174	120	137	95	206	57	114	131	21					
		20.04%	20.16%	20.63%	21.14%	18.52%	17.54%	23.24%	18.22%	17.20%	25.44%	10.81%	15.84%	18.87%	24.48%	19.23%	15.91%	17.84%	21.82%	22.12%	19.72%	3.48%	22.61%	19.47%	21.18%	19.82%	19.24%	18.48%	16.93%	17.38%	20.46%	18.85%	13.72%	21.67%	21.01%	20.14%	17.00%	20.90%	23.01%	19.27%	19.20%	23.31%	22.30%	20.95%	21.23%	22.46%	25.44%	20.89%	19.29%	20.42%	19.36%	21.58%	20.70%	18.43%	21.26%	21.28%	20.02%	26.59%	21.51%	23.43%	22.68%	20.43%	22.09%	17.80%	20.58%	20.35%	16.38%	20.83%	19.88%	19.58%	22.01%	22.23%	22.89%	19.88%	18.87%	21.40%	20.13%	21.67%	20.25%	19.14%	23.99%	17.54%	18.35%	20.00%	19.78%	20.40%	19.08%	19.07%	15.76%	15.86%	14.38%	15.58%	15.04%	14.27%	21.64%	17.11%	18.63%	21.88%	22.55%	14.58%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	14106	22	185	180	80	29	66	24	19	18	2	23	16	29	177	138	51	171	130	160	68	182	146	115	133	203	145	71	166	161	175	122	98	194	196	161	174	172	151	119	106	102	133	230	186	88	185	163	221	98	153	159	130	197	184	145	55	102	136	192	182	243	152	194	89	44	218	203	230	167	253	239	191	251	225	172	242	231	213	194	171	181	203	212	216	210	158	140	118	115	188	140	181	76	201	31	80	69	46					
