Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Элистинская городская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №251									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	87649	3100	261	1181	1989	261	212	1175	2286	1376	2308	2747	2446	158	2099	1650	1760	2391	932	2540	316	2045	647	1758	2237	1292	2499	2328	2231	2281	2028	649	1414	1850	1488	1835	2140	2637	2368	2694	1708	1781	2107	1812	2915	2522	1407	2502	1052	1790	444									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76557	2720	210	1050	1760	210	180	990	2020	1230	2040	2410	2130	160	1860	1290	1550	2090	810	2130	270	1810	550	1530	2000	1140	1900	2050	1980	2030	1810	520	1240	1670	1320	1600	1910	2360	2100	2400	1460	1580	1800	1560	2490	2260	1020	2240	940	1740	437									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38665	1418	114	506	837	77	84	509	1001	464	950	1170	951	91	947	818	703	1108	454	1104	97	888	261	699	918	568	1306	1028	1021	1076	826	307	673	846	706	844	1044	1256	1115	1205	720	706	780	719	1372	974	710	1058	501	817	318									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1105	43	1	13	7	81	0	14	9	27	16	14	18	67	44	31	7	22	10	44	27	14	11	19	18	10	11	13	14	14	36	8	11	7	7	14	21	22	14	9	26	27	36	22	13	18	11	30	21	27	106									
6	Число погашенных избирательных бюллетеней	36787	1259	95	531	916	52	96	467	1010	739	1074	1226	1161	2	869	441	840	960	346	982	146	908	278	812	1064	562	583	1009	945	940	948	205	556	817	607	742	845	1082	971	1186	714	847	984	819	1105	1268	299	1152	418	896	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1105	43	1	13	7	81	0	14	9	27	16	14	18	67	44	31	7	22	10	44	27	14	11	19	18	10	11	13	14	14	36	8	11	7	7	14	21	22	14	9	26	27	36	22	13	18	11	30	21	27	106									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38652	1418	114	506	837	77	84	509	1000	464	950	1170	950	91	947	816	703	1108	454	1104	97	888	261	698	918	568	1302	1028	1021	1076	826	307	671	846	706	844	1044	1256	1115	1205	720	706	780	719	1372	974	710	1056	501	817	318									
9	Число недействительных избирательных бюллетеней	1087	30	1	8	21	3	6	4	15	9	15	39	31	2	23	22	25	25	6	25	6	17	9	15	35	14	39	24	23	37	22	7	19	18	132	31	27	47	34	38	21	24	13	14	5	20	14	29	19	14	10									
10	Число действительных избирательных бюллетеней	38670	1431	114	511	823	155	78	519	994	482	951	1145	937	156	968	825	685	1105	458	1123	118	885	263	702	901	564	1274	1017	1012	1053	840	308	663	835	581	827	1038	1231	1095	1176	725	709	803	727	1380	972	707	1057	503	830	414									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1750	55	5	40	40	5	5	20	65	30	40	75	55	0	40	25	25	45	20	50	10	30	10	25	40	25	35	30	40	40	45	15	20	40	45	35	60	55	55	70	35	30	40	40	60	45	20	60	30	25	0									
