Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Новосибирск, Калининская"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651					
1	"Число избирателей, внесенных в список"	139406	2664	2684	2703	2428	952	2124	1737	1952	1697	1427	1481	2068	1662	2001	1366	1507	1192	1388	1983	1909	340	1502	2144	1996	1673	1392	2173	2192	2153	1449	2452	1613	1617	1678	1392	2842	2018	1561	2329	2867	2282	2901	3010	2830	2721	2800	2631	2785	2896	2750	2787	2923	2947	2635	2274	2405	2284	2275	2628	2376	3014	2959	2932	3053					
2	Число полученных избирательных бюллетеней	133270	2550	2600	2600	2300	850	2050	1650	1850	1600	1350	1400	2000	1550	1900	1300	1450	1100	1300	1900	1850	320	1450	2050	1900	1600	1300	2000	2100	2100	1350	2400	1550	1600	1600	1300	2750	1950	1500	2250	2800	2150	2700	2900	2750	2650	2700	2600	2700	2800	2650	2700	2850	2850	2500	2150	2300	2200	2150	2500	2350	2850	2700	2700	2850					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	78629	1483	1569	1503	904	349	624	1028	1215	982	844	861	1225	947	1251	792	980	768	897	1281	1261	38	849	1118	1119	1045	767	1265	1250	1266	832	1246	795	837	858	766	1587	1186	913	1293	1466	1329	1230	1474	1689	1633	1649	1569	1599	1646	1580	1525	1655	1706	1543	1240	1313	1220	1212	1132	1330	1961	1972	1995	2167					
5	"Число избирательных бюллетеней, выданных вне помещения"	2401	40	33	43	57	41	72	23	21	33	30	19	29	37	32	57	38	12	18	28	37	257	57	66	57	24	28	34	34	37	25	35	30	46	25	27	29	24	22	33	29	22	30	29	24	21	51	34	36	16	21	17	28	17	15	76	22	23	29	99	58	19	22	44	29					
6	Число погашенных избирательных бюллетеней	52240	1027	998	1054	1339	460	1354	599	614	585	476	520	746	566	617	451	432	320	385	591	552	25	544	866	724	531	505	701	816	797	493	1119	725	717	717	507	1134	740	565	924	1305	799	1440	1397	1037	996	1000	997	1065	1138	1049	1158	1167	1127	942	834	965	957	909	1269	962	870	706	661	654					
7	Число избирательных бюллетеней в переносных ящиках	2400	40	33	43	57	41	72	23	21	33	30	19	28	37	32	57	38	12	18	28	37	257	57	66	57	24	28	34	34	37	25	35	30	46	25	27	29	24	22	33	29	22	30	29	24	21	51	34	36	16	21	17	28	17	15	76	22	23	29	99	58	19	22	44	29					
8	Число бюллетеней в стационарных ящиках для голосования	78466	1481	1569	1502	904	349	624	1028	1213	982	843	859	1223	947	1251	790	980	768	896	1279	1260	38	847	1118	1119	1045	767	1264	1250	1262	832	1246	795	837	858	766	1584	1162	913	1293	1466	1329	1230	1470	1689	1632	1641	1568	1599	1645	1580	1525	1646	1700	1543	1224	1286	1193	1212	1132	1327	1961	1963	1994	2167					
9	Число недействительных избирательных бюллетеней	639	6	9	14	13	5	7	5	15	8	3	10	14	6	11	7	7	1	2	13	11	1	5	1	19	1	3	1	12	13	8	13	4	4	12	11	9	7	12	2	21	15	11	11	22	12	11	10	12	10	15	5	12	7	7	12	9	15	21	34	17	5	8	13	19					
10	Число действительных избирательных бюллетеней	80227	1515	1593	1531	948	385	689	1046	1219	1007	870	868	1237	978	1272	840	1011	779	912	1294	1286	294	899	1183	1157	1068	792	1297	1272	1286	849	1268	821	879	871	782	1604	1179	923	1324	1474	1336	1249	1488	1691	1641	1681	1592	1623	1651	1586	1537	1662	1710	1551	1288	1299	1201	1220	1197	1368	1975	1977	2025	2177					
