Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Шовгеновская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261					
1	"Число избирателей, внесенных в списки"	13434	522	748	381	1050	844	412	812	296	113	1856	1323	296	1530	898	850	705	798					
2	"Число бюллетеней, полученных участковыми комиссиями"	13420	519	752	380	1037	834	408	818	310	126	1859	1311	299	1542	889	837	701	798					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10118	367	384	222	816	601	330	567	253	104	1526	786	184	1273	768	737	480	720					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	770	53	109	24	13	57	0	6	14	3	76	200	39	16	42	51	52	15					
6	Число погашенных бюллетеней	2532	99	259	134	208	176	78	245	43	19	257	325	76	253	79	49	169	63					
7	Число бюллетеней в переносных ящиках для голосования	770	53	109	24	13	57	0	6	14	3	76	200	39	16	42	51	52	15					
8	Число бюллетеней в стационарных ящиках для голосования	10116	367	384	221	815	601	330	567	253	104	1526	786	184	1273	768	737	480	720					
9	Число недействительных бюллетеней	77	9	11	3	12	4	5	1	1	0	0	14	1	7	1	3	5	0					
10	Число действительных бюллетеней	10809	411	482	242	816	654	325	572	266	107	1602	972	222	1282	809	785	527	735					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	34	2	2	2	2	2	2	2	2	1	3	2	1	3	2	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	4	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	0	0	4	1	0	0	0	0	1	0	1	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	30	2	2	2	2	1	2	2	1	1	2	1	1	3	2	2	2	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	165	8	8	8	5	9	2	31	1	0	28	9	4	22	0	9	19	2					
		1.51%	1.90%	1.62%	3.26%	0.60%	1.36%	0.60%	5.41%	0.37%	0.0%	1.74%	0.91%	1.79%	1.70%	0.0%	1.14%	3.57%	0.27%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	23	2	1	1	0	0	1	2	1	2	6	2	0	3	0	0	2	0					
		0.21%	0.47%	0.20%	0.40%	0.0%	0.0%	0.30%	0.34%	0.37%	1.86%	0.37%	0.20%	0.0%	0.23%	0.0%	0.0%	0.37%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	43	0	0	2	4	2	0	8	0	0	3	8	6	6	1	0	3	0					
		0.39%	0.0%	0.0%	0.81%	0.48%	0.30%	0.0%	1.39%	0.0%	0.0%	0.18%	0.81%	2.69%	0.46%	0.12%	0.0%	0.56%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	51	4	5	2	2	2	1	9	3	0	6	6	0	3	0	3	3	2					
		0.46%	0.95%	1.01%	0.81%	0.24%	0.30%	0.30%	1.57%	1.12%	0.0%	0.37%	0.60%	0.0%	0.23%	0.0%	0.38%	0.56%	0.27%					
22	"5. ""За Русь Святую"""	11	0	1	1	0	4	0	2	2	0	0	0	0	1	0	0	0	0					
		0.10%	0.0%	0.20%	0.40%	0.0%	0.60%	0.0%	0.34%	0.74%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	1	0	2	1	2	1	1	1	0	0	0	0	1	0	2	0	0					
		0.11%	0.23%	0.0%	0.81%	0.12%	0.30%	0.30%	0.17%	0.37%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.25%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	23	4	2	1	0	2	0	5	0	0	0	1	0	4	1	0	3	0					
		0.21%	0.95%	0.40%	0.40%	0.0%	0.30%	0.0%	0.87%	0.0%	0.0%	0.0%	0.10%	0.0%	0.31%	0.12%	0.0%	0.56%	0.0%					
25	"8. ""Народно-республиканская партия России"""	18	0	1	0	1	1	0	1	2	1	0	1	0	1	0	3	6	0					
		0.16%	0.0%	0.20%	0.0%	0.12%	0.15%	0.0%	0.17%	0.74%	0.93%	0.0%	0.10%	0.0%	0.07%	0.0%	0.38%	1.12%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	1	0	1	1	0	3	0	0	0	1	0	0	0	0	0	0					
		0.07%	0.23%	0.20%	0.0%	0.12%	0.15%	0.0%	0.52%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	213	18	33	14	38	21	14	11	8	3	12	11	1	15	1	5	5	3					
		1.95%	4.28%	6.69%	5.71%	4.58%	3.19%	4.24%	1.91%	2.99%	2.80%	0.74%	1.11%	0.44%	1.16%	0.12%	0.63%	0.93%	0.40%					
28	"11. ""Истинные патриоты России"""	33	0	0	0	0	0	2	1	2	0	3	2	0	1	0	3	3	16					
		0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.17%	0.74%	0.0%	0.18%	0.20%	0.0%	0.07%	0.0%	0.38%	0.56%	2.17%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	42	9	3	3	5	1	2	7	0	0	3	1	0	1	0	2	5	0					
		0.38%	2.14%	0.60%	1.22%	0.60%	0.15%	0.60%	1.22%	0.0%	0.0%	0.18%	0.10%	0.0%	0.07%	0.0%	0.25%	0.93%	0.0%					
30	"13. ""Демократическая партия России"""	12	1	1	0	2	0	0	3	1	0	0	3	0	0	0	0	1	0					
		0.11%	0.23%	0.20%	0.0%	0.24%	0.0%	0.0%	0.52%	0.37%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	0	0	0	3	3	0	13	2	0	0	4	1	0	0	0	1	0					
		0.24%	0.0%	0.0%	0.0%	0.36%	0.45%	0.0%	2.26%	0.74%	0.0%	0.0%	0.40%	0.44%	0.0%	0.0%	0.0%	0.18%	0.0%					
32	"15. ""Партия СЛОН"""	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.18%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	147	15	20	6	18	10	5	2	4	1	22	7	11	12	1	4	9	0					
		1.35%	3.57%	4.05%	2.44%	2.17%	1.51%	1.51%	0.34%	1.49%	0.93%	1.37%	0.70%	4.93%	0.93%	0.12%	0.50%	1.69%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	1	1	0	3	0	0	1	2	0	0	4	1	0	0	0	2	0					
		0.13%	0.23%	0.20%	0.0%	0.36%	0.0%	0.0%	0.17%	0.74%	0.0%	0.0%	0.40%	0.44%	0.0%	0.0%	0.0%	0.37%	0.0%					
35	"18. ""ЛДПР"""	291	39	34	26	64	31	32	5	13	3	5	7	12	3	1	4	12	0					
		2.67%	9.28%	6.89%	10.61%	7.72%	4.71%	9.69%	0.87%	4.86%	2.80%	0.31%	0.70%	5.38%	0.23%	0.12%	0.50%	2.25%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	55	7	5	3	10	5	1	5	2	0	6	5	2	1	0	1	2	0					
		0.50%	1.66%	1.01%	1.22%	1.20%	0.75%	0.30%	0.87%	0.74%	0.0%	0.37%	0.50%	0.89%	0.07%	0.0%	0.12%	0.37%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	7705	263	278	147	398	487	222	363	198	88	1257	676	163	1079	595	505	320	666					
		70.77%	62.61%	56.38%	59.99%	48.06%	74.01%	67.27%	63.35%	74.15%	82.24%	78.46%	68.55%	73.09%	83.70%	73.45%	64.08%	60.15%	90.61%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	0	1	0	2	0	0	1	0	1	0	2	0	2	0	0	0	0					
		0.08%	0.0%	0.20%	0.0%	0.24%	0.0%	0.0%	0.17%	0.0%	0.93%	0.0%	0.20%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	7	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	2	0					
		0.06%	0.23%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.07%	0.0%	0.0%	0.37%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1707	26	70	18	221	51	33	84	22	4	234	198	16	111	208	239	127	45					
		15.68%	6.19%	14.19%	7.34%	26.69%	7.75%	10.0%	14.65%	8.23%	3.73%	14.60%	20.08%	7.17%	8.61%	25.67%	30.32%	23.87%	6.12%					
																								
41	Против всех	190	11	17	8	37	22	9	14	2	4	17	22	5	15	1	4	1	1					
