Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Симферопольская - 19																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1147	УИК №1148	УИК №1152	УИК №1153	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43631	1538	1803	728	747	1145	514	2192	529	1232	420	985	1745	1786	2253	767	1685	2661	1592	1829	1144	1254	1165	1677	1679	1559	1499	2453	2375	1711	697	267									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33820	1200	1400	570	590	890	400	1700	400	950	320	760	1360	1400	1760	600	1300	1960	1250	1410	860	970	900	1310	1300	1210	1170	1910	1850	1320	540	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19014	769	674	321	317	502	301	813	295	472	153	447	692	128	746	456	891	1733	767	688	680	609	629	763	992	876	344	1153	958	358	304	183									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1329	42	51	22	35	65	31	252	30	37	25	19	53	17	34	11	25	18	32	34	35	22	45	84	43	28	25	43	47	7	56	61									
6	Число погашенных избирательных бюллетеней	13477	389	675	227	238	323	68	635	75	441	142	294	615	1255	980	133	384	209	451	688	145	339	226	463	265	306	801	714	845	955	180	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1329	42	51	22	35	65	31	252	30	37	25	19	53	17	34	11	25	18	32	34	35	22	45	84	43	28	25	43	47	7	56	61									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19014	769	674	321	317	502	301	813	295	472	153	447	692	128	746	456	891	1733	767	688	680	609	629	763	992	876	344	1153	958	358	304	183									
9	Число недействительных избирательных бюллетеней	369	17	26	14	6	18	7	17	8	4	1	4	22	7	15	6	10	25	30	15	4	8	4	6	15	26	12	9	12	10	3	8									
10	Число действительных избирательных бюллетеней	19974	794	699	329	346	549	325	1048	317	505	177	462	723	138	765	461	906	1726	769	707	711	623	670	841	1020	878	357	1187	993	355	357	236									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	957	34	40	16	17	25	11	48	12	27	9	22	38	39	49	18	37	74	25	40	25	27	25	37	37	34	33	54	52	37	15	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	319	10	13	5	12	5	4	10	0	5	1	8	13	8	18	3	6	72	3	11	2	9	12	15	7	16	13	14	18	5	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	147	9	7	4	2	2	2	0	1	3	0	5	2	9	9	1	8	36	7	7	1	3	4	3	3	7	1	5	0	3	3	0									
