Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																		
Дата голосования: 18.09.2016																		
																		
Наименование Избирательной комиссии:    Момская																		
																		
Сводная таблица итогов голосования по федеральному избирательному округу																		
																		
		Сумма	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2759	1592	80	232	157	123	416	159									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2913	1550	84	280	195	139	490	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	64	5	0	7	5	3	38	6									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1510	792	58	157	122	90	194	97									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	142	94	2	9	8	2	21	6									
6	Число погашенных избирательных бюллетеней	1197	659	24	107	60	44	237	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	206	99	2	16	13	5	59	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1510	792	58	157	122	90	194	97									
9	Число недействительных избирательных бюллетеней	24	16	1	3	2	0	1	1									
10	Число действительных избирательных бюллетеней	1692	875	59	170	133	95	252	108									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	63	32	0	10	5	0	15	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	55	32	0	10	5	0	7	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	5	3	0	0	0	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	8	0	0	0	0	0	8	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	20	3	0	3	10	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0									
																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	13	0	2	0	2	1	5									
		1.34%	1.46%	0.00%	1.16%	0.00%	2.11%	0.40%	4.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	62	35	1	5	6	4	10	1									
		3.61%	3.93%	1.67%	2.89%	4.44%	4.21%	3.95%	0.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	34	21	0	4	1	1	7	0									
		1.98%	2.36%	0.00%	2.31%	0.74%	1.05%	2.77%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	878	392	41	103	75	60	135	72									
		51.17%	43.99%	68.33%	59.54%	55.56%	63.16%	53.36%	66.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	10	0	0	1	0	3	0									
		0.82%	1.12%	0.00%	0.00%	0.74%	0.00%	1.19%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	6	0	0	0	0	2	0									
		0.47%	0.67%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	104	77	0	8	3	3	9	4									
		6.06%	8.64%	0.00%	4.62%	2.22%	3.16%	3.56%	3.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	6	0	0	0	0	0	0									
		0.35%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	5	0	0	1	0	0	0									
		0.35%	0.56%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	6	0	0	0	0	0	0									
		0.35%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	12	8	0	0	0	0	4	0									
		0.70%	0.90%	0.00%	0.00%	0.00%	0.00%	1.58%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	274	168	8	20	20	17	27	14									
		15.97%	18.86%	13.33%	11.56%	14.81%	17.89%	10.67%	12.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	4	0	0	0	0	4	0									
		0.47%	0.45%	0.00%	0.00%	0.00%	0.00%	1.58%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	257	124	9	28	26	8	50	12									
		14.98%	13.92%	15.00%	16.18%	19.26%	8.42%	19.76%	11.01%									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
