Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Каспийская городская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	53234	2767	2724	2571	2369	1823	2392	1480	1941	2404	2000	2398	2542	1859	2815	2869	2562	1867	2890	2932	2998	3171	1860									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52500	2756	2723	2492	2287	1819	2313	1476	1937	2325	1996	2336	2538	1855	2736	2791	2543	1772	2839	2933	2999	3173	1861									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	49651	2636	2616	2468	2255	1750	1581	1406	1846	2097	1900	2249	2440	1785	2525	2691	2434	1766	2748	2795	2852	3044	1767									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	105	0	0	0	3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	2744	120	107	24	29	69	630	70	91	228	96	87	98	70	211	100	109	6	91	138	147	129	94									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	105	0	0	0	3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	49507	2636	2616	2468	2218	1750	1581	1406	1846	2097	1900	2249	2440	1785	2525	2584	2434	1766	2748	2795	2852	3044	1767									
9	Число недействительных избирательных бюллетеней	231	0	0	0	30	0	24	0	0	82	0	10	0	0	58	27	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	49381	2636	2616	2468	2191	1750	1659	1406	1846	2015	1900	2239	2440	1785	2467	2557	2434	1766	2748	2795	2852	3044	1767									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	188	7	7	6	6	6	6	5	6	6	6	7	6	6	42	8	8	8	8	8	8	10	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	47	0	3	0	0	0	0	0	0	2	0	0	1	0	31	4	0	0	3	0	1	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	105	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	141	7	4	6	6	6	6	5	6	4	6	7	5	6	11	4	8	8	5	8	7	9	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	1	1	1	0	0	2	0	2	1	2	2	1	0	32	0	0	0	0	0	4	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	0	0	0	5	0	1	0	0	2	0	3	0	0	9	8	0	0	0	0	0	0	0									
		0.06%	0.00%	0.00%	0.00%	0.23%	0.00%	0.06%	0.00%	0.00%	0.10%	0.00%	0.13%	0.00%	0.00%	0.36%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	159	8	14	0	12	4	7	0	2	25	0	13	0	0	20	19	8	2	12	0	0	13	0									
		0.32%	0.30%	0.54%	0.00%	0.54%	0.23%	0.42%	0.00%	0.11%	1.19%	0.00%	0.58%	0.00%	0.00%	0.79%	0.74%	0.33%	0.11%	0.44%	0.00%	0.00%	0.43%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	308	25	18	0	3	22	5	18	7	2	12	2	12	9	6	6	56	20	29	13	25	18	0									
		0.62%	0.95%	0.69%	0.00%	0.14%	1.26%	0.30%	1.28%	0.38%	0.10%	0.63%	0.09%	0.49%	0.50%	0.24%	0.23%	2.30%	1.13%	1.06%	0.47%	0.88%	0.59%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	44009	2291	2330	2246	1908	1582	1541	1270	1678	1799	1720	1943	2205	1599	2106	2211	2150	1590	2441	2478	2576	2755	1590									
		88.71%	86.91%	89.07%	91.00%	85.91%	90.40%	91.56%	90.33%	90.90%	85.79%	90.53%	86.39%	90.37%	89.58%	83.41%	85.57%	88.33%	90.03%	88.83%	88.66%	90.32%	90.51%	89.98%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	7	0	0	5	0	0	0	0	4	0	2	0	0	9	6	0	0	0	0	0	0	0									
		0.07%	0.27%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.09%	0.00%	0.00%	0.36%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	0	0	0	1	0	3	0	0	3	0	1	0	0	9	1	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.05%	0.00%	0.18%	0.00%	0.00%	0.14%	0.00%	0.04%	0.00%	0.00%	0.36%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	233	0	0	0	10	0	17	0	0	21	0	17	0	0	91	3	0	0	0	0	74	0	0									
		0.47%	0.00%	0.00%	0.00%	0.45%	0.00%	1.01%	0.00%	0.00%	1.00%	0.00%	0.76%	0.00%	0.00%	3.60%	0.12%	0.00%	0.00%	0.00%	0.00%	2.59%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	0	0	1	0	0	0	0	3	0	1	0	0	4	4	0	0	0	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.04%	0.00%	0.00%	0.16%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	0	0	0	0	0	1	0	0	3	0	6	0	0	8	2	0	0	0	0	7	0	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.14%	0.00%	0.27%	0.00%	0.00%	0.32%	0.08%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%									
