Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Калганская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555					
1	"Число избирателей, внесенных в списки"	7013	526	222	640	872	2628	149	617	412	339	413	195					
2	"Число бюллетеней, полученных участковыми комиссиями"	7331	574	235	734	917	2555	166	645	443	397	428	237					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3893	368	140	371	538	1244	122	356	200	170	256	128					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	284	0	7	63	16	122	5	20	18	0	12	21					
6	Число погашенных бюллетеней	3154	206	88	300	363	1189	39	269	225	227	160	88					
7	Число бюллетеней в переносных ящиках для голосования	367	0	7	63	99	122	5	20	18	0	12	21					
8	Число бюллетеней в стационарных ящиках для голосования	3809	368	140	370	455	1244	122	356	200	170	256	128					
9	Число недействительных бюллетеней	74	1	6	4	24	13	1	0	7	2	8	8					
10	Число действительных бюллетеней	4102	367	141	429	530	1353	126	376	211	168	260	141					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	7	3	10	17	34	2	9	6	5	5	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	15	0	0	0	0	12	0	3	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	13	2	1	1	0	5	1	0	1	1	0	1					
14	Число погашенных открепительных удостоверений	85	7	3	10	17	22	2	6	6	5	5	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	62	5	3	4	9	13	0	4	5	6	6	7					
		1.48%	1.35%	2.04%	0.92%	1.62%	0.95%	0.0%	1.06%	2.29%	3.52%	2.23%	4.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	23	0	0	4	3	6	0	4	2	0	3	1					
		0.55%	0.0%	0.0%	0.92%	0.54%	0.43%	0.0%	1.06%	0.91%	0.0%	1.11%	0.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	139	6	8	23	28	35	9	7	8	3	6	6					
		3.32%	1.63%	5.44%	5.31%	5.05%	2.56%	7.08%	1.86%	3.66%	1.76%	2.23%	4.02%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	34	1	0	1	5	15	1	2	2	1	5	1					
