Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Партизанская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21369	494	937	1284	609	774	498	773	771	473	1259	435	572	693	1226	1613	1705	1629	1384	1343	497	642	453	691	614									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21390	500	950	1300	620	780	500	740	800	470	1260	430	580	690	1230	1600	1700	1620	1380	1350	500	630	460	680	620									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	123	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8434	108	305	462	171	358	164	388	423	165	532	133	159	312	566	739	726	664	509	426	184	221	191	269	259									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	485	8	38	56	34	32	9	7	6	5	21	58	16	16	23	24	29	11	25	25	8	6	9	15	4									
6	Число погашенных избирательных бюллетеней	12348	308	607	782	415	390	327	345	371	300	707	239	405	362	641	837	945	945	846	899	308	403	260	349	357									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	608	84	38	56	34	32	9	7	6	5	21	58	16	16	23	24	29	11	25	25	8	6	9	62	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8431	108	305	462	171	358	164	388	423	165	532	133	159	312	565	737	726	664	509	426	184	221	191	269	259									
9	Число недействительных избирательных бюллетеней	457	11	11	63	7	17	6	19	30	10	17	3	23	10	20	38	27	32	39	27	3	16	14	7	7									
10	Число действительных избирательных бюллетеней	8582	181	332	455	198	373	167	376	399	160	536	188	152	318	568	723	728	643	495	424	189	211	186	324	256									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	608	10	25	25	10	9	15	44	49	10	25	10	9	15	34	62	54	34	34	35	9	25	15	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	166	8	13	11	10	6	0	10	32	1	9	0	1	4	4	5	10	4	7	7	3	1	9	5	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	127	4	0	1	4	1	1	33	10	1	8	0	1	1	1	8	5	21	7	6	3	3	3	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	442	2	12	14	0	3	15	34	17	9	16	10	8	11	30	57	44	30	27	28	6	24	6	20	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	1	0	1	1	0	0	0	1	0	1	3	6	6	1	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	114	7	1	8	2	3	2	6	8	4	3	1	0	4	11	8	12	7	5	7	3	3	3	2	4									
		1.26%	3.65%	0.29%	1.54%	0.98%	0.77%	1.16%	1.52%	1.86%	2.35%	0.54%	0.52%	0.00%	1.22%	1.87%	1.05%	1.59%	1.04%	0.94%	1.55%	1.56%	1.32%	1.50%	0.60%	1.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	306	6	17	18	5	8	8	10	9	5	24	5	6	7	20	27	27	26	14	17	8	8	9	11	11									
		3.39%	3.13%	4.96%	3.47%	2.44%	2.05%	4.62%	2.53%	2.10%	2.94%	4.34%	2.62%	3.43%	2.13%	3.40%	3.55%	3.58%	3.85%	2.62%	3.77%	4.17%	3.52%	4.50%	3.32%	4.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	280	5	17	17	3	5	6	20	13	8	16	5	4	5	9	25	24	29	21	9	6	9	2	15	7									
		3.10%	2.60%	4.96%	3.28%	1.46%	1.28%	3.47%	5.06%	3.03%	4.71%	2.89%	2.62%	2.29%	1.52%	1.53%	3.29%	3.18%	4.30%	3.93%	1.99%	3.13%	3.96%	1.00%	4.53%	2.66%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3540	101	148	218	86	187	70	130	167	72	199	84	80	117	248	281	264	278	233	192	62	83	66	109	65									
		39.16%	52.60%	43.15%	42.08%	41.95%	47.95%	40.46%	32.91%	38.93%	42.35%	35.99%	43.98%	45.71%	35.67%	42.18%	36.93%	34.97%	41.19%	43.63%	42.57%	32.29%	36.56%	33.00%	32.93%	24.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	0	1	0	0	5	1	3	8	1	5	0	0	2	3	4	17	6	9	2	2	1	3	3	4									
		0.89%	0.00%	0.29%	0.00%	0.00%	1.28%	0.58%	0.76%	1.86%	0.59%	0.90%	0.00%	0.00%	0.61%	0.51%	0.53%	2.25%	0.89%	1.69%	0.44%	1.04%	0.44%	1.50%	0.91%	1.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	2	1	0	1	1	0	0	0	0	0	1	1	0	0	2	0	1	2	1	1	1	0	0	0									
		0.17%	1.04%	0.29%	0.00%	0.49%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.57%	0.00%	0.00%	0.26%	0.00%	0.15%	0.37%	0.22%	0.52%	0.44%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2388	30	79	77	55	97	38	148	135	40	154	58	44	119	146	184	193	173	125	111	55	59	56	122	90									
		26.42%	15.63%	23.03%	14.86%	26.83%	24.87%	21.97%	37.47%	31.47%	23.53%	27.85%	30.37%	25.14%	36.28%	24.83%	24.18%	25.56%	25.63%	23.41%	24.61%	28.65%	25.99%	28.00%	36.86%	34.22%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	45	1	2	5	0	1	1	0	2	1	3	0	0	0	7	3	5	0	2	3	3	1	1	3	1									
		0.50%	0.52%	0.58%	0.97%	0.00%	0.26%	0.58%	0.00%	0.47%	0.59%	0.54%	0.00%	0.00%	0.00%	1.19%	0.39%	0.66%	0.00%	0.37%	0.67%	1.56%	0.44%	0.50%	0.91%	0.38%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	77	1	2	2	1	1	0	2	1	1	4	0	1	1	4	11	14	11	3	1	0	2	3	6	5									
		0.85%	0.52%	0.58%	0.39%	0.49%	0.26%	0.00%	0.51%	0.23%	0.59%	0.72%	0.00%	0.57%	0.30%	0.68%	1.45%	1.85%	1.63%	0.56%	0.22%	0.00%	0.88%	1.50%	1.81%	1.90%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	0	0	1	1	0	0	2	2	0	1	0	1	0	2	6	2	2	0	1	0	0	4	1	2									
		0.31%	0.00%	0.00%	0.19%	0.49%	0.00%	0.00%	0.51%	0.47%	0.00%	0.18%	0.00%	0.57%	0.00%	0.34%	0.79%	0.26%	0.30%	0.00%	0.22%	0.00%	0.00%	2.00%	0.30%	0.76%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	92	4	2	3	0	0	2	2	4	2	3	2	2	2	4	15	5	9	7	3	4	3	5	4	5									
		1.02%	2.08%	0.58%	0.58%	0.00%	0.00%	1.16%	0.51%	0.93%	1.18%	0.54%	1.05%	1.14%	0.61%	0.68%	1.97%	0.66%	1.33%	1.31%	0.67%	2.08%	1.32%	2.50%	1.21%	1.90%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1301	20	49	88	39	52	33	42	40	21	100	25	12	49	91	126	125	76	63	61	37	32	27	39	54									
		14.39%	10.42%	14.29%	16.99%	19.02%	13.33%	19.08%	10.63%	9.32%	12.35%	18.08%	13.09%	6.86%	14.94%	15.48%	16.56%	16.56%	11.26%	11.80%	13.53%	19.27%	14.10%	13.50%	11.78%	20.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	0	2	1	0	1	0	2	2	1	3	0	0	0	1	2	7	6	0	2	0	0	0	0	0									
		0.33%	0.00%	0.58%	0.19%	0.00%	0.26%	0.00%	0.51%	0.47%	0.59%	0.54%	0.00%	0.00%	0.00%	0.17%	0.26%	0.93%	0.89%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	286	4	11	17	5	12	6	9	8	4	21	7	1	12	22	29	33	19	11	14	8	9	7	9	8									
		3.16%	2.08%	3.21%	3.28%	2.44%	3.08%	3.47%	2.28%	1.86%	2.35%	3.80%	3.66%	0.57%	3.66%	3.74%	3.81%	4.37%	2.81%	2.06%	3.10%	4.17%	3.96%	3.50%	2.72%	3.04%									
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
