Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																															
																																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																															
																																																																																																															
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1619	УИК №1620	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1628	УИК №1630	УИК №1631	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1680	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1703	УИК №1712	УИК №1713	УИК №1714					
1	"Число избирателей, внесенных в списки"	48236	2304	2941	2683	2654	2220	2484	1676	1317	1279	1322	911	2117	1384	2915	1997	2355	2572	2581	2213	2587	478	598	547	1960	324	22	24	26	21	23	18	24	23	43	21	24	26	27	26	24	23	29	29	20	24	20	25	21	23	23	24	24	21	24	27	30	29	21	23	38	22	21	21	24	24	33	23	24	26	27	28	23	22	27	21	21	22	23	24	27	23	26	25	27	20	28	27	23	23	24	26	23	23	22	25	25	27	32	27	29	21	61	98	53					
2	"Число бюллетеней, полученных участковыми комиссиями"	44423	2100	2600	2400	2200	1900	2200	1500	1400	1400	1200	700	1900	1700	2500	2200	1800	2300	2200	1900	2300	600	600	1200	1500	300	22	24	26	21	23	18	0	23	43	21	24	0	27	26	24	23	29	29	20	24	20	26	21	23	23	24	24	21	24	27	0	29	21	23	38	22	0	21	24	24	33	0	24	26	27	28	23	22	27	25	21	22	23	0	27	23	26	25	27	20	0	27	23	23	24	26	23	23	22	25	25	27	32	27	29	21	62	0	53					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	21785	685	1230	962	1019	865	1241	745	584	579	435	407	763	717	1199	961	1027	1139	1232	957	1063	260	121	530	1008	282	22	24	23	21	22	18	0	23	43	19	24	0	26	26	24	22	24	26	20	24	20	25	21	23	23	24	24	21	24	27	0	29	21	23	35	22	0	19	23	24	33	0	24	26	25	28	22	22	27	21	21	22	23	0	23	23	26	23	26	20	0	27	23	23	24	24	23	23	22	25	25	27	32	27	29	21	56	0	49					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	395	20	10	11	7	5	18	14	15	29	8	12	33	3	10	15	23	31	20	18	16	2	0	17	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	22243	1395	1360	1427	1174	1030	941	741	801	792	757	281	1104	980	1291	1224	750	1130	948	925	1221	338	479	653	434	18	0	0	3	0	1	0	0	0	0	2	0	0	1	0	0	1	5	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	0	0	0	0	2	0	1	0	0	4	0	0	0	0	4	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	4					
7	Число бюллетеней в переносных ящиках для голосования	560	20	10	11	7	6	18	14	15	29	8	12	33	3	10	15	23	31	20	18	16	2	0	17	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	22	25	0	27	0	0	0	21	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	21523	685	1230	962	1019	859	1240	745	584	576	435	407	761	716	1199	957	1026	1138	1155	956	1063	260	121	530	1008	282	22	24	23	20	22	18	0	23	43	19	24	0	26	26	24	22	24	26	0	24	20	25	21	23	23	24	24	21	24	27	0	29	21	23	35	22	0	19	23	24	33	0	24	0	25	28	22	22	27	21	21	22	23	0	23	0	26	23	26	20	0	27	23	23	24	24	23	23	0	0	25	0	32	27	29	0	56	0	49					
9	Число недействительных бюллетеней	292	6	14	23	10	0	13	14	3	7	5	3	5	2	9	14	74	19	25	7	9	0	0	6	1	4	0	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0					
10	Число действительных бюллетеней	21791	699	1226	950	1016	865	1245	745	596	598	438	416	789	717	1200	958	975	1150	1150	967	1070	262	121	541	1065	278	22	24	23	20	22	18	0	23	41	19	20	0	26	26	23	22	24	26	20	24	20	25	21	23	23	24	24	21	24	26	0	29	21	23	35	22	0	19	23	24	33	0	24	26	25	28	22	22	27	21	21	22	22	0	23	21	26	22	26	19	0	27	23	21	23	24	23	23	22	25	25	27	29	27	29	21	56	0	49					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	302	10	10	10	10	10	20	10	10	10	10	10	10	11	10	10	20	20	20	10	11	20	10	10	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	172	5	3	5	5	4	9	8	3	9	4	0	6	6	10	8	11	9	14	5	11	19	5	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	180	4	9	7	10	8	11	16	6	15	11	8	13	5	6	6	6	7	9	5	2	4	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	130	5	7	5	5	6	11	2	7	1	6	10	4	5	0	2	9	11	6	5	0	1	5	3	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	17	3	0	1	0	1	1	1	0	2	1	3	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																															
18	"1. ""ЕДИНЕНИЕ"""	224	10	14	24	18	7	4	3	4	5	5	3	9	5	7	14	9	10	5	4	4	5	3	9	20	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	1	0	0	3					
		1.01%	1.41%	1.12%	2.46%	1.75%	0.80%	0.31%	0.39%	0.66%	0.82%	1.12%	0.71%	1.13%	0.69%	0.57%	1.44%	0.85%	0.85%	0.42%	0.41%	0.37%	1.90%	2.47%	1.64%	1.87%	1.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	2.32%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	4.16%	3.84%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	11.42%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	4.16%	4.16%	0.0%	4.34%	0.0%	8.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	NaN%	6.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1189	35	62	44	50	93	76	48	32	47	30	25	53	71	63	60	53	69	67	52	52	31	5	11	22	1	2	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	2	2	0	0	1	0	2	1	1	0	2	1	1	0	0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	1	0	0					
		5.38%	4.96%	5.0%	4.52%	4.87%	10.75%	6.04%	6.32%	5.34%	7.76%	6.77%	5.96%	6.67%	9.87%	5.21%	6.17%	5.05%	5.90%	5.70%	5.33%	4.81%	11.83%	4.13%	2.01%	2.06%	0.35%	9.09%	0.0%	0.0%	0.0%	4.54%	0.0%	NaN%	0.0%	0.0%	5.26%	0.0%	NaN%	0.0%	7.69%	0.0%	0.0%	4.16%	0.0%	0.0%	4.16%	0.0%	8.0%	9.52%	0.0%	0.0%	4.16%	0.0%	9.52%	4.16%	3.70%	NaN%	6.89%	4.76%	4.34%	0.0%	0.0%	NaN%	5.26%	8.69%	0.0%	0.0%	NaN%	0.0%	3.84%	0.0%	3.57%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	NaN%	0.0%	4.34%	0.0%	4.34%	0.0%	5.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	12.0%	4.0%	0.0%	0.0%	3.70%	0.0%	0.0%	1.78%	NaN%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	661	18	51	36	31	15	40	24	10	17	21	8	20	10	41	21	29	42	54	34	32	1	2	26	13	8	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	2	1	0	0	1	1	0	0	0	1	0	0	0	0	0	3	2	4	0	2	2	0	2	1	2	1	0	0	1	0	0	0	1	1	0	0	3	0	0	1	0	2	0	0	3	0	1	0	5	0	0	0	0	1	0	3					
		2.99%	2.55%	4.11%	3.69%	3.02%	1.73%	3.17%	3.16%	1.66%	2.80%	4.74%	1.90%	2.51%	1.39%	3.39%	2.16%	2.76%	3.59%	4.59%	3.49%	2.96%	0.38%	1.65%	4.75%	1.21%	2.83%	4.54%	4.16%	0.0%	0.0%	4.54%	0.0%	NaN%	8.69%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	11.53%	0.0%	4.16%	0.0%	0.0%	4.76%	8.69%	4.34%	0.0%	0.0%	4.76%	4.16%	0.0%	NaN%	0.0%	4.76%	0.0%	0.0%	0.0%	NaN%	0.0%	13.04%	8.33%	12.12%	NaN%	8.33%	7.69%	0.0%	7.14%	4.54%	9.09%	3.70%	0.0%	0.0%	4.54%	0.0%	NaN%	0.0%	4.34%	3.84%	0.0%	0.0%	15.0%	NaN%	0.0%	4.34%	0.0%	8.33%	0.0%	0.0%	13.04%	0.0%	4.0%	0.0%	18.51%	0.0%	0.0%	0.0%	0.0%	1.78%	NaN%	6.12%					
