Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Нижнеингашская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22078	344	2534	1186	297	301	150	166	1933	2111	1129	1134	157	799	521	464	594	289	77	97	203	55	640	275	154	970	196	902	142	244	160	199	57	101	367	378	115	84	72	318	64	106	414	1070	83	426									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21966	340	2405	1194	294	288	152	166	1938	2121	1132	1123	160	793	520	472	594	288	80	98	205	57	645	273	151	977	201	897	145	242	160	201	58	101	373	379	114	85	73	320	62	106	416	1073	85	409									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7435	130	818	365	83	189	58	48	557	629	282	280	80	271	160	123	160	77	14	43	112	44	200	89	70	444	72	266	80	117	57	81	31	49	129	150	55	43	33	100	42	53	118	376	39	218									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1020	0	31	16	10	0	17	12	71	65	57	92	5	37	40	46	24	27	0	6	8	0	69	48	6	48	16	14	0	37	25	2	0	2	44	17	9	0	3	45	1	7	34	9	0	20									
6	Число погашенных избирательных бюллетеней	13511	210	1556	813	201	99	77	106	1310	1427	793	751	75	485	320	303	410	184	66	49	85	13	376	136	75	485	113	617	65	88	78	118	27	50	200	212	50	42	37	175	19	46	264	688	46	171									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1020	0	31	16	10	0	17	12	71	65	57	92	5	37	40	46	24	27	0	6	8	0	69	48	6	48	16	14	0	37	25	2	0	2	44	17	9	0	3	45	1	7	34	9	0	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7435	130	818	365	83	189	58	48	557	629	282	280	80	271	160	123	160	77	14	43	112	44	200	89	70	444	72	266	80	117	57	81	31	49	129	150	55	43	33	100	42	53	118	376	39	218									
9	Число недействительных избирательных бюллетеней	214	1	25	11	4	9	2	5	20	25	6	4	1	9	1	4	2	1	1	0	4	0	10	7	2	17	0	7	2	1	1	5	1	0	3	6	0	0	0	0	1	3	6	4	0	3									
10	Число действительных избирательных бюллетеней	8241	129	824	370	89	180	73	55	608	669	333	368	84	299	199	165	182	103	13	49	116	44	259	130	74	475	88	273	78	153	81	78	30	51	170	161	64	43	36	145	42	57	146	381	39	235									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	595	10	50	20	5	50	5	5	25	25	25	25	10	15	15	15	15	10	10	10	10	5	20	5	5	25	10	30	5	10	5	5	5	5	10	15	5	5	5	15	5	5	10	15	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	139	4	33	8	1	4	1	1	4	23	4	1	7	3	1	2	1	0	0	0	0	0	5	2	1	8	6	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	7	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	1	12	2	1	27	0	1	1	3	5	1	4	1	3	0	2	3	0	1	0	0	0	3	2	3	3	3	0	1	1	0	1	2	0	0	0	0	1	1	1	2	1	0	1	13									
14	Число погашенных неиспользованных открепительных удостоверений	456	6	17	12	4	46	4	4	21	2	21	24	3	12	14	13	14	10	10	10	10	5	15	3	4	17	4	26	5	10	5	5	5	5	8	15	4	5	5	15	5	5	10	8	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	9	1	0	1	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	161	4	23	10	1	2	1	1	8	7	9	3	1	10	3	1	2	2	0	0	3	2	5	0	1	22	1	14	0	3	0	1	0	0	0	2	0	1	0	1	0	1	5	7	1	3									
		1.90%	3.08%	2.71%	2.62%	1.08%	1.06%	1.33%	1.67%	1.27%	1.01%	2.65%	0.81%	1.18%	3.25%	1.50%	0.59%	1.09%	1.92%	0.00%	0.00%	2.50%	4.55%	1.86%	0.00%	1.32%	4.47%	1.14%	5.00%	0.00%	1.95%	0.00%	1.20%	0.00%	0.00%	0.00%	1.20%	0.00%	2.33%	0.00%	0.69%	0.00%	1.67%	3.29%	1.82%	2.56%	1.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	282	2	34	13	1	7	4	0	25	17	10	10	4	19	10	7	6	2	0	2	4	1	8	1	1	15	3	7	1	4	0	2	0	2	4	6	0	0	2	9	3	0	5	25	1	5									
		3.34%	1.54%	4.00%	3.41%	1.08%	3.70%	5.33%	0.00%	3.98%	2.45%	2.95%	2.69%	4.71%	6.17%	5.00%	4.14%	3.26%	1.92%	0.00%	4.08%	3.33%	2.27%	2.97%	0.73%	1.32%	3.05%	3.41%	2.50%	1.25%	2.60%	0.00%	2.41%	0.00%	3.92%	2.31%	3.59%	0.00%	0.00%	5.56%	6.21%	6.98%	0.00%	3.29%	6.49%	2.56%	2.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	243	2	36	8	5	1	3	2	17	27	8	10	3	15	5	5	6	5	0	0	3	1	3	2	2	13	2	11	0	6	1	1	0	4	5	2	1	1	1	4	0	1	5	11	0	5									
		2.87%	1.54%	4.24%	2.10%	5.38%	0.53%	4.00%	3.33%	2.71%	3.89%	2.36%	2.69%	3.53%	4.87%	2.50%	2.96%	3.26%	4.81%	0.00%	0.00%	2.50%	2.27%	1.12%	1.46%	2.63%	2.64%	2.27%	3.93%	0.00%	3.90%	1.22%	1.20%	0.00%	7.84%	2.89%	1.20%	1.56%	2.33%	2.78%	2.76%	0.00%	1.67%	3.29%	2.86%	0.00%	2.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3414	57	299	138	37	69	23	32	227	255	124	146	42	100	97	76	60	54	10	33	62	27	133	73	30	168	39	101	45	91	39	41	24	21	85	74	37	33	20	60	10	38	59	129	6	90									
		40.38%	43.85%	35.22%	36.22%	39.78%	36.51%	30.67%	53.33%	36.15%	36.74%	36.58%	39.25%	49.41%	32.47%	48.50%	44.97%	32.61%	51.92%	71.43%	67.35%	51.67%	61.36%	49.44%	53.28%	39.47%	34.15%	44.32%	36.07%	56.25%	59.09%	47.56%	49.40%	77.42%	41.18%	49.13%	44.31%	57.81%	76.74%	55.56%	41.38%	23.26%	63.33%	38.82%	33.51%	15.38%	37.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	45	0	5	2	0	2	0	2	4	4	1	1	0	1	0	0	1	0	0	0	1	0	5	1	0	4	0	2	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	3									
		0.53%	0.00%	0.59%	0.52%	0.00%	1.06%	0.00%	3.33%	0.64%	0.58%	0.29%	0.27%	0.00%	0.32%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.83%	0.00%	1.86%	0.73%	0.00%	0.81%	0.00%	0.71%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	3.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	1.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	28	0	1	0	1	0	0	0	2	2	0	1	0	1	1	2	1	0	0	0	1	0	2	0	0	3	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	2	0	0	2									
		0.33%	0.00%	0.12%	0.00%	1.08%	0.00%	0.00%	0.00%	0.32%	0.29%	0.00%	0.27%	0.00%	0.32%	0.50%	1.18%	0.54%	0.00%	0.00%	0.00%	0.83%	0.00%	0.74%	0.00%	0.00%	0.61%	0.00%	0.00%	1.25%	0.65%	0.00%	0.00%	3.23%	1.96%	0.00%	0.60%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	1.32%	0.00%	0.00%	0.84%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2245	39	234	87	38	69	30	12	179	164	98	109	21	82	45	47	46	21	0	12	25	10	62	24	23	121	27	78	23	22	27	23	0	17	50	54	12	6	8	19	19	9	22	125	11	95									
		26.55%	30.00%	27.56%	22.83%	40.86%	36.51%	40.00%	20.00%	28.50%	23.63%	28.91%	29.30%	24.71%	26.62%	22.50%	27.81%	25.00%	20.19%	0.00%	24.49%	20.83%	22.73%	23.05%	17.52%	30.26%	24.59%	30.68%	27.86%	28.75%	14.29%	32.93%	27.71%	0.00%	33.33%	28.90%	32.34%	18.75%	13.95%	22.22%	13.10%	44.19%	15.00%	14.47%	32.47%	28.21%	39.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	31	0	4	0	0	1	0	1	2	5	2	1	0	3	1	0	1	0	0	0	0	2	0	0	0	2	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1									
		0.37%	0.00%	0.47%	0.00%	0.00%	0.53%	0.00%	1.67%	0.32%	0.72%	0.59%	0.27%	0.00%	0.97%	0.50%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.41%	1.14%	0.00%	0.00%	0.65%	0.00%	1.20%	0.00%	0.00%	0.58%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	46	2	5	4	1	0	0	0	4	2	0	2	0	2	1	0	1	3	0	0	0	0	1	1	1	3	1	0	0	0	0	0	0	0	2	1	2	0	1	0	1	0	0	3	0	2									
