Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Судакская городская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25006	925	1321	1225	1378	1137	1348	1522	1041	811	1589	1481	1223	495	1920	983	655	1130	1899	439	456	1502	477	49									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19150	700	950	950	1050	800	1100	1050	850	600	1100	1050	900	350	1600	800	500	900	1650	350	350	1150	350	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11248	461	583	637	510	587	667	715	489	347	282	583	622	300	1007	623	279	516	723	236	219	618	241	3									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	511	10	7	18	9	5	13	18	14	15	3	21	13	28	72	9	14	40	45	19	22	60	14	42									
6	Число погашенных избирательных бюллетеней	7391	229	360	295	531	208	420	317	347	238	815	446	265	22	521	168	207	344	882	95	109	472	95	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	511	10	7	18	9	5	13	18	14	15	3	21	13	28	72	9	14	40	45	19	22	60	14	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11248	461	583	637	510	587	667	715	489	347	282	583	622	300	1007	623	279	516	723	236	219	618	241	3									
9	Число недействительных избирательных бюллетеней	298	12	10	5	8	11	15	19	11	9	23	7	24	10	21	11	16	14	27	6	3	27	8	1									
10	Число действительных избирательных бюллетеней	11461	459	580	650	511	581	665	714	492	353	262	597	611	318	1058	621	277	542	741	249	238	651	247	44									
