Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Омсукчанская														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №51	УИК №52	УИК №53									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3447	1338	1530	579									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3240	1240	1400	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	266	120	146	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1061	413	479	169									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	68	13	49	6									
6	Число погашенных избирательных бюллетеней	1845	694	726	425									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	334	133	195	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1061	413	479	169									
9	Число недействительных избирательных бюллетеней	41	11	30	0									
10	Число действительных избирательных бюллетеней	1354	535	644	175									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	210	80	80	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	7	2	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	9	4	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	203	78	77	48									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	9	1									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	4	5	1									
		0.72%	0.73%	0.74%	0.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	25	7	15	3									
		1.79%	1.28%	2.23%	1.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	41	16	16	9									
		2.94%	2.93%	2.37%	5.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	627	236	305	86									
		44.95%	43.22%	45.25%	49.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	9	7	0									
		1.15%	1.65%	1.04%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	1	0	1									
		0.14%	0.18%	0.00%	0.57%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	364	161	169	34									
		26.09%	29.49%	25.07%	19.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	1	3	1									
		0.36%	0.18%	0.45%	0.57%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	6	7	7									
		1.43%	1.10%	1.04%	4.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8	4	4	0									
		0.57%	0.73%	0.59%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	169	66	79	24									
		12.11%	12.09%	11.72%	13.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	1	3	1									
		0.36%	0.18%	0.45%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	62	23	31	8									
		4.44%	4.21%	4.60%	4.57%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
