Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Острогожская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659					
1	"Число избирателей, внесенных в списки"	50719	1675	1701	88	312	1516	1573	122	1704	1719	1445	1698	1972	1496	2168	1409	1872	2134	1547	1684	498	299	571	377	480	218	547	506	281	382	86	509	139	807	660	798	784	436	126	473	297	398	365	397	455	851	1808	1887	638	783	434	149	692	188	881	625	1479	280	658	642					
2	"Число бюллетеней, полученных участковыми комиссиями"	49180	1600	1600	84	290	1400	1500	120	1550	1600	1350	1600	2000	1450	2000	1300	1800	2000	1450	1650	490	280	790	370	460	220	550	500	270	380	86	500	130	800	650	800	780	430	120	470	300	390	360	390	460	850	1800	1850	640	780	430	150	680	180	870	620	1440	280	650	640					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26607	781	886	48	184	828	729	53	901	931	753	827	1471	1128	1215	686	897	1075	785	940	286	210	531	188	308	126	196	247	147	139	52	288	75	468	331	365	290	212	89	252	166	206	213	208	224	375	715	707	346	436	280	60	351	82	461	269	701	188	327	374					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3583	80	27	17	21	63	68	62	54	57	62	81	38	85	10	71	68	65	30	27	48	21	40	66	40	29	149	99	51	119	14	42	26	53	43	44	43	42	8	60	25	68	45	29	59	114	146	153	71	40	48	37	58	54	107	77	185	38	79	127					
6	Число погашенных бюллетеней	18990	739	687	19	85	509	703	5	595	612	535	692	491	237	775	543	835	860	635	683	156	49	219	116	112	65	205	154	72	122	20	170	29	279	276	391	447	176	23	158	109	116	102	153	177	361	939	990	223	304	102	53	271	44	302	274	554	54	244	139					
7	Число бюллетеней в переносных ящиках для голосования	3583	80	27	17	21	63	68	62	54	57	62	81	38	85	10	71	68	65	30	27	48	21	40	66	40	29	149	99	51	119	14	42	26	53	43	44	43	42	8	60	25	68	45	29	59	114	146	153	71	40	48	37	58	54	107	77	185	38	79	127					
8	Число бюллетеней в стационарных ящиках для голосования	26585	777	886	48	184	828	726	53	901	931	753	827	1468	1124	1214	686	897	1073	784	939	286	210	531	188	308	126	196	247	147	139	52	288	75	468	331	365	289	212	89	252	166	206	213	208	224	375	715	707	345	436	280	60	351	82	460	269	701	188	327	374					
9	Число недействительных бюллетеней	502	11	33	2	4	10	14	5	13	11	10	23	20	5	7	20	27	24	22	34	5	11	8	0	4	3	7	6	5	0	3	9	2	15	4	2	8	9	2	8	6	1	3	3	6	9	10	11	12	0	5	0	0	3	6	1	6	3	0	11					
10	Число действительных бюллетеней	29666	846	880	63	201	881	780	110	942	977	805	885	1486	1204	1217	737	938	1114	792	932	329	220	563	254	344	152	338	340	193	258	63	321	99	506	370	407	324	245	95	304	185	273	255	234	277	480	851	849	404	476	323	97	409	133	561	345	880	223	406	490					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	410	9	9	3	4	9	9	0	14	13	14	9	9	9	14	12	9	13	9	19	4	4	5	5	5	3	5	5	3	4	2	10	2	16	6	9	7	5	2	4	3	4	4	4	5	7	9	9	11	7	5	3	6	3	8	6	8	3	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	238	6	6	0	1	6	9	0	9	13	11	6	7	2	12	7	9	13	7	16	1	0	3	0	4	3	0	1	2	1	0	7	1	12	2	7	3	1	0	2	0	1	2	0	2	3	8	8	11	0	0	1	1	1	5	0	2	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	210	1	6	0	1	5	3	115	6	2	9	3	3	0	5	2	2	4	1	3	0	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	2	1	2	0	1	0	0	3	3	6	4	0	0	0	0	1	4	1	0	0	2					
14	Число погашенных открепительных удостоверений	172	3	3	3	3	3	0	0	5	0	3	3	2	7	2	5	0	0	2	3	3	4	2	5	1	0	5	4	1	3	2	3	1	4	4	2	4	4	2	2	3	3	2	4	3	4	1	1	0	7	5	2	5	2	3	6	6	3	3	6					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	376	8	12	0	4	6	5	0	6	8	3	6	22	28	18	8	14	11	11	10	10	3	11	3	5	2	8	4	5	2	3	5	3	7	4	1	0	0	4	2	4	1	2	8	3	5	9	10	17	3	7	6	4	3	9	4	10	1	4	4					
