Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Ленинградская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035					
1	"Число избирателей, внесенных в список избирателей"	50256	1845	1584	1813	2445	2328	1909	1367	1327	1883	1271	2068	1383	2236	1928	2035	2000	503	298	347	824	2537	961	1072	438	1413	1378	1986	889	1593	1298	157	1291	1318	1517	1014					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49249	1790	1540	1800	2430	2300	1870	1330	1280	1840	1220	1970	1330	2200	1910	1990	1950	500	290	340	800	2530	940	1060	430	1370	1350	1980	880	1560	1280	159	1250	1290	1490	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29703	1053	942	1004	1289	1445	1037	790	715	1042	757	1242	817	1182	1037	1213	1085	143	187	206	579	1387	662	681	317	757	734	1545	774	886	846	139	690	827	961	732					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3074	112	61	89	109	59	68	48	103	105	23	66	78	136	70	86	137	339	41	61	65	158	45	62	30	133	66	79	20	128	108	10	116	113	104	46					
6	Число погашенных избирательных бюллетеней	16472	625	537	707	1032	796	765	492	462	693	440	662	435	882	803	691	728	18	62	73	156	985	233	317	83	480	550	356	86	546	326	10	444	350	425	222					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3074	112	61	89	109	59	68	48	103	105	23	66	78	136	70	86	137	339	41	61	65	158	45	62	30	133	66	79	20	128	108	10	116	113	104	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29694	1053	942	1004	1283	1445	1037	790	715	1042	757	1242	817	1182	1037	1213	1085	143	187	206	579	1387	662	681	317	754	734	1545	774	886	846	139	690	827	961	732					
9	Число недействительных избирательных бюллетеней	530	22	12	20	26	38	16	17	10	18	14	14	20	18	33	26	20	14	3	0	7	25	15	18	2	16	16	11	13	11	19	0	0	9	17	10					
10	Число действительных избирательных бюллетеней	32238	1143	991	1073	1366	1466	1089	821	808	1129	766	1294	875	1300	1074	1273	1202	468	225	267	637	1520	692	725	345	871	784	1613	781	1003	935	149	806	931	1048	768					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	771	32	11	18	17	13	8	13	18	16	18	20	24	9	12	13	17	2	17	2	37	75	30	25	5	19	21	17	20	35	45	7	30	60	40	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	771	32	11	18	17	13	8	13	18	16	18	20	24	9	12	13	17	2	17	2	37	75	30	25	5	19	21	17	20	35	45	7	30	60	40	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	401	34	18	17	12	8	11	24	12	11	17	40	14	15	12	21	16	3	5	3	3	7	5	5	4	6	4	13	4	11	4	16	5	8	10	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	225	8	11	8	11	5	6	8	7	19	7	17	13	14	9	9	14	0	1	2	3	3	13	6	0	4	3	3	3	4	6	0	1	5	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
