Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Невинномысская городская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869					
1	"Число избирателей, внесенных в список избирателей"	93771	1710	1812	1803	1885	2456	1391	2426	1770	2397	2099	1653	2112	1300	1323	1726	1817	1883	1812	1543	1521	1568	2462	2687	2318	2041	1716	2315	1934	2055	2562	2435	2215	1901	1900	2909	2790	2622	2311	1347	1767	2602	2540	2057	2409	2687	1182					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67380	1200	1300	1300	1350	1750	1000	1700	1200	1700	1500	1166	1500	1066	1000	1250	1300	1300	1300	1066	1100	1100	1800	1900	1700	1250	1250	1700	1400	1500	1900	1700	1500	1400	1300	2000	2000	2000	1700	1066	1300	1800	1800	1500	1800	1900	1066					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	40410	684	707	684	789	984	440	747	534	980	992	718	641	395	619	799	850	882	851	800	700	724	1245	1406	1124	838	684	1159	1016	1098	1289	1233	993	683	681	1338	1262	1187	1044	548	596	884	944	887	1132	1182	437					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2022	19	39	47	50	78	59	79	14	29	34	115	19	29	51	23	48	54	83	8	75	32	22	110	44	151	9	19	135	7	24	16	39	31	35	12	14	12	11	6	15	82	132	17	18	37	39					
6	Число погашенных избирательных бюллетеней	24948	497	554	569	511	688	501	874	652	691	474	333	840	642	330	428	402	364	366	258	325	344	533	384	532	261	557	522	249	395	587	451	468	686	584	650	724	801	645	512	689	834	724	596	650	681	590					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2022	19	39	47	50	78	59	79	14	29	34	115	19	29	51	23	48	54	83	8	75	32	22	110	44	151	9	19	135	7	24	16	39	31	35	12	14	12	11	6	15	82	132	17	18	37	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40378	684	707	684	789	984	440	747	534	980	991	718	622	394	619	799	850	882	851	799	700	724	1244	1401	1124	838	684	1159	1016	1098	1289	1233	993	681	681	1338	1262	1187	1044	548	596	884	944	885	1132	1182	437					
9	Число недействительных избирательных бюллетеней	686	18	4	14	21	25	9	19	11	6	35	18	0	16	16	4	10	0	4	17	2	19	22	28	20	20	11	16	2	23	7	24	20	18	18	24	29	17	18	11	14	10	16	25	9	6	10					
10	Число действительных избирательных бюллетеней	41714	685	742	717	818	1037	490	807	537	1003	990	815	641	407	654	818	888	936	930	790	773	737	1244	1483	1148	969	682	1162	1149	1082	1306	1225	1012	694	698	1326	1247	1182	1037	543	597	956	1060	877	1141	1213	466					
