Выборы Президента Российской Федерации																																																						
																																																						
"Наименование Избирательной комиссии:    Воронеж, Ленинская"																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247					
1	"Число избирателей, внесенных в список"	98347	2910	2449	1739	2389	1888	1924	2219	2632	1980	2139	2334	1967	2493	1994	2278	1892	2681	2844	2871	195	1940	1936	2256	1990	1882	2007	1861	1642	1715	1611	1717	1997	1841	1949	1825	1536	1581	2590	2593	2799	2544	1778	1471	2414	2672	1865	2517					
2	Число полученных избирательных бюллетеней	87400	2500	2200	1600	2000	1600	1700	2000	2000	1800	2000	2000	1800	2200	1800	2000	1700	2300	2500	2500	200	1800	1800	2000	1800	1700	1800	1700	1500	1500	1500	1500	1800	1700	1700	1700	1400	1400	2300	2300	2500	2300	1500	1300	2200	2400	1600	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49280	1547	1270	937	1267	920	975	1166	1510	860	901	911	905	1221	808	1317	961	1461	1561	1342	173	786	780	1100	879	793	953	914	902	735	944	893	1226	959	1100	900	822	719	1306	1418	1450	1239	845	654	1271	1378	959	1342					
5	"Число избирательных бюллетеней, выданных вне помещения"	2379	105	78	19	20	36	13	25	42	64	121	51	26	31	46	80	51	49	15	85	0	114	80	35	74	86	132	85	20	62	33	50	19	85	41	39	55	41	38	34	58	29	46	54	36	12	14	50					
6	Число погашенных избирательных бюллетеней	35741	848	852	644	713	644	712	809	448	876	978	1038	869	948	946	603	688	790	924	1073	27	900	940	865	847	821	715	701	578	703	523	557	555	656	559	761	523	640	956	848	992	1032	609	592	893	1010	627	908					
7	Число избирательных бюллетеней в переносных ящиках	2379	105	78	19	20	36	13	25	42	64	121	51	26	31	46	80	51	49	15	85	0	114	80	35	74	86	132	85	20	62	33	50	19	85	41	39	55	41	38	34	58	29	46	54	36	12	14	50					
8	Число бюллетеней в стационарных ящиках для голосования	49260	1545	1270	937	1264	920	975	1166	1510	860	901	911	905	1221	808	1317	961	1461	1560	1342	173	786	780	1095	879	793	953	914	900	735	943	893	1226	959	1100	899	822	719	1304	1416	1449	1239	845	654	1271	1378	959	1342					
9	Число недействительных избирательных бюллетеней	254	12	3	4	5	1	2	10	9	6	4	6	6	5	9	12	6	12	9	4	8	4	8	6	8	0	3	7	4	3	2	0	2	1	2	3	2	4	3	5	12	7	7	3	4	12	7	2					
10	Число действительных избирательных бюллетеней	51385	1638	1345	952	1279	955	986	1181	1543	918	1018	956	925	1247	845	1385	1006	1498	1566	1423	165	896	852	1124	945	879	1082	992	916	794	974	943	1243	1043	1139	935	875	756	1339	1445	1495	1261	884	705	1303	1378	966	1390					
11	Число полученных открепительных  удостоверений	1371	50	20	40	20	20	30	35	35	20	30	80	30	60	20	20	30	30	40	30	0	20	20	30	30	20	25	20	100	30	30	20	30	20	20	20	20	10	30	30	30	20	30	20	31	30	25	20					
