Выборы Президента Российской Федерации																																																																									
Дата голосования: 02.03.2008																																																																									
																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Заельцовская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
	Число участковых избирательных комиссий	66																																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	66																																																																							
																																																																									
		Сумма	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608					
1	"Число избирателей, включенных в списки избирателей"	108867	2202	1452	1943	1891	1310	1389	1783	1789	1683	2570	2138	1931	1500	2170	1936	2583	2196	1896	1388	983	1391	2103	2229	2668	1751	1282	2058	2377	2041	1509	1401	1887	1953	1728	2023	1510	1161	1332	2248	750	1337	1329	1221	1530	1278	1643	1413	262	2490	1471	1477	1630	1331	444	1554	1268	2214	1043	2075	1229	1476	1599	2479	566	479	1894					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	103780	2100	1400	1800	1800	1000	1200	1700	1700	1600	2500	2000	1900	1400	2100	1800	2500	2200	1800	1300	900	1300	2000	2200	2600	1600	1200	2200	2300	2000	1400	1300	1800	1900	1700	1900	1400	1000	1400	2000	1000	1300	1200	1100	1500	1200	1600	1300	390	2200	1100	1400	1600	1200	440	1500	1200	2200	1000	2000	1200	1400	1600	2500	500	450	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	60733	1199	905	1190	1068	801	842	1036	1024	990	1546	1339	1057	896	1177	1024	1311	1151	1157	790	501	770	1023	1335	1534	1050	726	1238	1349	1197	832	727	1046	1047	944	1177	804	675	1107	1457	350	687	562	599	611	528	874	839	54	1410	914	801	870	738	270	950	755	1268	529	1233	546	612	752	1407	267	151	1114					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4220	46	20	29	22	28	39	33	45	51	51	51	59	41	75	71	56	65	37	16	18	42	64	65	72	67	25	70	70	54	39	62	74	84	82	62	48	46	4	24	400	41	69	51	113	112	52	71	208	60	19	54	36	37	149	30	33	72	48	34	102	140	102	71	32	147	30					
6	Число погашенных избирательных бюллетеней	38827	855	475	581	710	171	319	631	631	559	903	610	784	463	848	705	1133	984	606	494	381	488	913	800	994	483	449	892	881	749	529	511	680	769	674	661	548	279	289	519	250	572	569	450	776	560	674	390	128	730	167	545	694	425	21	520	412	860	423	733	552	648	746	1022	201	152	656					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4219	46	20	29	22	28	39	33	45	51	51	51	59	41	75	71	56	65	37	16	18	42	64	65	72	67	25	70	70	54	39	62	74	84	82	62	47	46	4	24	400	41	69	51	113	112	52	71	208	60	19	54	36	37	149	30	33	72	48	34	102	140	102	71	32	147	30					
8	Число бюллетеней в стационарных ящиках для голосования	60672	1196	904	1190	1067	800	841	1036	1023	990	1546	1330	1051	896	1177	1024	1311	1151	1157	789	501	770	1023	1335	1534	1050	726	1238	1347	1197	832	726	1046	1046	944	1165	804	675	1106	1453	348	687	562	599	611	528	874	838	54	1410	914	796	869	738	270	950	753	1268	529	1231	546	612	752	1407	267	151	1111					
9	Число недействительных избирательных бюллетеней	1068	24	17	22	25	13	20	26	8	22	32	28	13	17	14	15	19	15	16	16	8	24	16	25	26	13	19	20	30	14	11	14	15	20	12	18	13	15	29	33	14	15	12	5	8	12	12	15	0	26	16	12	20	11	8	9	18	18	6	24	10	7	14	22	1	2	14					
10	Число действительных избирательных бюллетеней	63823	1218	907	1197	1064	815	860	1043	1060	1019	1565	1353	1097	920	1238	1080	1348	1201	1178	789	511	788	1071	1375	1580	1104	732	1288	1387	1237	860	774	1105	1110	1014	1209	838	706	1081	1444	734	713	619	645	716	628	914	894	262	1444	917	838	885	764	411	971	768	1322	571	1241	638	745	840	1456	298	296	1127					
