Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Земетчинская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370					
1	"Число избирателей, внесенных в список"	23300	1612	1025	1836	1097	1891	2126	955	647	733	375	281	394	727	209	185	915	561	388	137	1061	221	153	263	102	496	242	263	697	234	138	574	755	379	1628					
2	Число полученных избирательных бюллетеней	23916	1673	1088	1920	1162	1959	2194	957	655	773	379	289	404	745	215	201	920	572	401	138	1049	230	157	263	106	510	245	276	704	242	146	580	761	379	1623					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13953	895	502	828	568	875	888	780	514	444	227	165	203	612	156	112	712	404	222	94	752	149	129	124	68	342	132	97	400	203	93	519	642	196	906					
5	"Число избирательных бюллетеней, выданных вне помещения"	3158	59	112	219	126	190	257	71	22	198	81	99	108	61	39	59	78	91	120	25	40	41	18	77	26	110	49	115	230	20	24	3	4	147	239					
6	Число погашенных избирательных бюллетеней	6805	719	474	873	468	894	1049	106	119	131	71	25	93	72	20	30	130	77	59	19	257	40	10	62	12	58	64	64	74	19	29	58	115	36	478					
7	Число избирательных бюллетеней в переносных ящиках	3158	59	112	219	126	190	257	71	22	198	81	99	108	61	39	59	78	91	120	25	40	41	18	77	26	110	49	115	230	20	24	3	4	147	239					
8	Число бюллетеней в стационарных ящиках для голосования	13950	895	502	828	565	875	888	780	514	444	227	165	203	612	156	112	712	404	222	94	752	149	129	124	68	342	132	97	400	203	93	519	642	196	906					
9	Число недействительных избирательных бюллетеней	129	4	2	13	3	14	7	3	7	0	5	4	6	2	5	0	1	3	0	1	21	0	0	2	1	4	0	0	0	0	0	11	2	0	8					
10	Число действительных избирательных бюллетеней	16979	950	612	1034	688	1051	1138	848	529	642	303	260	305	671	190	171	789	492	342	118	771	190	147	199	93	448	181	212	630	223	117	511	644	343	1137					
11	Число полученных открепительных  удостоверений	500	40	40	25	45	45	30	10	10	10	5	10	10	10	5	10	10	20	15	5	10	5	0	5	0	20	10	10	20	10	5	10	10	5	25					
12	Число выданных открепительных удостоверений	485	40	40	25	45	45	30	5	5	10	5	10	10	10	5	7	10	20	15	5	10	5	0	5	0	20	10	10	20	10	5	10	10	3	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	2	3	4	13	1	5	3	1	1	0	0	0	2	2	1	0	2	3	1	0	0	1	3	1	2	2	0	2	5	0	3	1	2	3					
14	Число неиспользованных открепительных удостоверений	15	0	0	0	0	0	0	5	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	383	23	12	32	18	34	34	12	6	16	11	11	12	6	2	5	22	9	6	3	13	3	0	1	0	7	2	3	8	0	0	0	10	14	48					
		2.24%	2.41%	1.95%	3.06%	2.60%	3.19%	2.97%	1.41%	1.12%	2.49%	3.57%	4.17%	3.86%	0.89%	1.03%	2.92%	2.78%	1.82%	1.75%	2.52%	1.64%	1.58%	0.00%	0.50%	0.00%	1.55%	1.10%	1.42%	1.27%	0.00%	0.00%	0.00%	1.55%	4.08%	4.19%					
19	. Малышкин Олег Александрович	325	20	20	14	15	19	20	6	6	11	3	8	10	4	6	9	21	5	6	2	24	7	4	6	0	4	12	3	7	2	2	13	12	12	12					
		1.90%	2.10%	3.26%	1.34%	2.17%	1.78%	1.75%	0.71%	1.12%	1.71%	0.97%	3.03%	3.22%	0.59%	3.08%	5.26%	2.66%	1.01%	1.75%	1.68%	3.03%	3.68%	2.72%	2.99%	0.00%	0.88%	6.63%	1.42%	1.11%	0.90%	1.71%	2.49%	1.86%	3.50%	1.05%					
20	. Миронов Сергей Михайлович	107	11	4	3	5	6	9	1	0	7	2	2	2	3	0	0	5	0	1	1	8	3	0	1	1	3	1	2	2	1	3	0	6	4	10					
		0.63%	1.15%	0.65%	0.29%	0.72%	0.56%	0.79%	0.12%	0.00%	1.09%	0.65%	0.76%	0.64%	0.45%	0.00%	0.00%	0.63%	0.00%	0.29%	0.84%	1.01%	1.58%	0.00%	0.50%	1.06%	0.66%	0.55%	0.94%	0.32%	0.45%	2.56%	0.00%	0.93%	1.17%	0.87%					
21	. Путин Владимир Владимирович	11698	573	355	628	427	627	684	596	381	478	221	120	202	554	127	69	562	423	268	70	506	106	117	120	80	399	102	119	544	212	103	384	508	253	780					
		68.38%	60.06%	57.82%	59.98%	61.79%	58.87%	59.74%	70.04%	71.08%	74.45%	71.75%	45.45%	64.95%	82.32%	65.13%	40.35%	71.14%	85.45%	78.36%	58.82%	63.89%	55.79%	79.59%	59.70%	85.11%	88.27%	56.35%	56.13%	86.35%	95.07%	88.03%	73.56%	78.64%	73.76%	68.12%					
22	. Хакамада Ирина Муцуовна	194	20	7	8	10	15	15	4	5	3	3	4	4	3	2	3	8	3	4	3	9	1	3	5	0	3	4	1	11	1	1	0	11	2	18					
		1.13%	2.10%	1.14%	0.76%	1.45%	1.41%	1.31%	0.47%	0.93%	0.47%	0.97%	1.52%	1.29%	0.45%	1.03%	1.75%	1.01%	0.61%	1.17%	2.52%	1.14%	0.53%	2.04%	2.49%	0.00%	0.66%	2.21%	0.47%	1.75%	0.45%	0.85%	0.00%	1.70%	0.58%	1.57%					
23	. Харитонов Николай Михайлович	4069	285	200	339	196	333	363	223	129	125	62	112	69	95	53	81	159	50	49	36	199	67	22	64	10	28	57	81	43	6	8	114	97	56	258					
		23.78%	29.87%	32.57%	32.38%	28.36%	31.27%	31.70%	26.20%	24.07%	19.47%	20.13%	42.42%	22.19%	14.12%	27.18%	47.37%	20.13%	10.10%	14.33%	30.25%	25.13%	35.26%	14.97%	31.84%	10.64%	6.19%	31.49%	38.21%	6.83%	2.69%	6.84%	21.84%	15.02%	16.33%	22.53%					
																																									
24	Против всех	203	18	14	10	17	17	13	6	2	2	1	3	6	6	0	4	12	2	8	3	12	3	1	2	2	4	3	3	15	1	0	0	0	2	11					
		1.19%	1.89%	2.28%	0.96%	2.46%	1.60%	1.14%	0.71%	0.37%	0.31%	0.32%	1.14%	1.93%	0.89%	0.00%	2.34%	1.52%	0.40%	2.34%	2.52%	1.52%	1.58%	0.68%	1.00%	2.13%	0.88%	1.66%	1.42%	2.38%	0.45%	0.00%	0.00%	0.00%	0.58%	0.96%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
