Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Нюрбинская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429					
1	"Число избирателей, внесенных в списки"	14397	636	593	660	706	682	583	513	597	530	511	1379	107	177	238	543	28	396	499	207	145	476	462	266	51	344	105	537	454	254	283	1094	341					
2	"Число бюллетеней, полученных участковыми комиссиями"	14840	655	560	670	720	665	550	500	500	500	520	1440	95	190	240	540	40	470	530	250	160	500	460	290	60	370	110	550	475	310	330	1200	390					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9310	358	335	338	308	391	311	287	360	300	277	778	77	142	175	426	26	291	349	155	113	313	326	223	40	292	101	438	322	224	223	742	269					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	979	51	90	32	40	23	18	22	24	17	10	81	0	15	17	45	2	40	50	32	3	41	51	19	1	14	0	32	50	30	20	74	35					
6	Число погашенных бюллетеней	4429	245	135	300	372	251	221	191	116	183	233	581	18	33	48	69	12	139	131	63	44	146	83	48	19	64	9	80	103	56	87	263	86					
7	Число бюллетеней в переносных ящиках для голосования	1099	51	90	32	40	23	18	21	24	17	10	81	0	15	17	45	2	40	50	32	3	41	51	19	1	14	0	32	50	30	20	195	35					
8	Число бюллетеней в стационарных ящиках для голосования	9309	358	335	338	308	391	311	287	360	300	277	778	77	142	175	426	26	291	349	155	113	313	326	223	40	292	101	438	322	224	223	741	269					
9	Число недействительных бюллетеней	168	5	3	0	6	6	2	6	6	3	4	20	2	1	3	17	0	3	11	0	2	4	2	1	1	15	1	10	6	1	5	16	6					
10	Число действительных бюллетеней	10240	404	422	370	342	408	327	302	378	314	283	839	75	156	189	454	28	328	388	187	114	350	375	241	40	291	100	460	366	253	238	920	298					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	483	22	22	23	24	22	19	18	21	18	18	25	3	6	8	18	1	16	18	10	4	16	15	10	2	12	8	17	16	10	10	34	17					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	228	7	11	9	3	9	10	5	10	14	5	12	3	6	3	10	0	6	10	10	0	4	5	5	0	8	4	7	9	7	10	16	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	82	4	4	0	2	3	7	11	1	5	1	6	0	0	2	6	0	0	1	3	0	0	4	2	0	3	0	4	0	1	2	6	4					
14	Число погашенных открепительных удостоверений	255	15	11	14	21	13	9	13	11	4	13	13	0	0	5	8	1	10	8	0	4	12	10	5	2	4	4	10	7	3	0	18	7					
15	Число открепительных удостоверений выданных ТИК	4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	348	16	13	6	8	3	11	6	7	10	7	27	4	2	14	18	0	12	8	7	0	8	27	19	4	5	9	15	19	7	9	39	8					
		3.34%	3.91%	3.05%	1.62%	2.29%	0.72%	3.34%	1.94%	1.82%	3.15%	2.43%	3.14%	5.19%	1.27%	7.29%	3.82%	0.0%	3.62%	2.00%	3.74%	0.0%	2.25%	7.16%	7.85%	9.75%	1.63%	8.91%	3.19%	5.10%	2.75%	3.70%	4.16%	2.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1834	62	57	74	74	83	55	49	69	52	42	193	5	35	41	66	1	75	57	17	39	52	51	32	7	84	18	87	50	31	53	160	63					
		17.62%	15.15%	13.41%	20.0%	21.26%	20.04%	16.71%	15.90%	17.96%	16.40%	14.63%	22.46%	6.49%	22.29%	21.35%	14.01%	3.57%	22.65%	14.28%	9.09%	33.62%	14.68%	13.52%	13.22%	17.07%	27.45%	17.82%	18.51%	13.44%	12.20%	21.81%	17.09%	20.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	238	10	14	5	10	9	9	6	6	14	5	19	1	4	4	13	1	6	16	2	1	10	11	6	0	2	1	6	12	3	6	20	6					
		2.28%	2.44%	3.29%	1.35%	2.87%	2.17%	2.73%	1.94%	1.56%	4.41%	1.74%	2.21%	1.29%	2.54%	2.08%	2.76%	3.57%	1.81%	4.01%	1.06%	0.86%	2.82%	2.91%	2.47%	0.0%	0.65%	0.99%	1.27%	3.22%	1.18%	2.46%	2.13%	1.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	69	4	4	1	4	1	1	1	3	7	3	4	1	2	1	0	0	3	1	1	2	4	1	2	0	5	0	1	3	2	0	7	0					
		0.66%	0.97%	0.94%	0.27%	1.14%	0.24%	0.30%	0.32%	0.78%	2.20%	1.04%	0.46%	1.29%	1.27%	0.52%	0.0%	0.0%	0.90%	0.25%	0.53%	1.72%	1.12%	0.26%	0.82%	0.0%	1.63%	0.0%	0.21%	0.80%	0.78%	0.0%	0.74%	0.0%					
22	"5. ""За Русь Святую"""	9	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1					
		0.08%	0.0%	0.23%	0.0%	0.0%	0.24%	0.60%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.32%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	0	1	1	0	2	0	2	1	2	0	1	0	0	0	0	0	0	4	2	0	2	0	0	0	2	0	1	1	0	1	0	2					
		0.24%	0.0%	0.23%	0.27%	0.0%	0.48%	0.0%	0.64%	0.26%	0.63%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.00%	1.06%	0.0%	0.56%	0.0%	0.0%	0.0%	0.65%	0.0%	0.21%	0.26%	0.0%	0.41%	0.0%	0.65%					
24	"7. ""Новый курс - Автомобильная Россия"""	32	1	3	1	1	0	0	1	2	1	0	4	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	10	0					
		0.30%	0.24%	0.70%	0.27%	0.28%	0.0%	0.0%	0.32%	0.52%	0.31%	0.0%	0.46%	0.0%	0.0%	1.04%	0.21%	0.0%	0.0%	0.25%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.39%	0.0%	1.06%	0.0%					
25	"8. ""Народно-республиканская партия России"""	24	0	1	0	0	0	0	0	0	0	0	2	1	1	2	1	0	0	1	1	0	2	1	0	0	2	3	1	1	1	1	1	1					
		0.23%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	1.29%	0.63%	1.04%	0.21%	0.0%	0.0%	0.25%	0.53%	0.0%	0.56%	0.26%	0.0%	0.0%	0.65%	2.97%	0.21%	0.26%	0.39%	0.41%	0.10%	0.32%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	0	2	1	1	0	0	0	3	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	3	1					
