Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Пугачевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48729	1516	1399	1576	1490	1300	1324	1317	936	570	1386	996	800	1228	1396	1557	1360	1034	1381	1278	1233	1644	755	685	199	502	488	149	5430	519	557	718	670	137	588	895	947	1098	720	1189	239	1122	568	608	835	442	152	414	211	571	600									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43950	1500	1400	1570	1490	1290	1330	1320	930	580	1370	950	790	1230	1390	1530	1350	1030	1380	1260	1230	1625	750	680	210	500	485	150	550	515	560	720	750	140	660	895	940	1140	720	1195	235	1215	650	625	855	445	150	380	200	520	570									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19283	513	556	541	572	506	935	885	655	187	564	428	313	485	488	627	527	618	646	411	452	440	353	287	122	204	183	84	303	215	262	319	351	76	219	291	502	467	552	455	73	517	241	191	344	395	102	305	118	244	159									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1914	9	14	18	74	37	23	36	12	3	19	13	11	5	64	21	16	18	16	34	30	54	14	7	31	94	64	5	33	45	25	62	19	9	55	10	25	46	71	137	35	50	38	116	148	25	8	21	12	28	154									
6	Число погашенных избирательных бюллетеней	22753	978	830	1011	844	747	372	399	263	390	787	509	466	740	838	882	807	394	718	815	748	1131	383	386	57	202	238	61	214	255	273	339	380	55	386	594	413	627	97	603	127	648	371	318	363	25	40	54	70	248	257									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1914	9	14	18	74	37	23	36	12	3	19	13	11	5	64	21	16	18	16	34	30	54	14	7	31	94	64	5	33	45	25	62	19	9	55	10	25	46	71	137	35	50	38	116	148	25	8	21	12	28	154									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19234	513	556	541	572	506	935	849	655	187	564	428	313	485	488	627	527	618	646	411	452	440	353	287	122	204	183	84	303	215	262	319	351	76	219	291	502	467	541	455	71	517	241	191	344	395	102	305	118	244	159									
9	Число недействительных избирательных бюллетеней	481	17	14	7	11	0	8	10	0	5	7	6	10	9	7	10	5	5	143	12	18	0	19	14	3	5	1	1	0	0	0	0	6	4	6	6	13	5	0	5	0	10	4	2	39	5	2	8	6	10	3									
10	Число действительных избирательных бюллетеней	20667	505	556	552	635	543	950	875	667	185	576	435	314	481	545	638	538	631	519	433	464	494	348	280	150	293	246	88	336	260	287	381	364	81	268	295	514	508	612	587	106	557	275	305	453	415	108	318	124	262	310									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	800	20	20	20	20	20	20	20	15	15	20	20	15	15	20	20	20	20	20	20	20	20	15	15	10	15	15	5	15	15	10	15	15	10	15	20	15	15	15	20	10	20	15	10	20	15	10	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	280	6	12	9	7	11	10	5	5	1	8	3	6	11	2	7	5	6	4	2	5	3	3	5	10	15	0	1	5	1	10	1	7	2	2	3	4	9	2	6	4	5	1	10	5	6	1	4	10	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	120	6	0	3	8	3	2	2	3	0	6	2	2	1	0	8	4	3	7	1	4	4	2	2	1	3	0	0	2	0	0	0	1	1	3	4	5	4	0	3	8	0	3	1	0	1	0	1	2	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	520	14	8	11	13	9	10	15	10	14	12	17	9	4	18	13	15	14	16	18	15	17	12	10	0	0	15	4	10	14	0	14	8	8	13	17	11	6	13	14	6	15	14	0	15	9	9	11	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	1	2	1	1	1	2	2	0	0	3	2	1	2	3	3	0	1	6	1	2	4	1	1	0	0	0	0	0	0	0	0	1	1	3	0	2	2	0	5	0	2	0	1	0	0	0	0	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
