Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Горная																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185					
1	"Число избирателей, внесенных в списки избирателей"	6490	504	1979	1717	376	288	349	256	352	336	333					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6500	507	1977	1666	365	295	360	260	350	370	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	42	17	1	0	2	2	6	3	5	3	3					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5081	439	1320	1237	332	262	330	229	306	324	302					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	365	16	93	120	29	16	13	24	17	9	28					
6	Число погашенных избирательных бюллетеней	1012	35	563	309	2	15	11	4	22	34	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	407	33	94	120	31	18	19	27	22	12	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5081	439	1320	1237	332	262	330	229	306	324	302					
9	Число недействительных избирательных бюллетеней	37	2	11	6	3	1	1	1	5	5	2					
10	Число действительных избирательных бюллетеней	5451	470	1403	1351	360	279	348	255	323	331	331					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	193	15	51	37	7	15	15	15	8	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	163	12	49	32	5	5	12	15	6	14	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	72	7	15	15	3	3	2	12	4	3	8					
14	Число погашенных неиспользованных открепительных удостоверений	30	3	2	5	2	10	3	0	2	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	2	5	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	86	23	15	13	4	3	8	5	5	3	7					
		1.57%	4.87%	1.06%	0.96%	1.10%	1.07%	2.29%	1.95%	1.52%	0.89%	2.10%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	1	2	0	0	1	0	0	0	1	1					
		0.11%	0.21%	0.14%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.30%	0.30%					
20	3.Политическая партия «Демократическая партия России»	5	1	2	0	1	0	0	0	0	0	1					
		0.09%	0.21%	0.14%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	481	52	135	134	20	41	28	10	17	29	15					
		8.76%	11.02%	9.55%	9.87%	5.51%	14.64%	8.02%	3.91%	5.18%	8.63%	4.50%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	168	8	44	62	15	6	5	4	9	2	13					
		3.06%	1.69%	3.11%	4.57%	4.13%	2.14%	1.43%	1.56%	2.74%	0.60%	3.90%					
23	6.Политическая партия «Партия социальной справедливости»	15	1	5	5	1	0	0	0	2	1	0					
		0.27%	0.21%	0.35%	0.37%	0.28%	0.00%	0.00%	0.00%	0.61%	0.30%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	88	11	26	16	5	6	2	2	4	9	7					
		1.60%	2.33%	1.84%	1.18%	1.38%	2.14%	0.57%	0.78%	1.22%	2.68%	2.10%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1473	101	382	390	95	72	76	82	119	87	69					
		26.84%	21.40%	27.02%	28.74%	26.17%	25.71%	21.78%	32.03%	36.28%	25.89%	20.72%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	26	2	4	12	3	0	0	1	1	2	1					
		0.47%	0.42%	0.28%	0.88%	0.83%	0.00%	0.00%	0.39%	0.30%	0.60%	0.30%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3087	267	783	715	214	150	229	151	166	197	215					
		56.25%	56.57%	55.37%	52.69%	58.95%	53.57%	65.62%	58.98%	50.61%	58.63%	64.56%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	16	3	5	4	2	0	0	0	0	0	2					
		0.29%	0.64%	0.35%	0.29%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
