Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Ахтубинская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, внесенных в список избирателей"	57494	104	177	888	858	902	837	804	430	506	802	801	444	794	1557	667	607	1111	510	197	841	896	998	780	687	1107	1131	1323	970	291	1700	1981	1487	1573	1774	1355	2153	2432	1632	1805	1895	1912	1293	1582	1481	1403	946	954	1488	1510	844	1403	871					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55870	100	170	900	850	910	850	820	430	510	820	800	450	800	1590	670	600	1130	520	180	860	900	1020	790	680	1120	1130	1300	990	290	1630	1840	1520	1590	1800	980	1600	2350	1200	1420	1900	1930	1330	1650	1500	1400	960	950	1480	1510	850	1430	870					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25970	48	97	240	233	303	266	248	163	252	388	257	222	482	626	286	229	445	228	90	251	372	376	277	255	396	372	512	336	151	835	783	612	615	1035	920	1262	1526	1009	961	1198	1105	731	859	536	389	464	458	492	564	349	556	310					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2256	17	17	74	99	91	64	111	89	24	45	44	45	30	93	71	49	58	35	19	29	26	25	31	16	53	34	64	22	10	24	165	41	26	29	16	19	20	27	106	37	44	6	11	52	40	22	55	34	24	19	33	21					
6	Число погашенных избирательных бюллетеней	27580	35	56	586	518	516	520	461	178	234	387	499	183	288	871	313	322	627	257	71	580	502	619	482	409	671	724	724	632	129	771	892	867	949	736	44	319	740	164	353	665	781	593	780	912	971	474	437	954	922	482	841	539					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2320	17	17	74	99	91	64	111	89	24	45	44	45	30	93	71	49	58	35	19	29	26	25	31	16	53	34	64	22	10	24	165	41	26	29	16	19	84	27	106	37	44	6	11	52	40	22	55	34	24	19	33	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25948	48	97	240	233	303	266	248	163	252	388	257	222	482	626	286	229	445	228	90	251	372	376	277	255	396	372	512	336	151	835	783	612	615	1032	920	1262	1524	1007	947	1197	1105	731	859	536	389	464	458	492	564	349	556	310					
9	Число недействительных избирательных бюллетеней	492	0	1	7	4	7	0	8	6	0	8	6	2	9	11	7	10	3	2	2	10	6	4	6	8	5	3	8	10	3	25	20	8	17	29	17	17	26	19	12	26	18	9	12	15	14	8	4	8	8	6	11	7					
10	Число действительных избирательных бюллетеней	27776	65	113	307	328	387	330	351	246	276	425	295	265	503	708	350	268	500	261	107	270	392	397	302	263	444	403	568	348	158	834	928	645	624	1032	919	1264	1582	1015	1041	1208	1131	728	858	573	415	478	509	518	580	362	578	324					
