Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Ахтубинская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701					
1	"Число избирателей, внесенных в списки избирателей"	59198	113	200	922	859	924	874	845	445	503	810	844	456	785	1586	658	652	1152	509	193	850	888	1067	725	776	1113	1128	1277	1087	327	1358	1027	441	1464	1534	1000	916	2030	1967	2110	1759	2004	2908	1769	1625	708	1124	1253	1937	1637	1419	1500	867	1442	792	9	7	8	7	8					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	58923	114	195	913	847	898	850	822	448	505	819	846	468	793	1609	679	658	1157	522	184	843	914	1085	729	751	1114	1144	1277	1110	323	1378	1036	446	1437	1559	1008	906	2009	2002	2086	1779	1968	2624	1788	1649	722	1127	1265	1795	1625	1413	1510	870	1463	791	10	10	10	10	10					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	245	0	0	19	132	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31261	48	90	383	303	399	401	336	196	298	482	385	261	558	868	333	317	578	293	135	331	437	505	341	357	531	529	703	470	165	550	486	201	843	929	492	480	1250	1313	1223	1129	1249	1799	1216	990	288	533	635	879	918	614	678	399	714	381	9	7	8	7	8					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2550	12	23	100	44	67	90	91	69	23	60	47	44	13	117	75	61	84	42	18	70	39	34	66	59	80	57	33	29	8	43	33	4	40	5	23	50	54	35	51	20	29	10	15	20	45	25	64	211	31	55	35	38	21	38	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	24867	54	82	411	368	432	359	395	161	184	277	414	163	222	624	271	280	495	187	31	420	438	546	322	335	503	558	541	611	150	785	517	241	554	625	493	376	705	654	812	630	690	765	557	639	389	569	566	705	676	744	797	433	728	372	1	3	2	3	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2795	12	23	119	176	67	90	91	91	23	60	47	44	13	117	75	61	84	42	18	92	39	34	66	59	80	57	33	29	8	43	33	4	40	5	23	50	54	35	51	20	29	60	15	20	45	25	64	211	31	55	35	38	21	38	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31243	48	90	383	303	399	401	336	196	298	482	385	261	558	868	333	317	578	293	135	330	437	505	341	357	531	529	703	470	165	549	486	201	842	929	491	480	1250	1311	1223	1129	1248	1792	1213	990	287	533	635	879	918	614	678	399	714	381	9	7	8	7	8					
9	Число недействительных избирательных бюллетеней	407	1	0	0	4	7	3	6	3	5	10	7	5	14	12	2	6	10	9	2	8	11	3	8	4	1	3	13	14	3	13	1	3	7	10	4	3	5	13	10	19	13	15	13	22	1	7	3	18	14	6	6	6	16	5	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	33631	59	113	502	475	459	488	421	284	316	532	425	300	557	973	406	372	652	326	151	414	465	536	399	412	610	583	723	485	170	579	518	202	875	924	510	527	1299	1333	1264	1130	1264	1837	1215	988	331	551	696	1072	935	663	707	431	719	414	9	7	8	7	8					
