Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    Локомотивная поселковая														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №1717	УИК №1718	УИК №2273									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3876	1291	1257	1328									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3975	1325	1325	1325									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2012	525	755	732									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	48	17	13	18									
6	Число погашенных избирательных бюллетеней	1915	783	557	575									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	48	17	13	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2011	525	754	732									
9	Число недействительных избирательных бюллетеней	87	17	22	48									
10	Число действительных избирательных бюллетеней	1972	525	745	702									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	60	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	54	18	20	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	13	19	34									
14	Число погашенных неиспользованных открепительных удостоверений	6	2	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	11	10	22									
		2.09%	2.03%	1.30%	2.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	34	14	8	12									
		1.65%	2.58%	1.04%	1.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	46	17	16	13									
		2.23%	3.14%	2.09%	1.73%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	929	188	390	351									
		45.12%	34.69%	50.85%	46.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	2	6	4									
		0.58%	0.37%	0.78%	0.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	1	0	0									
		0.05%	0.18%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	482	147	164	171									
		23.41%	27.12%	21.38%	22.80%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	2	3	6									
		0.53%	0.37%	0.39%	0.80%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	4	1	10									
		0.73%	0.74%	0.13%	1.33%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	2	0	5									
		0.34%	0.37%	0.00%	0.67%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8	2	2	4									
		0.39%	0.37%	0.26%	0.53%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	174	77	63	34									
		8.45%	14.21%	8.21%	4.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	3	5	0									
		0.39%	0.55%	0.65%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	202	55	77	70									
		9.81%	10.15%	10.04%	9.33%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
