Выборы Президента Российской Федерации																																																																																													
Дата голосования: 02.03.2008																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Василеостровская N 2																																																																																													
																																																																																													
Сводная таблица результатов выборов																																																																																													
																																																																																													
	Число участковых избирательных комиссий	86																																																																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	86																																																																																											
																																																																																													
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №167	УИК №168	УИК №1840	УИК №1841					
1	"Число избирателей, включенных в списки избирателей"	133655	2270	1997	1505	1342	1582	1642	1606	1582	1788	1691	1822	2095	2406	1802	1578	2169	1806	1788	1698	1730	1814	1792	1915	1586	1579	1417	1611	1821	1625	1550	2062	1893	1705	2172	1563	1654	1754	1733	1353	1659	1980	1522	1896	1807	1830	1872	1850	1818	2107	1854	1833	2122	1648	1468	1521	1627	1714	1606	1372	1760	1854	1947	1807	2108	1983	1989	1943	1690	1466	1806	2005	2080	1889	2101	246	508	499	51	12	44	17	46	43	116	21	20					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	128870	2000	2000	1500	1300	1500	1600	1500	1400	1600	1500	1900	2100	2200	1800	1300	2200	1700	1700	1600	1700	1700	1700	1900	1400	1500	1400	1600	1800	1600	1600	2000	1900	1600	2000	1300	1600	1700	1700	1300	1600	1900	1500	1800	1800	1800	1800	1700	1800	2100	1800	1800	2100	1600	1200	1500	1600	1700	1600	1300	1700	1800	1900	1800	2000	2000	2000	1900	1600	1400	1800	2000	2000	1900	2100	250	450	500	51	12	44	17	46	43	116	21	20					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	98229	1837	1411	1293	1037	1070	1227	880	971	1091	1109	1380	1664	1616	1310	1010	1344	1449	1148	1234	1443	1242	1164	1682	1184	1156	1012	1012	1456	1140	1330	1206	1101	1477	1388	982	1477	1186	1130	881	1370	1393	1167	1149	1210	1251	1457	1077	1171	1311	1536	1698	1384	1291	1132	1164	1083	1212	1369	1062	1412	1395	1739	1574	1717	1914	1696	1416	1247	999	1204	1316	1859	1623	1422	233	403	484	51	12	42	17	44	43	109	21	20					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2669	22	35	24	20	17	33	20	67	35	47	19	52	56	50	13	27	21	27	24	35	28	36	18	116	32	25	40	77	42	18	32	68	34	29	25	31	34	27	30	43	26	2	34	62	50	47	36	59	65	23	35	27	41	1	40	37	51	31	22	34	43	23	14	5	40	33	23	29	16	54	24	66	46	101	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	27972	141	554	183	243	413	340	600	362	474	344	501	384	528	440	277	829	230	525	342	222	430	500	200	100	312	363	548	267	418	252	762	731	89	583	293	92	480	543	389	187	481	331	617	528	499	296	587	570	724	241	67	689	268	67	296	480	437	200	216	254	362	138	212	278	46	271	461	324	385	542	660	75	231	577	17	47	16	0	0	2	0	2	0	7	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2667	22	35	24	20	17	33	20	67	35	47	19	52	56	50	13	27	21	27	24	35	28	36	18	116	32	25	40	77	42	18	32	68	34	29	25	31	34	27	30	43	26	2	34	62	50	47	36	59	65	23	35	27	41	1	40	37	51	31	22	34	43	23	14	5	40	31	23	29	16	54	24	66	46	101	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	97909	1829	1411	1285	1027	1067	1227	876	969	1087	1104	1373	1651	1616	1309	1010	1344	1437	1148	1234	1438	1242	1164	1682	1184	1156	1004	1008	1456	1124	1312	1197	1090	1475	1382	982	1471	1180	1125	881	1368	1388	1167	1146	1201	1251	1457	1071	1167	1299	1536	1669	1381	1286	1132	1164	1074	1207	1369	1062	1412	1394	1739	1566	1717	1909	1696	1406	1247	999	1203	1312	1849	1623	1410	233	403	484	51	12	41	17	44	43	106	21	20					
9	Число недействительных избирательных бюллетеней	2471	43	34	31	15	29	22	32	31	30	34	50	34	37	29	23	43	30	35	38	41	31	25	44	39	20	10	16	29	27	0	33	41	48	44	26	95	22	29	25	32	23	19	19	41	34	41	25	21	44	32	78	29	53	45	26	32	29	25	24	33	27	29	39	42	36	31	41	31	29	30	32	37	27	34	3	6	5	9	1	1	1	2	0	6	2	0					
10	Число действительных избирательных бюллетеней	98105	1808	1412	1278	1032	1055	1238	864	1005	1092	1117	1342	1669	1635	1330	1000	1328	1428	1140	1220	1432	1239	1175	1656	1261	1168	1019	1032	1504	1139	1330	1196	1117	1461	1367	981	1407	1192	1123	886	1379	1391	1150	1161	1222	1267	1463	1082	1205	1320	1527	1626	1379	1274	1088	1178	1079	1229	1375	1060	1413	1410	1733	1541	1680	1913	1696	1388	1245	986	1227	1304	1878	1642	1477	230	397	479	42	11	40	16	42	43	100	19	20					
11	Число полученных открепительных  удостоверений	3044	90	40	45	40	39	35	60	40	50	40	120	60	50	50	30	52	28	31	50	60	50	48	35	30	30	35	40	50	45	35	50	35	35	50	30	30	30	30	30	30	35	25	40	34	40	40	30	40	31	35	22	53	42	60	30	50	30	30	30	50	30	35	30	30	44	45	45	35	30	35	30	30	70	50	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2648	82	40	40	40	32	26	53	35	40	31	112	58	42	50	29	52	20	31	36	47	27	39	35	30	26	34	40	47	37	30	45	33	31	42	26	23	26	29	18	30	35	22	32	29	36	38	26	27	31	35	20	53	41	45	28	31	20	30	20	36	29	32	22	16	42	41	38	28	26	32	23	30	60	50	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	2246	31	32	25	70	63	21	33	34	31	28	15	41	21	44	40	26	44	35	43	14	15	21	32	46	43	22	25	62	25	12	32	11	37	30	90	32	31	23	15	19	23	59	28	26	20	14	19	7	40	16	32	28	24	22	17	26	13	22	13	36	24	55	28	24	16	20	9	32	22	22	19	44	30	38	4	9	51	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	396	8	0	5	0	7	9	7	5	10	9	8	2	8	0	1	0	8	0	14	13	23	9	0	0	4	1	0	3	8	5	5	2	4	8	4	7	4	1	12	0	0	3	8	5	4	2	4	13	0	0	2	0	1	15	2	19	10	0	10	14	1	3	8	14	2	4	7	7	4	3	7	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	204	0	5	0	1	2	5	3	2	1	0	1	5	4	4	0	3	2	0	1	1	6	0	3	2	1	5	0	2	2	81	1	2	1	3	0	1	1	0	3	0	2	1	4	3	1	0	4	0	2	3	0	0	0	2	1	1	5	3	0	1	0	0	0	1	1	1	1	2	1	1	3	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
