Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Ивангородская городская															
															
Сводная таблица итогов голосования  по федеральному округу															
															
		Сумма	УИК №475	УИК №476	УИК №477	УИК №478	УИК №5315	УИК №5316	УИК №5317	УИК №5318					
1	"Число избирателей, внесенных в списки"	16044	2638	1600	2626	2750	2016	1954	1396	1064					
2	"Число бюллетеней, полученных участковыми комиссиями"	17230	2650	1630	2650	2750	2050	2000	1500	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10828	1277	839	1201	1152	2012	1935	1389	1023					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	157	25	15	24	38	4	3	7	41					
6	Число погашенных бюллетеней	6245	1348	776	1425	1560	34	62	104	936					
7	Число бюллетеней в переносных ящиках для голосования	157	25	15	24	38	4	3	7	41					
8	Число бюллетеней в стационарных ящиках для голосования	10819	1273	839	1201	1152	2012	1932	1387	1023					
9	Число недействительных бюллетеней	188	15	15	14	12	60	53	17	2					
10	Число действительных бюллетеней	10788	1283	839	1211	1178	1956	1882	1377	1062					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	445	40	25	40	40	75	75	75	75					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	7	12	5	7	20	19	4	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	13	0	15	10	1	0	0	0					
14	Число погашенных открепительных удостоверений	369	33	13	35	33	55	56	71	73					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	207	10	13	12	15	50	60	28	19					
		1.88%	0.77%	1.52%	0.97%	1.26%	2.48%	3.10%	2.00%	1.78%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	283	59	28	44	46	34	42	20	10					
		2.57%	4.54%	3.27%	3.59%	3.86%	1.68%	2.17%	1.43%	0.93%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	536	82	51	74	87	86	76	48	32					
		4.88%	6.31%	5.97%	6.04%	7.31%	4.26%	3.92%	3.44%	3.00%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	312	61	30	51	35	41	47	28	19					
		2.84%	4.69%	3.51%	4.16%	2.94%	2.03%	2.42%	2.00%	1.78%					
22	"5. ""За Русь Святую"""	59	5	2	4	6	10	18	7	7					
		0.53%	0.38%	0.23%	0.32%	0.50%	0.49%	0.93%	0.50%	0.65%					
23	"6. ""Объединенная Российская партия ""Русь"""	71	1	4	2	5	16	18	17	8					
		0.64%	0.07%	0.46%	0.16%	0.42%	0.79%	0.93%	1.21%	0.75%					
24	"7. ""Новый курс - Автомобильная Россия"""	61	10	9	12	13	3	4	8	2					
		0.55%	0.77%	1.05%	0.97%	1.09%	0.14%	0.20%	0.57%	0.18%					
25	"8. ""Народно-республиканская партия России"""	34	1	1	1	4	11	7	7	2					
		0.30%	0.07%	0.11%	0.08%	0.33%	0.54%	0.36%	0.50%	0.18%					
26	"9. ""Российская экологическая партия ""Зеленые"""	28	6	3	2	2	7	5	3	0					
		0.25%	0.46%	0.35%	0.16%	0.16%	0.34%	0.25%	0.21%	0.0%					
27	"10. ""Аграрная партия России"""	205	19	14	21	19	50	36	30	16					
		1.86%	1.46%	1.63%	1.71%	1.59%	2.48%	1.86%	2.15%	1.50%					
28	"11. ""Истинные патриоты России"""	26	1	0	1	3	8	9	1	3					
		0.23%	0.07%	0.0%	0.08%	0.25%	0.39%	0.46%	0.07%	0.28%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	162	26	10	22	11	39	18	26	10					
		1.47%	2.00%	1.17%	1.79%	0.92%	1.93%	0.93%	1.86%	0.93%					
30	"13. ""Демократическая партия России"""	38	2	0	0	4	13	12	6	1					
		0.34%	0.15%	0.0%	0.0%	0.33%	0.64%	0.62%	0.43%	0.09%					
31	"14. ""Великая Россия - Евразийский Союз"""	36	3	1	0	2	13	6	6	5					
		0.32%	0.23%	0.11%	0.0%	0.16%	0.64%	0.31%	0.43%	0.46%					
32	"15. ""Партия СЛОН"""	10	1	1	2	1	3	0	2	0					
		0.09%	0.07%	0.11%	0.16%	0.08%	0.14%	0.0%	0.14%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2156	119	83	135	136	543	503	437	200					
		19.64%	9.16%	9.71%	11.02%	11.42%	26.93%	25.99%	31.34%	18.79%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	39	2	0	2	4	14	10	4	3					
		0.35%	0.15%	0.0%	0.16%	0.33%	0.69%	0.51%	0.28%	0.28%					
35	"18. ""ЛДПР"""	978	135	93	126	134	151	138	103	98					
		8.91%	10.40%	10.88%	10.28%	11.26%	7.49%	7.13%	7.38%	9.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	167	22	13	19	28	26	31	14	14					
		1.52%	1.69%	1.52%	1.55%	2.35%	1.28%	1.60%	1.00%	1.31%					
37	"20. ""Политическая партия ""Единая Россия"""	3787	513	320	483	468	573	600	399	431					
		34.50%	39.52%	37.47%	39.42%	39.32%	28.42%	31.00%	28.62%	40.50%					
38	"21. ""Российская Конституционно-демократическая партия"""	27	2	1	3	1	10	6	2	2					
		0.24%	0.15%	0.11%	0.24%	0.08%	0.49%	0.31%	0.14%	0.18%					
39	"22. ""Развитие предпринимательства"""	41	5	4	13	2	6	7	4	0					
		0.37%	0.38%	0.46%	1.06%	0.16%	0.29%	0.36%	0.28%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1318	135	120	144	115	235	222	170	177					
		12.00%	10.40%	14.05%	11.75%	9.66%	11.65%	11.47%	12.19%	16.63%					
															
41	Против всех	207	63	38	38	37	14	7	7	3					
		1.88%	4.85%	4.44%	3.10%	3.10%	0.69%	0.36%	0.50%	0.28%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
