Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
"Наименование Избирательной комиссии:    Новокузнецк, Куйбышевская"																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57968	1044	1136	590	2124	1955	1788	1744	1642	1408	576	764	619	1576	1423	1306	2275	1915	913	1051	2269	1019	2287	2400	2383	2851	1643	1651	1768	1619	1656	1537	1764	2653	572	656	2213	1178									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57800	1000	1100	600	2050	2000	1800	1700	1750	1400	600	750	650	1550	1400	1300	2250	1900	900	850	2300	1000	2250	2400	2400	2850	1650	1700	1800	1600	1650	1550	1750	2700	550	600	2350	1150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45162	874	925	450	1661	1610	1217	1490	1415	1197	352	617	245	1346	1183	1070	1709	1472	750	729	1999	727	1525	2100	2082	2254	1280	1175	1458	950	1358	870	1455	2049	111	537	1993	927									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4025	22	14	32	46	52	286	15	38	48	137	100	283	22	17	40	192	17	18	21	50	170	293	38	110	88	150	99	70	450	28	224	51	51	425	33	166	129									
6	Число погашенных избирательных бюллетеней	8613	104	161	118	343	338	297	195	297	155	111	33	122	182	200	190	349	411	132	100	251	103	432	262	208	508	220	426	272	200	264	456	244	600	14	30	191	94									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4025	22	14	32	46	52	286	15	38	48	137	100	283	22	17	40	192	17	18	21	50	170	293	38	110	88	150	99	70	450	28	224	51	51	425	33	166	129									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45087	874	925	450	1661	1610	1217	1490	1415	1197	352	617	245	1346	1183	1070	1709	1472	750	729	1924	727	1525	2100	2082	2254	1280	1175	1458	950	1358	870	1455	2049	111	537	1993	927									
9	Число недействительных избирательных бюллетеней	183	2	23	0	2	8	17	0	0	0	5	6	0	16	0	5	0	3	0	4	25	0	11	11	11	0	0	8	11	10	0	4	0	0	1	0	0	0									
10	Число действительных избирательных бюллетеней	48929	894	916	482	1705	1654	1486	1505	1453	1245	484	711	528	1352	1200	1105	1901	1486	768	746	1949	897	1807	2127	2181	2342	1430	1266	1517	1390	1386	1090	1506	2100	535	570	2159	1056									
