Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
Наименование Избирательной комиссии:    Кулебакская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1222	УИК №1223	УИК №1224					
1	"Число избирателей, внесенных в список избирателей"	42966	1225	670	1214	1230	1010	1076	1342	1426	1289	1179	796	1049	835	634	899	762	935	1072	951	1066	465	725	717	1178	761	582	479	869	788	1649	1604	142	225	842	1153	1527	1218	1381	1380	402	433	703	609	226	160	549	1539					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35030	1000	550	900	1000	800	850	1100	1150	1050	950	700	900	700	500	700	650	800	900	800	900	350	600	600	1100	600	500	300	700	650	1300	1300	110	190	700	900	1250	1000	1100	1100	350	350	600	500	200	130	450	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19062	634	268	572	583	557	519	687	734	678	597	355	534	342	246	318	341	347	380	381	402	172	280	285	442	325	204	169	384	339	674	583	65	102	306	405	515	485	612	661	225	255	387	257	98	77	234	1046					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2538	82	75	34	32	34	42	57	56	49	46	24	24	41	15	81	36	86	119	71	97	51	35	75	91	43	43	99	26	22	72	140	43	36	55	117	48	12	31	44	50	38	43	69	65	21	51	17					
6	Число погашенных избирательных бюллетеней	13430	284	207	294	385	209	289	356	360	323	307	321	342	317	239	301	273	367	401	348	401	127	285	240	567	232	253	32	290	289	554	577	2	52	339	378	687	503	457	395	75	57	170	174	37	32	165	137					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2538	82	75	34	32	34	42	57	56	49	46	24	24	41	15	81	36	86	119	71	97	51	35	75	91	43	43	99	26	22	72	140	43	36	55	117	48	12	31	44	50	38	43	69	65	21	51	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19060	634	268	572	583	557	519	687	734	677	597	355	534	342	246	318	341	347	380	381	402	172	280	285	442	325	204	169	384	339	674	583	65	102	306	405	515	485	612	661	225	255	387	256	98	77	234	1046					
9	Число недействительных избирательных бюллетеней	238	3	3	12	4	10	11	12	6	10	5	10	6	4	1	4	6	7	2	3	2	4	3	3	5	7	3	6	6	5	5	7	3	2	3	4	3	1	7	7	2	1	5	5	1	0	2	17					
10	Число действительных избирательных бюллетеней	21360	713	340	594	611	581	550	732	784	716	638	369	552	379	260	395	371	426	497	449	497	219	312	357	528	361	244	262	404	356	741	716	105	136	358	518	560	496	636	698	273	292	425	320	162	98	283	1046					
