Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1768	УИК №1770	УИК №1771	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1810	УИК №1811	УИК №1812	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1836	УИК №1837	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1850	УИК №1851					
1	"Число избирателей, внесенных в список избирателей"	51692	2599	2522	2276	2433	2213	2195	1429	1124	1109	1198	1029	1499	1244	2055	1604	1088	1759	2058	988	1878	1922	2324	643	1708	1526	306	565	82	58	178	481	412	1880	1060	42	20	97	14	20	17	19	15	19	28	22	28	27	37	27	30	25	24	23	22	31	26	56	27	28	23	22	23	26	30	25	26	34	29	16	211	262	22	22	24	23	22	25	24	23	25	25	85	95	47	79	46	27	16	14	14	133	49	27	25	26	44	48	93	92	127	120	95	44	90	86	30	25	27	30	87	22	28	21	23	18	25	14	24	136	25	28	21	22	24	45	29	22	22	29	22	22	22	18	35	31	34	18	13	19	28					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43404	1800	1800	1600	2300	1700	1600	1000	1000	1000	900	900	1200	1000	2000	1500	1000	1300	1700	700	1600	1900	2200	450	1100	1100	250	450	90	70	200	453	365	1900	1029	42	20	97	14	20	17	19	15	19	28	22	28	27	37	27	30	25	24	23	22	31	26	56	27	28	23	22	23	26	30	25	26	34	29	16	211	262	22	22	24	23	22	25	24	23	25	25	85	95	47	79	46	27	16	14	14	133	49	27	25	26	44	48	93	92	127	120	95	44	90	86	30	25	27	30	87	22	28	21	23	18	25	14	24	136	25	28	21	22	24	45	29	22	22	29	22	22	22	18	35	31	34	18	13	19	28					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25622	968	1122	921	1003	903	1029	651	434	490	592	606	700	595	917	799	539	823	944	484	797	893	875	213	528	617	240	227	82	50	178	281	276	932	705	42	20	97	13	20	17	19	15	19	28	22	28	25	37	27	30	24	24	23	22	30	26	49	27	28	23	22	23	26	29	25	17	34	29	16	211	261	22	22	24	23	22	25	24	23	25	25	85	95	47	79	46	27	16	14	14	132	49	27	25	26	44	48	93	92	127	120	95	44	90	86	30	25	27	30	87	22	28	21	23	18	25	14	24	136	25	28	21	22	24	45	29	22	16	29	22	22	22	18	32	28	34	18	13	16	28					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	459	10	18	17	15	7	33	15	8	11	9	0	30	14	17	0	15	26	11	9	13	9	0	0	44	27	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	17322	822	660	662	1282	790	538	334	558	499	299	294	470	391	1066	701	446	451	745	207	789	998	1325	237	528	456	10	122	8	20	22	172	89	968	324	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	7	0	0	0	0	0	0	1	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	3	0	0	0	3	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	485	10	18	17	15	7	33	15	8	11	9	0	30	14	17	0	15	26	11	9	13	9	26	0	44	27	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25574	965	1122	919	1003	903	1029	651	434	490	592	606	700	592	917	789	538	823	944	482	797	893	849	213	528	617	240	227	82	50	178	281	276	931	705	42	20	97	13	20	17	19	15	19	28	22	28	25	37	27	30	24	24	23	22	30	26	49	27	28	23	22	23	26	29	25	17	34	29	16	211	261	22	22	24	23	22	25	24	23	25	25	85	95	47	79	46	27	16	14	14	132	49	27	25	26	44	48	93	92	127	120	95	44	90	86	30	25	27	30	87	22	28	21	23	18	25	14	24	136	25	28	21	22	24	45	29	22	16	29	22	22	22	18	32	28	34	18	13	16	28					
9	Число недействительных избирательных бюллетеней	567	24	18	37	32	16	19	10	13	8	18	21	9	13	32	13	8	16	15	7	20	24	14	3	17	15	5	3	1	2	5	8	10	33	21	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	4	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	7	0	1	1	0	1	4	2	1	0	0	0	0	0	0	0	0	4	1	0	1	1	4	0	4	0	3	0	0	0	0					
10	Число действительных избирательных бюллетеней	25492	951	1122	899	986	894	1043	656	429	493	583	585	721	593	902	776	545	833	940	484	790	878	861	210	555	629	235	325	81	48	173	273	266	898	684	41	20	97	13	20	17	19	15	19	28	22	25	25	36	27	29	24	24	22	22	26	26	49	27	28	23	21	23	26	27	25	17	34	29	16	211	259	22	22	24	23	22	25	24	22	25	25	85	95	47	79	46	27	16	14	14	130	49	27	25	26	44	48	93	92	126	118	95	44	90	86	30	25	27	30	80	22	27	20	23	17	21	12	23	136	25	28	21	22	24	45	29	18	15	29	21	21	18	18	28	28	31	18	13	16	28					
