Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Зейская городская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315					
1	"Число избирателей, внесенных в список"	21174	2218	1669	1665	1077	1382	1583	2001	2491	2453	1980	1964	691					
2	Число полученных избирательных бюллетеней	20800	2100	1700	1600	1100	1400	1500	2000	2400	2400	1900	2000	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10896	1280	929	999	652	735	760	986	1130	1174	973	893	385					
5	"Число избирательных бюллетеней, выданных вне помещения"	709	36	24	26	20	46	73	130	108	91	54	75	26					
6	Число погашенных избирательных бюллетеней	9195	784	747	575	428	619	667	884	1162	1135	873	1032	289					
7	Число избирательных бюллетеней в переносных ящиках	709	36	24	26	20	46	73	130	108	91	54	75	26					
8	Число бюллетеней в стационарных ящиках для голосования	10896	1280	929	999	652	735	760	986	1130	1174	973	893	385					
9	Число недействительных избирательных бюллетеней	50	0	4	6	6	3	8	3	5	4	7	4	0					
10	Число действительных избирательных бюллетеней	11555	1316	949	1019	666	778	825	1113	1233	1261	1020	964	411					
11	Число полученных открепительных  удостоверений	360	30	30	30	30	30	30	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	102	19	14	8	7	14	5	8	5	4	5	12	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	7	6	2	0	3	1	6	2	4	2	6	4					
14	Число неиспользованных открепительных удостоверений	258	11	16	22	23	16	25	22	25	26	25	18	29					
15	"Число открепительных удостоверений, выданных в ТИК"	9	1	0	2	0	2	0	1	0	2	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	707	102	54	82	40	57	32	51	69	68	48	79	25					
		6.09%	7.75%	5.67%	8.00%	5.95%	7.30%	3.84%	4.57%	5.57%	5.38%	4.67%	8.16%	6.08%					
19	. Малышкин Олег Александрович	423	52	48	38	24	14	27	29	51	47	33	43	17					
		3.64%	3.95%	5.04%	3.71%	3.57%	1.79%	3.24%	2.60%	4.12%	3.72%	3.21%	4.44%	4.14%					
20	. Миронов Сергей Михайлович	145	16	11	14	5	8	10	18	13	15	16	15	4					
		1.25%	1.22%	1.15%	1.37%	0.74%	1.02%	1.20%	1.61%	1.05%	1.19%	1.56%	1.55%	0.97%					
21	. Путин Владимир Владимирович	7065	763	612	599	400	450	496	697	725	776	666	618	263					
		60.88%	57.98%	64.22%	58.44%	59.52%	57.62%	59.54%	62.46%	58.56%	61.34%	64.85%	63.84%	63.99%					
22	. Хакамада Ирина Муцуовна	576	82	46	44	35	48	34	48	56	47	52	53	31					
		4.96%	6.23%	4.83%	4.29%	5.21%	6.15%	4.08%	4.30%	4.52%	3.72%	5.06%	5.48%	7.54%					
23	. Харитонов Николай Михайлович	2124	230	131	184	125	153	192	214	293	247	178	126	51					
		18.30%	17.48%	13.75%	17.95%	18.60%	19.59%	23.05%	19.18%	23.67%	19.53%	17.33%	13.02%	12.41%					
																			
24	Против всех	515	71	47	58	37	48	34	56	26	61	27	30	20					
		4.44%	5.40%	4.93%	5.66%	5.51%	6.15%	4.08%	5.02%	2.10%	4.82%	2.63%	3.10%	4.87%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
