Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Печенгская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №415									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30878	1398	692	1148	1429	1360	740	764	1485	1026	678	140	846	930	1738	1765	761	882	1746	919	978	842	1822	1014	1950	1177	426	1024	672	119	407									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23500	970	490	1100	995	950	515	540	1040	710	470	134	590	685	1220	1230	530	620	1220	645	680	585	1270	900	1936	1000	385	930	630	121	409									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	826	0	0	114	0	0	0	0	0	34	0	25	0	47	0	0	0	0	0	0	0	0	0	0	606	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11448	420	149	296	385	383	208	223	469	306	165	57	259	273	501	508	182	247	497	282	317	263	724	725	1186	763	192	688	512	85	183									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	132	16	0	0	6	6	9	5	7	5	0	0	1	3	2	2	15	0	6	3	2	1	2	0	0	41	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	11094	534	341	690	604	561	298	312	564	365	305	52	330	362	717	720	333	373	717	360	361	321	544	175	144	196	193	242	118	36	226									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	958	16	0	114	6	6	9	5	7	39	0	25	1	50	2	2	15	0	6	3	2	1	2	0	606	41	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11408	419	149	296	385	383	208	222	468	305	165	57	259	273	501	508	182	247	497	282	316	261	722	725	1183	763	192	660	512	85	183									
9	Число недействительных избирательных бюллетеней	438	18	7	9	20	12	6	12	18	13	4	3	8	19	23	12	8	3	20	7	12	5	45	31	50	25	4	28	9	0	7									
10	Число действительных избирательных бюллетеней	11928	417	142	401	371	377	211	215	457	331	161	79	252	304	480	498	189	244	483	278	306	257	679	694	1739	779	188	632	503	85	176									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	10	5	10	10	10	8	8	10	8	8	5	8	10	10	10	8	8	10	8	8	8	10	15	10	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	98	7	1	6	1	3	5	4	6	1	0	0	6	2	7	4	4	4	7	1	0	2	3	11	5	1	4	3	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	1	0	1	4	0	1	3	2	1	0	0	1	4	4	0	3	1	2	0	0	2	2	0	5	2	37	2	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	147	3	4	4	9	7	3	4	4	7	8	5	2	8	3	6	4	4	3	7	8	6	7	4	5	4	1	2	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	386	10	4	16	9	4	4	6	7	6	0	0	2	5	4	3	2	2	0	3	4	1	5	17	92	164	0	12	0	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
