Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
"Наименование Избирательной комиссии:    Волгоград, Тракторозаводская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951					
1	"Число избирателей, внесенных в список избирателей"	105275	2202	1923	2547	2407	2511	2411	1393	2428	2085	1990	2165	2214	2037	2530	2397	2554	2079	1544	2746	2777	2495	2772	1284	1539	1995	1990	1924	2389	1586	2063	2164	2068	2528	2474	2437	1551	1560	1674	1673	1677	2316	1412	2102	2233	2372	1816	2174	1648	974	1939	1506					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102500	2200	1800	2500	2400	2500	2400	1400	2200	2100	2000	2100	2200	2100	2500	2400	2500	2000	1500	2700	2800	2500	2800	1100	1300	2000	2000	1700	2400	1500	2000	2100	2000	2500	2400	2300	1500	1500	1700	1600	1600	2200	1400	2100	2000	2300	1800	2100	1600	900	1900	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47274	964	959	1130	1233	1249	1134	628	1067	994	1061	1095	1126	993	1167	1186	1156	1070	745	1505	1405	1283	1467	434	595	638	899	769	1150	616	882	1081	885	1085	993	1040	718	643	721	707	700	880	542	784	1003	1000	748	858	575	316	838	557					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1920	29	13	16	23	23	40	23	144	25	25	17	22	19	38	12	20	31	20	25	27	25	12	100	32	14	27	208	25	47	26	31	34	27	107	100	57	14	9	21	16	77	16	22	21	17	28	56	24	13	15	107					
6	Число погашенных избирательных бюллетеней	53306	1207	828	1354	1144	1228	1226	749	989	1081	914	988	1052	1088	1295	1202	1324	899	735	1170	1368	1192	1321	566	673	1348	1074	723	1225	837	1092	988	1081	1388	1300	1160	725	843	970	872	884	1243	842	1294	976	1283	1024	1186	1001	571	1047	736					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1920	29	13	16	23	23	40	23	144	25	25	17	22	19	38	12	20	31	20	25	27	25	12	100	32	14	27	208	25	47	26	31	34	27	107	100	57	14	9	21	16	77	16	22	21	17	28	56	24	13	15	107					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47266	963	958	1130	1233	1248	1134	628	1067	994	1061	1095	1126	993	1167	1186	1154	1070	745	1505	1404	1283	1467	434	595	638	899	768	1150	616	882	1081	885	1085	993	1040	718	643	721	707	700	880	542	784	1003	1000	747	858	575	316	838	557					
9	Число недействительных избирательных бюллетеней	779	14	18	14	11	24	21	15	12	23	17	20	21	14	17	20	16	18	9	24	37	30	16	12	11	15	10	16	9	8	14	20	13	11	14	22	12	11	14	16	22	13	4	13	23	9	16	13	5	4	10	8					
10	Число действительных избирательных бюллетеней	48407	978	953	1132	1245	1247	1153	636	1199	996	1069	1092	1127	998	1188	1178	1158	1083	756	1506	1394	1278	1463	522	616	637	916	960	1166	655	894	1092	906	1101	1086	1118	763	646	716	712	694	944	554	793	1001	1008	759	901	594	325	843	656					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1580	35	30	30	30	30	40	20	35	20	30	30	30	30	35	30	30	30	30	40	30	50	45	20	20	20	35	30	30	30	30	35	20	50	50	35	20	20	45	30	20	40	30	45	30	45	30	30	20	20	20	20					
