Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Омск, Ленинская"																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171					
1	"Число избирателей, внесенных в список избирателей"	159082	2356	2448	2389	2553	2353	2189	2200	2013	2031	2736	2292	2304	1085	152	2062	2005	1980	2077	2143	2398	2566	2275	2817	2243	2388	2261	2310	2321	2321	2343	2053	1904	1859	1762	1925	2451	2204	2090	1574	657	848	2048	2082	1202	2652	2286	1988	2006	1532	193	2384	2214	2075	1973	1957	1847	1932	2657	2820	2573	2115	2408	2086	2027	2771	788	559	1109	1865	564	2266	2427	2405	2669	2867	2427	2556	1353	310	151					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	160860	2390	2480	2410	2580	2400	2210	2230	2020	2050	2760	2310	2310	1100	150	2090	2000	2000	2120	2170	2370	2590	2310	2850	2290	2420	2290	2360	2350	2370	2390	2130	1960	1920	1780	1920	2490	2230	2150	1590	660	860	2060	2090	1200	2700	2010	1970	1990	1550	250	2190	2240	2060	1990	1990	1890	1970	2660	2870	2590	2130	2410	2090	2030	2810	800	570	1560	1920	1020	2300	2430	2450	2710	2500	2400	2400	1100	400	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	74215	1270	1161	1260	1334	1175	1244	1199	1117	1002	832	1061	930	397	149	733	1028	885	897	852	815	863	1018	1289	1103	1161	1087	1126	1164	1066	1114	949	885	791	858	918	1062	979	1224	652	334	324	788	674	488	1558	1836	914	1147	784	176	1348	1137	1037	1032	1084	1018	1014	961	975	866	730	720	657	795	840	259	313	1078	1769	526	888	789	1083	1168	1236	1119	1181	458	310	151					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2808	52	69	56	57	68	46	44	55	37	12	34	53	4	0	31	25	19	19	16	30	26	26	30	28	25	33	34	22	32	46	22	37	32	25	38	26	15	8	29	279	9	26	37	28	23	39	118	30	12	14	58	41	30	45	40	38	30	21	30	19	36	24	31	13	25	26	11	31	24	38	25	56	42	24	50	58	31	35	0	0					
6	Число погашенных избирательных бюллетеней	83837	1068	1250	1094	1189	1157	920	987	848	1011	1916	1215	1327	699	1	1326	947	1096	1204	1302	1525	1701	1266	1531	1159	1234	1170	1200	1164	1272	1230	1159	1038	1097	897	964	1402	1236	918	909	47	527	1246	1379	684	1119	135	938	813	754	60	784	1062	993	913	866	834	926	1678	1865	1705	1364	1666	1402	1222	1945	515	246	451	127	456	1387	1585	1325	1518	1214	1223	1188	607	90	349					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2807	52	69	56	57	68	46	44	55	37	12	34	53	3	0	31	25	19	19	16	30	26	26	30	28	25	33	34	22	32	46	22	37	32	25	38	26	15	8	29	279	9	26	37	28	23	39	118	30	12	14	58	41	30	45	40	38	30	21	30	19	36	24	31	13	25	26	11	31	24	38	25	56	42	24	50	58	31	35	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	74097	1269	1161	1260	1334	1175	1244	1199	1117	1002	832	1061	930	397	149	733	1028	885	897	852	815	863	1018	1289	1102	1157	1087	1124	1115	1028	1114	949	883	791	858	918	1061	978	1216	652	334	324	788	674	488	1558	1836	914	1147	784	176	1348	1136	1035	1032	1084	1018	1014	961	975	865	730	720	657	795	840	259	313	1078	1769	526	888	789	1083	1168	1230	1118	1181	458	310	151					
9	Число недействительных избирательных бюллетеней	1534	26	23	41	35	19	30	26	19	20	10	29	22	7	2	11	16	15	14	20	23	15	20	34	21	15	22	10	13	7	18	12	30	21	28	29	25	21	16	17	24	7	22	14	13	37	17	26	34	13	10	16	24	20	18	13	20	15	19	24	21	31	19	12	20	15	10	7	28	23	7	20	16	23	14	32	20	24	9	13	2					
10	Число действительных избирательных бюллетеней	75370	1295	1207	1275	1356	1224	1260	1217	1153	1019	834	1066	961	393	147	753	1037	889	902	848	822	874	1024	1285	1109	1167	1098	1148	1124	1053	1142	959	890	802	855	927	1062	972	1208	664	589	326	792	697	503	1544	1858	1006	1143	783	180	1390	1153	1045	1059	1111	1036	1029	963	981	863	735	725	676	788	850	275	317	1081	1770	557	893	829	1102	1178	1248	1156	1188	484	297	149					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4479	70	80	60	70	60	70	69	60	60	70	80	70	30	0	50	50	60	50	50	50	60	60	70	80	60	70	60	60	60	60	50	50	50	40	40	60	50	100	50	10	20	50	50	40	70	100	60	49	40	0	50	50	60	90	60	70	70	60	90	60	50	60	50	50	70	31	50	70	100	30	80	60	60	60	70	60	60	30	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3862	60	58	55	70	50	62	63	51	60	60	75	55	28	0	47	47	46	47	47	40	55	60	60	50	54	60	60	53	60	56	49	50	49	31	40	52	41	91	45	5	18	50	26	22	69	88	59	49	33	0	48	49	51	77	46	56	59	55	79	43	29	38	38	41	54	29	22	60	64	26	57	52	60	60	70	57	59	27	0	0					
