Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Омск, Ленинская"																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170					
1	"Число избирателей, внесенных в списки избирателей"	164301	2510	2588	2517	2693	2558	2705	2293	2193	2200	2144	2269	2058	1969	1980	2008	2681	3083	2201	2568	2686	2981	2489	2647	2921	2964	1629	1635	786	586	2326	1217	1005	2234	2126	2702	2504	2490	2586	2606	1350	2151	2088	2098	2120	2183	2412	2491	2379	2685	2401	2566	2421	2375	2372	2487	2356	2475	2310	2551	2617	2386	2271	2801	523	872	2451	2587	1162	2649	2445	2987	2681	157	225	483	198	197					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	161007	2500	2500	2500	2700	2500	2700	2200	2100	2100	2100	2200	2000	1900	2000	2000	2400	2900	2200	2600	2600	2900	2500	2600	2900	2800	1600	1500	700	500	2400	1100	1000	2200	2100	2700	2500	2500	2600	2600	1300	2100	2100	2100	2100	2100	2300	2500	2424	2600	2413	2500	2400	2400	2300	2500	2300	2400	2300	2500	2600	2400	2200	2800	520	800	2400	2600	1100	2500	2200	2800	2600	200	250	500	200	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	88741	1499	1425	1505	1638	1431	1608	1373	1389	1356	1179	1300	1314	1189	1245	1181	1665	1392	1151	1282	1134	1386	1112	1153	1196	1297	714	560	341	341	2019	915	646	1043	732	1381	1398	1403	1365	1308	630	980	1190	1026	1066	1108	1046	1102	1248	1423	1325	1421	1364	1314	1280	1311	1246	1325	1187	1327	1455	1400	1157	1290	298	403	1100	1073	580	1780	1842	1896	1725	157	222	483	198	197					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3465	64	115	79	92	95	102	40	69	54	47	35	50	45	49	35	63	38	38	39	16	44	42	48	46	28	27	21	36	7	53	10	42	30	39	62	32	57	48	39	30	31	20	41	21	23	39	53	38	43	30	36	25	45	32	42	48	44	58	66	61	53	25	18	222	11	44	74	24	25	32	181	54	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	68801	937	960	916	970	974	990	787	642	690	874	865	636	666	706	784	672	1470	1011	1279	1450	1470	1346	1399	1658	1475	859	919	323	152	328	175	312	1127	1329	1257	1070	1040	1187	1253	640	1089	890	1033	1013	969	1215	1345	1138	1134	1058	1043	1011	1041	988	1147	1006	1031	1055	1107	1084	947	1018	1492	0	386	1256	1453	496	695	326	723	821	43	28	17	2	103					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3464	64	115	79	92	95	102	40	69	54	47	35	50	45	49	35	63	38	38	39	16	44	42	48	46	28	27	21	36	7	53	10	42	30	39	62	32	57	48	39	30	31	20	41	21	23	39	53	38	43	30	36	25	45	32	42	48	44	58	66	61	53	25	18	222	11	44	74	24	25	32	180	54	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	88678	1497	1425	1505	1638	1431	1608	1373	1385	1356	1176	1300	1314	1189	1245	1181	1661	1391	1151	1281	1134	1386	1112	1153	1196	1295	714	560	340	341	2018	915	646	1043	732	1381	1397	1402	1360	1308	630	980	1190	1026	1066	1107	1046	1102	1246	1422	1324	1421	1364	1314	1280	1311	1246	1325	1187	1326	1455	1395	1157	1290	298	403	1100	1073	580	1779	1842	1872	1725	157	222	483	198	196					
9	Число недействительных избирательных бюллетеней	1304	22	24	31	23	20	31	18	17	15	13	14	16	21	11	21	23	36	24	9	25	31	8	17	19	19	13	4	5	12	27	16	4	16	13	18	23	31	19	11	11	10	15	10	8	14	10	20	20	25	19	19	14	21	16	24	20	17	19	12	19	13	12	18	7	8	20	16	11	23	23	31	40	4	1	6	5	3					
10	Число действительных избирательных бюллетеней	90838	1539	1516	1553	1707	1506	1679	1395	1437	1395	1210	1321	1348	1213	1283	1195	1701	1393	1165	1311	1125	1399	1146	1184	1223	1304	728	577	371	336	2044	909	684	1057	758	1425	1406	1428	1389	1336	649	1001	1195	1057	1079	1116	1075	1135	1264	1440	1335	1438	1375	1338	1296	1329	1274	1352	1226	1380	1497	1435	1170	1290	513	406	1124	1131	593	1781	1851	2021	1739	153	221	477	193	193					
