Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																		
Дата голосования: 02.12.2007																																																		
																																																		
Наименование Избирательной комиссии:    Нижнеилимская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933					
1	"Число избирателей, внесенных в списки избирателей"	48526	1652	1407	1291	1798	1883	2317	2346	2148	1531	2816	845	2157	123	661	525	407	880	595	1041	59	582	45	860	770	127	548	59	438	1091	924	157	478	333	2008	1384	868	1025	786	770	2306	1772	1811	2902					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45763	1500	1300	1100	1600	1600	2200	2200	2000	1300	2600	700	2000	128	680	510	390	800	600	1040	60	560	43	850	750	127	550	64	440	1050	900	161	450	330	2000	1350	840	1010	780	750	2200	1700	1700	2850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27487	874	785	674	963	993	1392	1384	1374	940	1817	589	1321	70	438	288	262	579	397	576	50	297	26	468	384	58	279	33	217	561	455	103	237	152	1061	685	490	630	496	474	1130	903	927	1655					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1177	22	30	16	38	37	82	49	35	69	53	10	21	3	17	7	7	16	30	40	4	26	0	63	33	14	36	0	17	44	45	4	13	28	39	42	16	20	11	34	26	27	26	27					
6	Число погашенных избирательных бюллетеней	17099	604	485	410	599	570	726	767	591	291	730	101	658	55	225	215	121	205	173	424	6	237	17	319	333	55	235	31	206	445	400	54	200	150	900	623	334	360	273	242	1044	770	747	1168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1177	22	30	16	38	37	82	49	35	69	53	10	21	3	17	7	7	16	30	40	4	26	0	63	33	14	36	0	17	44	45	4	13	28	39	42	16	20	11	34	26	27	26	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27470	871	785	673	962	993	1392	1378	1374	940	1817	589	1321	70	438	288	262	579	397	576	50	297	26	468	384	58	279	33	217	561	450	103	237	152	1060	685	490	630	496	474	1130	903	927	1655					
9	Число недействительных избирательных бюллетеней	328	6	12	19	18	9	21	22	6	12	24	4	15	0	4	3	4	8	7	10	0	3	1	7	3	0	3	0	5	9	5	3	1	1	13	5	9	6	6	6	14	7	8	9					
10	Число действительных избирательных бюллетеней	28319	887	803	670	982	1021	1453	1405	1403	997	1846	595	1327	73	451	292	265	587	420	606	54	320	25	524	414	72	312	33	229	596	490	104	249	179	1086	722	497	644	501	502	1142	923	945	1673					
