Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Ясненская городская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16644	271	413	46	115	378	49	625	70	115	123	663	156	67	675	1732	1698	1660	2649	1600	1723	1816									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16510	269	416	45	118	384	51	614	71	115	128	663	157	66	680	1710	1677	1644	2625	1576	1709	1792									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6529	76	224	36	53	149	22	270	36	36	61	283	56	25	281	565	668	536	1044	659	703	746									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	217	14	16	0	7	19	0	13	3	0	6	18	2	1	43	10	8	11	9	6	21	10									
6	Число погашенных избирательных бюллетеней	9764	179	176	9	58	216	29	331	32	79	61	362	99	40	356	1135	1001	1097	1572	911	985	1036									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	216	14	16	0	7	19	0	13	3	0	6	18	2	1	43	10	8	11	9	6	20	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6529	76	224	36	53	149	22	270	36	36	61	283	56	25	281	565	668	536	1044	659	703	746									
9	Число недействительных избирательных бюллетеней	211	3	3	0	1	4	0	13	2	3	3	6	3	1	11	22	14	18	25	27	24	28									
10	Число действительных избирательных бюллетеней	6534	87	237	36	59	164	22	270	37	33	64	295	55	25	313	553	662	529	1028	638	699	728									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	5	10	5	5	10	5	10	5	5	5	10	5	5	10	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	48	0	1	0	1	2	0	4	0	0	0	2	0	0	4	5	5	9	8	2	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	0	3	1	2	0	0	2	1	1	2	0	0	2	1	3	5	7	5	1	4	8									
14	Число погашенных неиспользованных открепительных удостоверений	152	5	9	5	4	8	5	6	5	5	5	8	5	5	6	10	10	6	7	13	12	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	2	0	1	0	0	1	0	0	1	1	0	0	0	1	1	0	5	1	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	57	1	0	0	1	1	1	0	0	0	0	4	1	0	1	3	9	5	6	8	11	5									
		0.85%	1.11%	0.00%	0.00%	1.67%	0.60%	4.55%	0.00%	0.00%	0.00%	0.00%	1.33%	1.72%	0.00%	0.31%	0.52%	1.33%	0.91%	0.57%	1.20%	1.52%	0.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	262	4	12	2	4	3	0	14	0	0	3	12	1	0	15	26	27	25	34	29	22	29									
		3.88%	4.44%	5.00%	5.56%	6.67%	1.79%	0.00%	4.95%	0.00%	0.00%	4.48%	3.99%	1.72%	0.00%	4.63%	4.52%	3.99%	4.57%	3.23%	4.36%	3.04%	3.84%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	115	1	3	0	0	1	0	2	0	0	0	3	0	0	3	5	14	9	24	21	15	14									
		1.70%	1.11%	1.25%	0.00%	0.00%	0.60%	0.00%	0.71%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.93%	0.87%	2.07%	1.65%	2.28%	3.16%	2.07%	1.85%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2723	34	99	16	25	83	13	134	23	16	24	135	36	17	158	209	261	206	409	264	247	314									
		40.37%	37.78%	41.25%	44.44%	41.67%	49.40%	59.09%	47.35%	58.97%	44.44%	35.82%	44.85%	62.07%	65.38%	48.77%	36.35%	38.61%	37.66%	38.84%	39.70%	34.16%	41.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	32	2	0	0	0	0	0	2	0	0	0	0	1	2	0	3	2	1	5	4	7	3									
		0.47%	2.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	1.72%	7.69%	0.00%	0.52%	0.30%	0.18%	0.47%	0.60%	0.97%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	1	2	0	0	0	0	2	0	0	0	3	0	0	1	0	0	4	0	0	3	2									
		0.27%	1.11%	0.83%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.31%	0.00%	0.00%	0.73%	0.00%	0.00%	0.41%	0.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1547	27	46	8	7	43	5	44	7	9	14	63	4	3	36	159	180	116	247	154	183	192									
		22.94%	30.00%	19.17%	22.22%	11.67%	25.60%	22.73%	15.55%	17.95%	25.00%	20.90%	20.93%	6.90%	11.54%	11.11%	27.65%	26.63%	21.21%	23.46%	23.16%	25.31%	25.40%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	8	3	2	3	3	5									
		0.42%	0.00%	0.42%	0.00%	1.67%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	1.18%	0.55%	0.19%	0.45%	0.41%	0.66%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	74	0	0	0	0	0	1	0	1	1	0	1	0	0	2	13	10	9	11	7	10	8									
		1.10%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	2.56%	2.78%	0.00%	0.33%	0.00%	0.00%	0.62%	2.26%	1.48%	1.65%	1.04%	1.05%	1.38%	1.06%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	20	0	0	0	2	1	0	0	0	0	1	2	1	0	2	0	0	3	5	1	1	1									
		0.30%	0.00%	0.00%	0.00%	3.33%	0.60%	0.00%	0.00%	0.00%	0.00%	1.49%	0.66%	1.72%	0.00%	0.62%	0.00%	0.00%	0.55%	0.47%	0.15%	0.14%	0.13%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	1	2	0	0	2	0	0	0	0	1	1	0	0	1	0	3	5	6	7	7	4									
		0.59%	1.11%	0.83%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	1.49%	0.33%	0.00%	0.00%	0.31%	0.00%	0.44%	0.91%	0.57%	1.05%	0.97%	0.53%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1259	10	46	1	11	23	0	44	5	1	14	53	8	3	76	111	118	116	225	117	153	124									
		18.67%	11.11%	19.17%	2.78%	18.33%	13.69%	0.00%	15.55%	12.82%	2.78%	20.90%	17.61%	13.79%	11.54%	23.46%	19.30%	17.46%	21.21%	21.37%	17.59%	21.16%	16.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	25	0	2	0	1	2	0	1	0	0	1	0	1	0	2	3	1	2	3	0	4	2									
		0.37%	0.00%	0.83%	0.00%	1.67%	1.19%	0.00%	0.35%	0.00%	0.00%	1.49%	0.00%	1.72%	0.00%	0.62%	0.52%	0.15%	0.37%	0.28%	0.00%	0.55%	0.26%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	334	6	24	9	7	5	2	26	1	6	6	17	2	0	16	21	29	25	51	23	33	25									
		4.95%	6.67%	10.00%	25.00%	11.67%	2.98%	9.09%	9.19%	2.56%	16.67%	8.96%	5.65%	3.45%	0.00%	4.94%	3.65%	4.29%	4.57%	4.84%	3.46%	4.56%	3.31%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
