Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва														
Дата голосования: 18.09.2016														
														
Наименование Избирательной комиссии:    ЗАТО Комаровская														
														
Сводная таблица итогов голосования по федеральному избирательному округу														
														
		Сумма	УИК №495	УИК №496	УИК №497									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4454	1495	1531	1428									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4129	1375	1401	1353									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	171	87	38	46									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2101	708	715	678									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	56	22	14	20									
6	Число погашенных избирательных бюллетеней	1801	558	634	609									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	227	109	52	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2098	705	715	678									
9	Число недействительных избирательных бюллетеней	59	23	13	23									
10	Число действительных избирательных бюллетеней	2266	791	754	721									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	93	33	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	16	7	2	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	18	15	4									
14	Число погашенных неиспользованных открепительных удостоверений	77	26	28	23									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	3	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0									
														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	5	16	11									
		1.38%	0.61%	2.09%	1.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	57	23	17	17									
		2.45%	2.83%	2.22%	2.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	27	13	10	4									
		1.16%	1.60%	1.30%	0.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1193	426	366	401									
		51.31%	52.33%	47.72%	53.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	7	4	3									
		0.60%	0.86%	0.52%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	2	2	4									
		0.34%	0.25%	0.26%	0.54%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	549	191	203	155									
		23.61%	23.46%	26.47%	20.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	8	4	3									
		0.65%	0.98%	0.52%	0.40%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	8	5	8									
		0.90%	0.98%	0.65%	1.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	1									
		0.04%	0.00%	0.00%	0.13%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	19	10	7	2									
		0.82%	1.23%	0.91%	0.27%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	231	69	90	72									
		9.94%	8.48%	11.73%	9.68%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	4	9	10									
		0.99%	0.49%	1.17%	1.34%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	76	25	21	30									
		3.27%	3.07%	2.74%	4.03%									
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
