Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Артинская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148					
1	"Число избирателей, внесенных в списки избирателей"	26565	1937	712	1336	2707	2606	2262	344	681	72	169	385	215	77	154	396	655	119	531	294	70	1518	85	137	260	92	361	622	271	524	883	54	87	199	1174	223	127	88	873	235	294	274	326	665	68	71	674	149	247	262					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26670	1850	725	1300	2625	2650	2250	330	700	70	175	390	210	80	165	435	670	120	550	290	65	1530	90	130	260	90	380	650	290	550	870	50	80	200	1230	230	130	90	870	240	295	270	320	700	60	75	690	150	250	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	124	0	0	0	0	0	0	0	32	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14922	934	397	679	1349	1457	1177	195	410	52	113	219	124	54	97	248	388	81	310	173	50	868	71	106	114	70	201	325	182	313	510	41	57	112	637	152	79	53	480	129	169	157	182	447	53	57	453	94	136	167					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1335	117	15	52	143	92	52	31	25	9	11	20	6	2	16	22	43	0	20	6	2	35	3	2	31	12	30	80	11	62	15	4	10	7	60	13	11	8	67	22	22	8	16	41	3	0	37	0	17	24					
6	Число погашенных избирательных бюллетеней	10289	799	313	569	1133	1101	1021	104	233	9	51	129	80	24	52	165	239	39	220	111	13	627	16	22	61	8	149	245	97	175	329	5	13	81	533	65	40	29	323	89	104	105	122	212	4	18	200	56	97	59					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1459	117	15	52	143	92	52	31	57	9	11	42	6	2	16	22	43	0	20	6	2	35	3	2	85	12	30	80	11	62	31	4	10	7	60	13	11	8	67	22	22	8	16	41	3	0	37	0	17	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14920	934	397	679	1349	1456	1176	195	410	52	113	219	124	54	97	248	388	81	310	173	50	868	71	106	114	70	201	325	182	313	510	41	57	112	637	152	79	53	480	129	169	157	182	447	53	57	453	94	136	167					
9	Число недействительных избирательных бюллетеней	154	6	3	8	11	11	6	0	6	0	3	2	2	1	1	11	2	0	4	3	0	15	0	1	0	0	1	2	1	7	6	0	0	0	6	1	2	0	2	1	4	2	2	3	0	3	14	0	0	1					
10	Число действительных избирательных бюллетеней	16225	1045	409	723	1481	1537	1222	226	461	61	121	259	128	55	112	259	429	81	326	176	52	888	74	107	199	82	230	403	192	368	535	45	67	119	691	164	88	61	545	150	187	163	196	485	56	54	476	94	153	190					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	364	8	6	12	13	19	9	3	5	2	2	16	2	2	4	27	5	3	5	3	3	15	3	3	2	2	12	15	8	20	8	3	2	3	20	3	4	1	10	3	3	13	5	24	5	4	13	2	6	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	353	7	5	10	12	19	9	3	5	2	2	16	2	2	4	27	5	3	5	3	3	15	3	3	2	0	12	15	8	20	7	3	2	3	20	3	4	1	10	3	2	13	5	24	5	4	11	2	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	106	5	4	2	7	15	3	1	2	1	0	2	0	4	2	1	1	0	1	5	3	5	2	0	1	0	0	1	0	1	7	3	0	0	5	1	0	0	3	2	0	1	0	4	0	1	4	1	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	11	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	36	4	1	1	12	7	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	1.Политическая партия «Аграрная партия России»	749	34	19	18	35	59	33	4	8	3	2	21	1	1	24	13	13	2	15	8	0	94	4	3	8	6	3	35	7	26	14	1	1	2	43	12	5	0	43	15	6	5	11	33	7	8	15	15	6	8					
		4.57%	3.24%	4.61%	2.46%	2.35%	3.81%	2.69%	1.77%	1.71%	4.92%	1.61%	8.05%	0.77%	1.79%	21.24%	4.81%	3.02%	2.47%	4.55%	4.47%	0.00%	10.41%	5.41%	2.78%	4.02%	7.32%	1.30%	8.64%	3.63%	6.93%	2.59%	2.22%	1.49%	1.68%	6.17%	7.27%	5.56%	0.00%	7.86%	9.93%	3.14%	3.03%	5.56%	6.76%	12.50%	14.04%	3.06%	15.96%	3.92%	4.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	716	45	18	20	24	45	36	17	14	0	0	2	11	0	6	6	13	0	5	0	3	54	2	31	4	1	22	15	17	22	13	0	0	8	67	18	5	0	36	20	21	12	17	25	2	1	17	0	10	11					
		4.37%	4.28%	4.37%	2.74%	1.61%	2.91%	2.93%	7.52%	2.99%	0.00%	0.00%	0.77%	8.46%	0.00%	5.31%	2.22%	3.02%	0.00%	1.52%	0.00%	5.77%	5.98%	2.70%	28.70%	2.01%	1.22%	9.52%	3.70%	8.81%	5.87%	2.40%	0.00%	0.00%	6.72%	9.61%	10.91%	5.56%	0.00%	6.58%	13.25%	10.99%	7.27%	8.59%	5.12%	3.57%	1.75%	3.47%	0.00%	6.54%	5.76%					
20	3.Политическая партия «Демократическая партия России»	18	1	0	0	0	1	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	0	1					
