Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Крапивинская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278					
1	"Число избирателей, внесенных в списки"	18953	282	257	606	719	115	622	271	320	166	702	119	397	259	636	416	153	268	656	191	71	1122	94	660	114	213	1576	1774	1293	977	1887	2017					
2	"Число бюллетеней, полученных участковыми комиссиями"	18579	300	250	580	700	115	600	260	320	170	700	120	380	255	640	440	160	263	650	195	75	1100	100	650	120	186	1500	1700	1200	850	2000	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12661	196	184	515	526	115	534	236	299	149	557	111	279	226	490	416	151	223	516	153	69	755	86	503	108	181	717	772	601	431	1258	1304					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	869	42	32	60	47	0	31	0	7	9	41	0	4	0	8	0	0	16	38	24	0	38	0	59	5	0	63	92	67	47	84	55					
6	Число погашенных бюллетеней	5049	62	34	5	127	0	35	24	14	12	102	9	97	29	142	24	9	24	96	18	6	307	14	88	7	5	720	836	532	372	658	641					
7	Число бюллетеней в переносных ящиках для голосования	869	42	32	60	47	0	31	0	7	9	41	0	4	0	8	0	0	16	38	24	0	38	0	59	5	0	63	92	67	47	84	55					
8	Число бюллетеней в стационарных ящиках для голосования	12659	196	184	515	526	115	534	236	299	149	557	111	279	226	490	416	151	223	516	153	69	755	86	503	108	181	717	772	601	431	1256	1304					
9	Число недействительных бюллетеней	199	4	2	7	4	1	9	0	5	1	2	0	2	0	28	2	5	5	15	0	0	2	0	6	2	1	11	11	4	7	32	31					
10	Число действительных бюллетеней	13329	234	214	568	569	114	556	236	301	157	596	111	281	226	470	414	146	234	539	177	69	791	86	556	111	180	769	853	664	471	1308	1328					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	225	8	4	6	6	4	6	4	4	4	6	4	6	4	6	6	4	4	6	4	2	10	2	6	4	22	9	11	10	10	22	21					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	102	7	3	3	1	0	0	0	0	0	2	0	0	0	1	2	4	1	6	0	0	0	0	2	0	22	8	5	0	0	15	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	109	1	3	2	1	3	4	0	1	1	7	0	3	2	3	0	0	1	1	3	0	25	0	2	0	2	6	18	4	2	7	7					
14	Число погашенных открепительных удостоверений	123	1	1	3	5	4	6	4	4	4	4	4	6	4	5	4	0	3	0	4	2	10	2	4	4	0	1	6	10	10	7	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	171	4	4	5	2	3	11	9	3	4	1	1	2	3	6	0	5	2	12	5	4	13	1	7	0	1	12	13	14	7	11	6					
		1.26%	1.68%	1.85%	0.86%	0.34%	2.60%	1.94%	3.81%	0.98%	2.53%	0.16%	0.90%	0.70%	1.32%	1.20%	0.0%	3.31%	0.83%	2.16%	2.82%	5.79%	1.63%	1.16%	1.24%	0.0%	0.55%	1.53%	1.50%	2.09%	1.46%	0.82%	0.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	85	1	3	5	2	2	2	0	1	0	1	0	0	0	1	0	1	0	7	0	0	6	0	2	0	0	6	8	6	0	18	13					
