Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Свечинская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027					
1	"Число избирателей, внесенных в списки"	7986	1775	1102	1340	813	629	316	187	302	181	191	110	116	218	180	526					
2	"Число бюллетеней, полученных участковыми комиссиями"	8136	1780	1105	1350	840	630	326	201	311	199	201	120	121	217	185	550					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4580	1013	567	726	423	299	193	138	179	123	125	90	91	170	117	326					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	453	26	34	44	62	97	22	7	38	12	20	5	13	14	9	50					
6	Число погашенных бюллетеней	3103	741	504	580	355	234	111	56	94	64	56	25	17	33	59	174					
7	Число бюллетеней в переносных ящиках для голосования	453	26	34	44	62	97	22	7	38	12	20	5	13	14	9	50					
8	Число бюллетеней в стационарных ящиках для голосования	4578	1012	567	725	423	299	193	138	179	123	125	90	91	170	117	326					
9	Число недействительных бюллетеней	78	12	5	11	11	2	7	2	7	3	6	1	1	4	1	5					
10	Число действительных бюллетеней	4953	1026	596	758	474	394	208	143	210	132	139	94	103	180	125	371					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	3	1	4	4	2	0	0	1	1	1	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	5	3	1	2	2	1	1	0	1	0	0	1	1	1	3					
14	Число погашенных открепительных удостоверений	72	7	9	6	1	3	5	5	4	4	4	5	4	5	5	5					
15	Число открепительных удостоверений выданных ТИК	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	57	6	8	12	12	5	3	0	4	0	1	0	1	2	0	3					
		1.13%	0.57%	1.33%	1.56%	2.47%	1.26%	1.39%	0.0%	1.84%	0.0%	0.68%	0.0%	0.96%	1.08%	0.0%	0.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	52	8	14	16	2	5	0	1	1	0	0	0	0	0	0	5					
		1.03%	0.77%	2.32%	2.08%	0.41%	1.26%	0.0%	0.68%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.32%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	193	36	12	26	14	27	5	3	16	7	5	6	11	3	3	19					
		3.83%	3.46%	1.99%	3.38%	2.88%	6.81%	2.32%	2.06%	7.37%	5.18%	3.44%	6.31%	10.57%	1.63%	2.38%	5.05%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	95	29	7	20	12	4	1	2	1	0	1	1	1	2	1	13					
		1.88%	2.79%	1.16%	2.60%	2.47%	1.01%	0.46%	1.37%	0.46%	0.0%	0.68%	1.05%	0.96%	1.08%	0.79%	3.45%					
22	"5. ""За Русь Святую"""	33	5	5	5	3	3	0	0	1	0	2	0	0	1	1	7					
		0.65%	0.48%	0.83%	0.65%	0.61%	0.75%	0.0%	0.0%	0.46%	0.0%	1.37%	0.0%	0.0%	0.54%	0.79%	1.86%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	1	5	0	0	0	2	3	0	0	0	1	0	0	0	0					
