Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Усть-Таркская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1108	УИК №1109	УИК №1111	УИК №1112	УИК №1113	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1126	УИК №1127	УИК №1128	УИК №1130	УИК №1131	УИК №1132	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1142	УИК №1143	УИК №1145									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9499	526	50	63	550	76	73	317	130	414	105	95	326	144	64	298	200	69	328	68	270	139	722	2118	535	249	498	109	346	62	469	86									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9780	590	60	70	550	70	80	320	130	450	110	100	330	150	60	330	200	70	320	70	280	150	700	2150	550	260	500	110	360	70	490	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3810	241	33	32	171	39	24	184	84	141	31	40	115	68	30	128	106	34	125	22	103	47	252	891	183	74	185	53	147	27	130	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	424	53	0	2	50	6	10	32	8	14	0	4	10	6	0	38	3	1	11	0	21	7	35	23	6	11	32	0	26	3	12	0									
6	Число погашенных избирательных бюллетеней	5546	296	27	36	329	25	46	104	38	295	79	56	205	76	30	164	91	35	184	48	156	96	413	1236	361	175	283	57	187	40	348	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	424	53	0	2	50	6	10	32	8	14	0	4	10	6	0	38	3	1	11	0	21	7	35	23	6	11	32	0	26	3	12	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3810	241	33	32	171	39	24	184	84	141	31	40	115	68	30	128	106	34	125	22	103	47	252	891	183	74	185	53	147	27	130	70									
9	Число недействительных избирательных бюллетеней	114	8	0	0	5	1	1	5	1	4	0	1	4	6	0	4	4	2	6	0	2	2	5	20	5	7	6	3	4	0	7	1									
10	Число действительных избирательных бюллетеней	4120	286	33	34	216	44	33	211	91	151	31	43	121	68	30	162	105	33	130	22	122	52	282	894	184	78	211	50	169	30	135	69									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	189	5	2	2	5	2	2	5	2	5	2	2	5	2	2	5	5	2	5	2	5	2	30	40	25	4	5	2	5	2	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	110	5	2	2	1	0	0	2	1	5	2	0	3	0	0	1	0	0	0	0	4	2	17	32	13	3	5	2	5	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	72	2	5	3	3	1	1	2	5	2	2	2	4	2	1	0	2	1	2	0	5	1	4	11	2	2	2	2	2	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	79	0	0	0	4	2	2	3	1	0	0	2	2	2	2	4	5	2	5	2	1	0	13	8	12	1	0	0	0	0	4	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	3	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	2	2	0	0	1	2	10	3	0	2	0	1	1	0	0									
		0.78%	1.02%	3.03%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.27%	0.80%	0.00%	0.00%	0.60%	0.92%	5.71%	1.47%	0.00%	0.00%	1.85%	0.70%	1.09%	1.59%	0.00%	0.92%	0.00%	0.58%	3.33%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	188	12	4	3	7	2	0	9	4	8	2	1	4	2	1	1	5	1	8	1	9	1	13	49	5	4	8	1	9	1	7	6									
