Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Исаклинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10079	1824	1538	258	133	298	126	309	230	119	205	100	154	160	81	763	497	378	687	209	317	199	242	288	324	640									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10425	1892	1584	266	135	325	139	324	237	125	205	105	154	163	86	781	514	391	707	211	327	203	262	292	343	654									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7351	1243	1223	150	109	224	82	226	194	107	130	64	120	116	52	649	455	256	441	152	238	148	201	198	175	398									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1207	95	132	68	13	50	35	48	24	6	40	17	29	30	24	52	32	52	47	20	44	26	33	32	67	191									
6	Число погашенных избирательных бюллетеней	1867	554	229	48	13	51	22	50	19	12	35	24	5	17	10	80	27	83	219	39	45	29	28	62	101	65									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1207	95	132	68	13	50	35	48	24	6	40	17	29	30	24	52	32	52	47	20	44	26	33	32	67	191									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7351	1243	1223	150	109	224	82	226	194	107	130	64	120	116	52	649	455	256	441	152	238	148	201	198	175	398									
9	Число недействительных избирательных бюллетеней	136	22	36	0	4	3	1	0	0	0	0	0	0	8	2	0	8	8	9	1	7	4	2	15	2	4									
10	Число действительных избирательных бюллетеней	8422	1316	1319	218	118	271	116	274	218	113	170	81	149	138	74	701	479	300	479	171	275	170	232	215	240	585									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	311	45	40	8	2	23	11	15	6	4	13	4	2	4	2	20	16	16	12	5	8	3	9	8	16	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	311	45	40	8	2	23	11	15	6	4	13	4	2	4	2	20	16	16	12	5	8	3	9	8	16	19									
