Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Хвойнинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11433	2029	1548	1042	466	688	85	1257	222	196	147	224	810	438	305	344	283	1178	171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11665	2042	1545	1066	469	676	112	1293	229	208	149	236	834	446	323	361	293	1208	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4952	950	654	426	184	212	50	593	98	97	65	109	366	161	132	156	136	455	108									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	700	48	36	26	18	88	19	46	22	26	27	22	111	62	18	35	10	63	23									
6	Число погашенных избирательных бюллетеней	6013	1044	855	614	267	376	43	654	109	85	57	105	357	223	173	170	147	690	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	700	48	36	26	18	88	19	46	22	26	27	22	111	62	18	35	10	63	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4946	948	654	423	183	212	50	593	98	97	65	109	366	161	132	156	136	455	108									
9	Число недействительных избирательных бюллетеней	119	17	20	9	5	8	0	7	2	3	2	4	11	2	4	9	5	10	1									
10	Число действительных избирательных бюллетеней	5527	979	670	440	196	292	69	632	118	120	90	127	466	221	146	182	141	508	130									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	413	31	30	30	10	30	27	40	15	15	10	15	30	20	20	20	15	40	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	256	22	13	6	5	6	27	35	9	15	10	15	25	7	10	20	2	20	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	148	22	13	8	8	19	0	5	9	5	5	5	18	2	3	6	4	10	6									
14	Число погашенных неиспользованных открепительных удостоверений	157	9	17	24	5	24	0	5	6	0	0	0	5	13	10	0	13	20	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	132	18	10	14	11	11	0	3	10	0	0	1	14	3	7	6	11	12	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	48	9	7	2	3	3	0	9	1	1	0	0	2	1	1	5	2	2	0									
		0.85%	0.90%	1.01%	0.45%	1.49%	1.00%	0.00%	1.41%	0.83%	0.81%	0.00%	0.00%	0.42%	0.45%	0.67%	2.62%	1.37%	0.39%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	141	25	9	12	6	4	0	26	3	4	2	3	13	3	6	10	0	13	2									
		2.50%	2.51%	1.30%	2.67%	2.99%	1.33%	0.00%	4.07%	2.50%	3.25%	2.17%	2.29%	2.73%	1.35%	4.00%	5.24%	0.00%	2.51%	1.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	19	20	8	5	7	0	17	1	3	3	2	5	4	6	2	3	11	0									
		2.05%	1.91%	2.90%	1.78%	2.49%	2.33%	0.00%	2.66%	0.83%	2.44%	3.26%	1.53%	1.05%	1.79%	4.00%	1.05%	2.05%	2.12%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2808	491	310	214	93	114	44	278	61	64	59	87	257	126	79	92	86	256	97									
		49.73%	49.30%	44.93%	47.66%	46.27%	38.00%	63.77%	43.51%	50.83%	52.03%	64.13%	66.41%	53.88%	56.50%	52.67%	48.17%	58.90%	49.42%	74.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	32	6	2	3	3	5	0	2	0	0	1	1	1	2	1	2	0	3	0									
		0.57%	0.60%	0.29%	0.67%	1.49%	1.67%	0.00%	0.31%	0.00%	0.00%	1.09%	0.76%	0.21%	0.90%	0.67%	1.05%	0.00%	0.58%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1									
		0.12%	0.20%	0.14%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.76%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	965	156	109	61	28	101	9	126	18	22	11	13	89	39	22	28	25	89	19									
		17.09%	15.66%	15.80%	13.59%	13.93%	33.67%	13.04%	19.72%	15.00%	17.89%	11.96%	9.92%	18.66%	17.49%	14.67%	14.66%	17.12%	17.18%	14.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	36	8	2	2	3	3	0	5	1	0	0	0	7	2	0	0	1	1	1									
		0.64%	0.80%	0.29%	0.45%	1.49%	1.00%	0.00%	0.78%	0.83%	0.00%	0.00%	0.00%	1.47%	0.90%	0.00%	0.00%	0.68%	0.19%	0.76%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	50	11	10	7	2	2	0	4	1	1	2	1	3	0	1	1	1	2	1									
		0.89%	1.10%	1.45%	1.56%	0.99%	0.67%	0.00%	0.63%	0.83%	0.81%	2.17%	0.76%	0.63%	0.00%	0.67%	0.52%	0.68%	0.39%	0.76%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	1	0	0	1	0	3	0	1	0	0	0	1	0	0	0	1	1									
		0.18%	0.10%	0.14%	0.00%	0.00%	0.33%	0.00%	0.47%	0.00%	0.81%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.19%	0.76%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	46	9	7	7	1	0	0	4	3	0	0	2	2	2	1	6	0	2	0									
		0.81%	0.90%	1.01%	1.56%	0.50%	0.00%	0.00%	0.63%	2.50%	0.00%	0.00%	1.53%	0.42%	0.90%	0.67%	3.14%	0.00%	0.39%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	919	172	123	80	37	28	15	132	22	19	7	13	76	35	16	29	14	94	7									
		16.28%	17.27%	17.83%	17.82%	18.41%	9.33%	21.74%	20.66%	18.33%	15.45%	7.61%	9.92%	15.93%	15.70%	10.67%	15.18%	9.59%	18.15%	5.34%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	3	4	1	2	5	0	1	1	0	1	0	1	1	0	0	0	1	0									
		0.37%	0.30%	0.58%	0.22%	0.99%	1.67%	0.00%	0.16%	0.83%	0.00%	1.09%	0.00%	0.21%	0.45%	0.00%	0.00%	0.00%	0.19%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	328	67	65	43	13	18	1	25	6	5	4	5	10	5	13	7	9	31	1									
		5.81%	6.73%	9.42%	9.58%	6.47%	6.00%	1.45%	3.91%	5.00%	4.07%	4.35%	3.82%	2.10%	2.24%	8.67%	3.66%	6.16%	5.98%	0.76%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
