Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Мценская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505					
1	"Число избирателей, внесенных в список избирателей"	15954	525	327	552	644	386	461	276	337	189	427	302	421	184	238	647	398	248	599	301	799	685	401	356	387	294	226	762	503	782	486	91	350	1951	419					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16545	536	332	558	695	454	477	292	374	187	417	289	427	199	230	667	391	255	606	317	857	711	404	365	407	300	259	774	518	864	509	107	369	1976	422					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9932	386	257	387	331	255	306	169	235	166	322	228	311	152	131	440	207	160	302	189	485	269	136	143	288	207	97	482	235	459	354	51	241	1280	271					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3448	92	32	117	60	84	76	90	68	14	72	48	82	29	94	154	144	62	200	73	111	308	194	171	68	58	63	130	132	237	91	28	47	137	82					
6	Число погашенных избирательных бюллетеней	3164	58	43	54	304	115	95	33	71	7	23	13	34	18	5	73	40	33	104	55	261	134	74	50	51	35	99	162	151	168	64	28	81	559	69					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3448	92	32	117	60	84	76	90	68	14	72	48	82	29	94	154	144	62	200	73	111	308	194	171	68	58	63	130	132	237	91	28	47	137	82					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9932	386	257	387	331	255	306	169	235	166	322	228	311	152	131	440	207	160	302	189	485	269	136	143	288	207	97	482	235	459	354	51	241	1280	271					
9	Число недействительных избирательных бюллетеней	150	9	3	0	9	0	0	2	0	0	2	0	2	1	23	24	0	0	0	3	0	0	0	1	1	2	15	6	3	2	0	2	16	22	2					
10	Число действительных избирательных бюллетеней	13230	469	286	504	382	339	382	257	303	180	392	276	391	180	202	570	351	222	502	259	596	577	330	313	355	263	145	606	364	694	445	77	272	1395	351					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	965	45	15	25	55	55	20	15	40	10	15	25	15	15	5	35	10	25	30	20	40	20	25	25	15	25	25	60	45	85	30	15	15	50	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	665	11	5	9	49	55	20	15	40	2	6	2	15	15	3	35	10	7	16	20	40	20	3	4	15	24	25	19	13	85	30	15	15	18	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	109	4	3	4	1	2	1	5	4	3	4	4	2	0	2	3	6	2	10	5	9	1	2	3	3	4	0	3	2	6	3	1	0	6	1					
14	Число погашенных неиспользованных открепительных удостоверений	300	34	10	16	6	0	0	0	0	8	9	23	0	0	2	0	0	18	14	0	0	0	22	21	0	1	0	41	32	0	0	0	0	32	11					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
