Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    район Очаково-Матвеевское																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №3761									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	72172	1025	3062	2129	2237	2674	2154	2318	2502	2226	2096	2768	2343	2298	2176	2318	2792	2128	2431	2190	1706	1853	2415	2378	2202	2530	2672	2107	2575	2361	2412	2728	366									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63350	750	2700	1900	2000	2400	1950	2050	2200	2000	1900	2400	2000	2050	1950	2100	2250	1900	2000	1950	1350	1400	2150	2050	2000	2300	2300	1900	2300	2100	2150	2400	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24094	411	953	621	651	707	781	827	846	761	721	985	883	730	758	728	890	626	1110	645	663	1227	739	785	674	836	865	551	673	722	780	869	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	888	219	16	16	21	23	28	20	24	12	31	28	24	30	18	20	2	26	5	30	0	31	3	19	22	15	9	25	29	13	21	6	102									
6	Число погашенных избирательных бюллетеней	38368	120	1731	1263	1328	1670	1141	1203	1330	1227	1148	1387	1093	1290	1174	1352	1358	1248	885	1275	687	142	1408	1246	1304	1449	1426	1324	1598	1365	1349	1525	322									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	888	219	16	16	21	23	28	20	24	12	31	28	24	30	18	20	2	26	5	30	0	31	3	19	22	15	9	25	29	13	21	6	102									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23957	411	953	621	629	702	781	765	846	761	721	985	877	730	758	708	890	626	1110	645	662	1227	739	785	662	836	864	549	670	720	779	869	76									
9	Число недействительных избирательных бюллетеней	483	28	15	8	14	11	14	12	4	28	7	24	11	12	17	15	15	11	16	11	7	32	13	13	57	20	8	5	13	13	10	18	1									
10	Число действительных избирательных бюллетеней	24362	602	954	629	636	714	795	773	866	745	745	989	890	748	759	713	877	641	1099	664	655	1226	729	791	627	831	865	569	686	720	790	857	177									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	890	10	20	30	30	30	30	20	20	20	30	30	30	30	20	30	30	30	80	30	30	30	30	30	20	30	30	20	30	30	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	441	3	7	13	18	11	11	10	10	12	10	15	10	18	11	11	18	10	64	17	11	14	13	12	13	20	13	9	13	15	12	17	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1770	111	8	5	34	3	27	54	78	42	24	119	110	56	51	40	264	69	107	73	17	11	22	113	33	127	72	15	12	15	37	20	1									
14	Число погашенных неиспользованных открепительных удостоверений	449	7	13	17	12	19	19	10	10	8	20	15	20	12	9	19	12	20	16	13	19	16	17	18	7	10	17	11	17	15	18	13	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	99	0	3	2	0	0	4	1	3	1	1	1	1	0	0	4	3	1	40	5	2	2	1	0	0	1	4	2	5	3	6	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	653	6	24	32	29	20	29	9	3	16	20	32	27	19	23	16	8	14	19	5	26	62	29	20	15	21	22	7	23	25	21	25	6									
		2.63%	0.95%	2.48%	5.02%	4.46%	2.76%	3.58%	1.15%	0.34%	2.07%	2.66%	3.16%	2.99%	2.50%	2.96%	2.20%	0.90%	2.15%	1.70%	0.74%	3.93%	4.93%	3.91%	2.49%	2.19%	2.47%	2.52%	1.22%	3.29%	3.41%	2.63%	2.86%	3.37%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	398	13	8	6	11	16	14	9	2	7	14	17	12	3	11	9	23	11	13	15	5	10	26	17	12	16	13	15	24	10	19	12	5									
		1.60%	2.06%	0.83%	0.94%	1.69%	2.21%	1.73%	1.15%	0.23%	0.91%	1.86%	1.68%	1.33%	0.39%	1.42%	1.24%	2.58%	1.69%	1.17%	2.22%	0.76%	0.79%	3.50%	2.11%	1.75%	1.88%	1.49%	2.61%	3.43%	1.36%	2.38%	1.37%	2.81%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	491	8	10	15	12	19	24	14	4	10	19	40	30	9	15	14	15	19	0	10	11	10	21	15	4	21	23	3	26	17	34	14	5									
		1.98%	1.27%	1.03%	2.35%	1.85%	2.62%	2.97%	1.78%	0.46%	1.29%	2.53%	3.95%	3.33%	1.18%	1.93%	1.92%	1.68%	2.91%	0.00%	1.48%	1.66%	0.79%	2.83%	1.87%	0.58%	2.47%	2.63%	0.52%	3.72%	2.32%	4.25%	1.60%	2.81%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12314	434	595	256	251	329	385	507	496	424	204	312	263	440	278	435	444	392	726	407	361	719	266	472	251	423	316	368	288	337	329	534	72									
		49.56%	68.89%	61.40%	40.19%	38.62%	45.38%	47.59%	64.59%	57.01%	54.85%	27.13%	30.80%	29.19%	57.89%	35.82%	59.75%	49.78%	60.12%	65.11%	60.30%	54.53%	57.15%	35.85%	58.71%	36.70%	49.71%	36.20%	64.11%	41.20%	45.98%	41.13%	61.03%	40.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	319	7	9	10	5	11	12	7	3	12	14	20	23	4	15	8	5	6	18	8	10	18	13	5	3	9	16	2	11	16	10	7	2									
		1.28%	1.11%	0.93%	1.57%	0.77%	1.52%	1.48%	0.89%	0.34%	1.55%	1.86%	1.97%	2.55%	0.53%	1.93%	1.10%	0.56%	0.92%	1.61%	1.19%	1.51%	1.43%	1.75%	0.62%	0.44%	1.06%	1.83%	0.35%	1.57%	2.18%	1.25%	0.80%	1.12%									
24	"6. Политическая партия ""Гражданская Платформа"""	67	2	0	3	3	5	1	4	3	1	0	3	4	1	3	4	0	1	0	3	2	5	3	0	3	5	3	1	1	0	2	1	0									
		0.27%	0.32%	0.00%	0.47%	0.46%	0.69%	0.12%	0.51%	0.34%	0.13%	0.00%	0.30%	0.44%	0.13%	0.39%	0.55%	0.00%	0.15%	0.00%	0.44%	0.30%	0.40%	0.40%	0.00%	0.44%	0.59%	0.34%	0.17%	0.14%	0.00%	0.25%	0.11%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3033	35	64	81	96	42	59	58	141	68	77	142	159	103	131	46	195	51	164	69	56	137	121	90	103	120	145	60	122	75	139	65	19									
		12.21%	5.56%	6.60%	12.72%	14.77%	5.79%	7.29%	7.39%	16.21%	8.80%	10.24%	14.02%	17.65%	13.55%	16.88%	6.32%	21.86%	7.82%	14.71%	10.22%	8.46%	10.89%	16.31%	11.19%	15.06%	14.10%	16.61%	10.45%	17.45%	10.23%	17.38%	7.43%	10.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	498	20	20	11	21	25	14	15	3	17	34	24	21	12	15	15	10	4	11	9	20	19	23	15	11	19	23	1	12	15	16	16	7									
		2.00%	3.17%	2.06%	1.73%	3.23%	3.45%	1.73%	1.91%	0.34%	2.20%	4.52%	2.37%	2.33%	1.58%	1.93%	2.06%	1.12%	0.61%	0.99%	1.33%	3.02%	1.51%	3.10%	1.87%	1.61%	2.23%	2.63%	0.17%	1.72%	2.05%	2.00%	1.83%	3.93%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	732	14	26	30	28	39	23	10	2	24	36	53	33	6	41	13	11	11	18	8	34	37	32	24	16	11	26	4	16	41	29	31	5									
