Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Режевская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786					
1	"Число избирателей, внесенных в списки"	39294	2213	2046	2097	2593	2812	990	2546	1292	1172	2239	1461	2243	1895	1509	1957	1847	457	310	684	285	1013	154	526	129	486	881	186	996	183	561	1190	109	232					
2	"Число бюллетеней, полученных участковыми комиссиями"	38212	2200	2000	2000	2500	2600	950	2500	1200	1100	2200	1400	2200	1900	1500	1950	1800	380	300	680	280	1000	157	500	135	480	900	190	950	177	580	1180	103	220					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15915	853	773	971	1141	978	281	792	373	531	977	641	994	753	709	731	666	302	129	324	130	399	78	225	70	178	390	93	371	65	287	490	72	148					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1222	34	30	27	32	44	46	64	54	13	22	24	74	72	25	55	63	40	39	10	21	28	17	21	12	27	40	15	81	44	41	103	4	0					
6	Число погашенных бюллетеней	21075	1313	1197	1002	1327	1578	623	1644	773	556	1201	735	1132	1075	766	1164	1071	38	132	346	129	573	62	254	53	275	470	82	498	68	252	587	27	72					
7	Число бюллетеней в переносных ящиках для голосования	1222	34	30	27	32	44	46	64	54	13	22	24	74	72	25	55	63	40	39	10	21	28	17	21	12	27	40	15	81	44	41	103	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	15914	853	773	970	1141	978	281	792	373	531	977	641	994	753	709	731	666	302	129	324	130	399	78	225	70	178	390	93	371	65	287	490	72	148					
9	Число недействительных бюллетеней	265	10	9	9	24	18	6	16	0	15	7	9	11	9	10	9	4	22	0	11	6	11	0	4	4	1	14	4	2	1	5	12	0	2					
10	Число действительных бюллетеней	16871	877	794	988	1149	1004	321	840	427	529	992	656	1057	816	724	777	725	320	168	323	145	416	95	242	78	204	416	104	450	108	323	581	76	146					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	397	12	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	115	7	4	2	11	5	1	5	2	7	7	5	10	5	3	9	7	0	2	3	0	5	0	1	2	4	2	0	0	0	2	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	4	9	4	10	7	3	3	0	3	4	1	3	1	5	2	5	0	9	0	2	2	2	0	2	2	0	0	22	3	3	2	11	2					
14	Число погашенных открепительных удостоверений	282	5	16	18	9	15	19	15	18	13	13	15	10	15	17	11	13	5	3	2	5	0	5	4	3	1	3	5	5	5	3	1	5	5					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	250	9	7	15	11	12	3	13	7	19	9	9	10	9	6	15	7	8	2	4	1	11	2	3	0	9	17	2	9	3	5	10	0	3					
		1.45%	1.01%	0.87%	1.50%	0.93%	1.17%	0.91%	1.51%	1.63%	3.49%	0.90%	1.35%	0.93%	1.09%	0.81%	1.90%	0.96%	2.33%	1.19%	1.19%	0.66%	2.57%	2.10%	1.21%	0.0%	4.39%	3.95%	1.85%	1.99%	2.75%	1.52%	1.68%	0.0%	2.02%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	501	28	44	48	49	21	14	12	9	23	40	33	30	24	22	16	22	6	3	1	2	6	2	6	1	1	13	3	9	1	2	9	1	0					
		2.92%	3.15%	5.47%	4.81%	4.17%	2.05%	4.28%	1.40%	2.10%	4.22%	4.00%	4.96%	2.80%	2.90%	2.99%	2.03%	3.01%	1.75%	1.78%	0.29%	1.32%	1.40%	2.10%	2.43%	1.21%	0.48%	3.02%	2.77%	1.99%	0.91%	0.60%	1.51%	1.31%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	842	50	41	57	49	41	15	33	20	44	64	51	58	43	44	39	28	12	4	12	8	24	1	3	3	6	14	7	17	6	19	19	3	7					
		4.91%	5.63%	5.10%	5.71%	4.17%	4.01%	4.58%	3.85%	4.68%	8.08%	6.40%	7.66%	5.43%	5.21%	5.99%	4.96%	3.84%	3.50%	2.38%	3.59%	5.29%	5.62%	1.05%	1.21%	3.65%	2.92%	3.25%	6.48%	3.76%	5.50%	5.79%	3.20%	3.94%	4.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	996	68	38	59	68	58	20	38	39	35	55	35	61	50	70	31	32	6	7	12	8	24	17	30	4	12	38	4	13	11	7	33	6	7					
		5.81%	7.66%	4.73%	5.91%	5.79%	5.67%	6.11%	4.43%	9.13%	6.43%	5.50%	5.26%	5.71%	6.06%	9.53%	3.94%	4.38%	1.75%	4.16%	3.59%	5.29%	5.62%	17.89%	12.19%	4.87%	5.85%	8.83%	3.70%	2.87%	10.09%	2.13%	5.56%	7.89%	4.72%					
22	"5. ""За Русь Святую"""	78	5	3	2	0	2	0	6	1	2	8	4	6	3	4	3	3	2	2	5	0	0	1	1	1	1	4	1	0	1	1	6	0	0					
