Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва											
Дата голосования: 07.12.2003 0:00:00											
											
Наименование Избирательной комиссии:    Шмидтовская											
											
Сводная таблица итогов голосования  по федеральному округу											
											
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66					
1	"Число избирателей, внесенных в списки"	1238	430	436	231	141					
2	"Число бюллетеней, полученных участковыми комиссиями"	1200	404	417	235	144					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	203	0	0	203	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	776	317	308	27	124					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	51	32	17	0	2					
6	Число погашенных бюллетеней	170	55	92	5	18					
7	Число бюллетеней в переносных ящиках для голосования	254	32	17	203	2					
8	Число бюллетеней в стационарных ящиках для голосования	776	317	308	27	124					
9	Число недействительных бюллетеней	49	45	4	0	0					
10	Число действительных бюллетеней	981	304	321	230	126					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	95	15	15	50	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	3	2	25	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	65	12	13	25	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0					
											
18	"1. ""ЕДИНЕНИЕ"""	22	4	6	1	11					
		2.13%	1.14%	1.84%	0.43%	8.73%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	15	4	4	5	2					
		1.45%	1.14%	1.23%	2.17%	1.58%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	34	11	15	4	4					
		3.30%	3.15%	4.61%	1.73%	3.17%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	21	5	6	7	3					
		2.03%	1.43%	1.84%	3.04%	2.38%					
22	"5. ""За Русь Святую"""	4	1	2	1	0					
		0.38%	0.28%	0.61%	0.43%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	2	2	4	0					
		0.77%	0.57%	0.61%	1.73%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	2	0	0	0					
		0.19%	0.57%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	12	5	5	1	1					
		1.16%	1.43%	1.53%	0.43%	0.79%					
28	"11. ""Истинные патриоты России"""	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	13	2	10	0	1					
		1.26%	0.57%	3.07%	0.0%	0.79%					
30	"13. ""Демократическая партия России"""	2	2	0	0	0					
		0.19%	0.57%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	1	1	0	0					
		0.19%	0.28%	0.30%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	2	1	1	0	0					
		0.19%	0.28%	0.30%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	42	15	17	7	3					
		4.07%	4.29%	5.23%	3.04%	2.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	1	0	1	0	0					
		0.09%	0.0%	0.30%	0.0%	0.0%					
35	"18. ""ЛДПР"""	119	22	52	33	12					
		11.55%	6.30%	16.0%	14.34%	9.52%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	10	2	4	3	1					
		0.97%	0.57%	1.23%	1.30%	0.79%					
37	"20. ""Политическая партия ""Единая Россия"""	590	196	171	145	78					
		57.28%	56.16%	52.61%	63.04%	61.90%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	3	0	2	0					
		0.48%	0.85%	0.0%	0.86%	0.0%					
39	"22. ""Развитие предпринимательства"""	6	4	1	1	0					
		0.58%	1.14%	0.30%	0.43%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	40	15	8	13	4					
		3.88%	4.29%	2.46%	5.65%	3.17%					
											
41	Против всех	31	7	15	3	6					
		3.00%	2.00%	4.61%	1.30%	4.76%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
