Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																	
Дата голосования: 04.12.2011																																																																																																																	
																																																																																																																	
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																	
																																																																																																																	
Сводная таблица результатов выборов																																																																																																																	
																																																																																																																	
		Сумма	УИК №176	УИК №177	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282					
1	"Число избирателей, внесенных в список избирателей"	209619	1862	2066	1520	2114	2046	2092	2326	2234	2234	2315	1544	2002	2222	2090	1948	2129	2462	268	1651	1378	2341	1306	2319	2606	2329	2255	2529	1501	2116	1539	2286	2292	2704	2663	1856	354	2012	1938	2065	2614	2032	1808	2024	2203	1901	2470	2053	1543	2083	1898	2289	2225	2422	1850	2403	2144	2220	2016	1339	1647	1073	2686	1281	1190	2186	2462	2194	2422	2492	296	2176	2335	2075	2015	1193	1601	1774	1901	911	2572	1876	1556	2647	2195	2576	1612	2338	1862	1411	1571	2253	1573	2379	1945	1530	2080	1430	957	2542	2662	2290	2338	2670	2217	1308	2268					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	191890	1700	2030	1400	1900	1900	1900	2100	2100	2000	2100	1400	1800	2000	1900	1800	2000	2300	400	1500	1300	2000	1200	2100	2400	2200	2100	2300	1400	2000	1400	2100	2100	2500	2500	1700	400	1800	1800	1900	2300	1800	1700	1800	2000	1800	2300	1900	1400	1800	1700	2000	2000	2300	1700	2200	2000	2000	1700	1200	1500	1000	2300	1200	1100	1900	2300	2000	2200	2300	300	2000	2100	2000	1800	1100	1500	1600	1700	800	2400	1700	1410	2500	2000	2400	1500	2200	1600	1200	1400	2100	1500	2300	1800	1400	2000	1050	800	2400	2500	2100	2100	2500	2000	1200	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	128291	1396	1053	652	810	1412	1331	1013	1136	926	1009	1266	1773	1972	1388	1456	1152	1271	253	904	871	1531	655	1397	1601	1355	1188	1052	922	1355	536	942	740	1610	1361	861	176	1325	1546	1275	1644	1277	675	1041	1756	1013	1140	710	885	1214	1150	1259	1928	1317	1060	967	1163	1491	1497	460	1237	591	1668	752	764	1077	1017	1665	1095	1126	135	1308	1434	1236	1341	375	764	1385	1291	700	1780	1126	1407	2132	1632	1882	1189	1588	1063	736	1326	1517	1161	1874	1615	1274	1470	785	508	1765	1813	1435	1543	2373	1626	1051	1540					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3294	11	8	51	22	35	35	27	36	117	60	9	20	21	21	35	17	32	15	42	49	24	23	28	33	32	30	49	12	26	85	100	108	23	16	24	178	25	20	23	20	70	77	122	14	18	35	14	36	30	21	28	27	23	28	16	15	12	16	22	43	34	31	17	12	100	35	28	29	40	21	26	24	32	33	2	16	29	39	14	29	19	3	24	19	20	35	22	16	44	13	36	18	22	46	11	16	5	0	14	11	41	15	12	11	6	15					
6	Число погашенных избирательных бюллетеней	60304	293	969	697	1068	453	534	1060	928	957	1031	125	7	7	491	309	831	997	132	554	380	445	522	675	766	813	882	1199	466	619	779	1058	1252	867	1123	815	46	450	234	602	636	453	948	637	230	769	1125	1176	479	556	529	713	45	960	612	1217	822	497	187	718	220	375	601	431	324	723	1247	307	1076	1134	144	666	642	732	426	723	720	186	370	86	591	555	0	344	349	498	276	590	521	420	61	547	321	404	139	115	514	260	292	621	676	624	542	115	363	143	545					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3294	11	8	51	22	35	35	27	36	117	60	9	20	21	21	35	17	32	15	42	49	24	23	28	33	32	30	49	12	26	85	100	108	23	16	24	178	25	20	23	20	70	77	122	14	18	35	14	36	30	21	28	27	23	28	16	15	12	16	22	43	34	31	17	12	100	35	28	29	40	21	26	24	32	33	2	16	29	39	14	29	19	3	24	19	20	35	22	16	44	13	36	18	22	46	11	16	5	0	14	11	41	15	12	11	6	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	127078	1306	1053	652	810	1412	1331	1012	1136	770	1009	1266	1773	1972	1367	1456	1134	1252	253	904	871	1334	655	1395	1601	1352	1188	1052	910	1355	536	942	740	1610	1361	861	176	1325	1526	1275	1644	1277	673	1041	1756	1013	1140	710	880	1214	1150	1259	1928	1223	981	965	1163	1491	1492	460	1211	590	1668	752	764	1077	1017	1665	1094	1126	135	1308	1434	1165	1341	375	764	1385	1291	637	1767	1126	1407	1840	1625	1882	1189	1586	1063	736	1326	1517	1161	1874	1615	1269	1470	785	508	1762	1813	1435	1543	2370	1626	1051	1540					
9	Число недействительных избирательных бюллетеней	1151	15	20	0	9	139	0	17	10	16	18	0	0	0	0	6	7	24	3	2	2	172	8	7	9	12	9	43	6	0	11	34	2	9	6	0	5	2	0	17	10	13	0	0	47	3	13	8	10	0	8	2	0	18	12	15	0	13	10	7	3	6	20	14	0	3	0	12	0	28	0	0	0	16	13	5	0	9	8	10	14	7	0	0	0	2	8	15	14	8	1	13	11	0	3	13	0	0	7	1	11	12	8	18	1	3	5					
10	Число действительных избирательных бюллетеней	129221	1302	1041	703	823	1308	1366	1022	1162	871	1051	1275	1793	1993	1388	1485	1144	1260	265	944	918	1186	670	1416	1625	1372	1209	1058	916	1381	610	1008	846	1624	1371	885	349	1348	1546	1281	1654	1334	750	1163	1723	1028	1162	716	906	1244	1163	1285	1955	1228	997	966	1178	1490	1498	475	1251	618	1679	755	776	1174	1052	1681	1123	1138	156	1334	1458	1181	1361	372	780	1405	1322	641	1782	1138	1410	1864	1644	1900	1216	1593	1065	772	1338	1540	1168	1896	1658	1267	1486	790	501	1775	1813	1464	1550	2364	1636	1054	1550					
