Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Железноводская городская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419					
1	"Число избирателей, внесенных в списки"	38526	2329	1170	1421	1665	1627	1334	1353	1698	1594	1652	623	1624	16	36	14	16	25	8	21	51	9	4	26	41	31	1369	2283	1718	1763	1779	1825	978	961	1569	1732	420	1241	1156	14	1330					
2	"Число бюллетеней, полученных участковыми комиссиями"	40277	2196	1151	1356	1591	1611	1334	1367	1652	1518	1551	591	1593	300	220	102	200	320	152	152	200	300	102	300	300	300	1630	2071	1670	1741	1682	1749	938	916	1552	1659	420	1179	1143	200	1268					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18159	1020	623	701	821	767	605	666	804	758	776	305	660	14	36	14	15	24	8	21	49	9	4	26	41	30	1014	1033	695	768	695	727	397	420	655	787	420	568	499	14	670					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	857	14	36	50	23	19	25	35	20	31	27	31	65	0	0	0	0	0	0	0	0	0	0	0	0	0	59	55	54	30	11	67	29	4	70	33	0	20	28	0	21					
6	Число погашенных бюллетеней	21261	1162	492	605	747	825	704	666	828	729	748	255	868	286	184	88	185	296	144	131	151	291	98	274	259	270	557	983	921	943	976	955	512	492	827	839	0	591	616	186	577					
7	Число бюллетеней в переносных ящиках для голосования	857	14	36	50	23	19	25	35	20	31	27	31	65	0	0	0	0	0	0	0	0	0	0	0	0	0	59	55	54	30	11	67	29	4	70	33	0	20	28	0	21					
8	Число бюллетеней в стационарных ящиках для голосования	18184	1020	623	731	821	767	604	666	804	758	776	305	660	14	36	14	15	24	8	21	49	9	4	26	41	30	1013	1033	695	768	695	724	397	420	655	787	420	568	499	14	670					
9	Число недействительных бюллетеней	218	6	7	8	14	14	5	5	7	16	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	19	14	10	12	8	5	3	2	8	12	1	6	4	0	18					
10	Число действительных бюллетеней	18823	1028	652	773	830	772	624	696	817	773	797	336	717	14	36	14	15	24	8	21	49	9	4	26	41	30	1053	1074	739	786	698	786	423	422	717	808	419	582	523	14	673					
