Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																							
Дата голосования: 02.12.2007																							
																							
Наименование Избирательной комиссии:    Свирская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084					
1	"Число избирателей, внесенных в списки избирателей"	11510	889	770	611	666	765	691	811	785	802	690	708	922	809	868	349	374					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11395	840	750	640	675	770	665	820	765	770	685	715	890	785	855	340	430					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6700	483	412	428	403	454	415	439	489	469	457	406	457	395	497	173	323					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	812	31	27	28	63	36	35	75	28	66	46	112	57	66	66	51	25					
6	Число погашенных избирательных бюллетеней	3883	326	311	184	209	280	215	306	248	235	182	197	376	324	292	116	82					
7	Число избирательных бюллетеней в переносных ящиках для голосования	812	31	27	28	63	36	35	75	28	66	46	112	57	66	66	51	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6699	483	412	428	403	454	415	439	489	468	457	406	457	395	497	173	323					
9	Число недействительных избирательных бюллетеней	58	1	2	3	4	6	5	7	7	6	0	5	2	3	3	1	3					
10	Число действительных избирательных бюллетеней	7453	513	437	453	462	484	445	507	510	528	503	513	512	458	560	223	345					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	498	25	30	35	30	30	30	30	30	30	20	30	30	30	30	30	58					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	302	8	28	35	12	23	10	19	11	15	13	23	15	10	17	5	58					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	143	6	11	12	7	9	13	7	9	12	8	10	8	6	16	7	2					
14	Число погашенных неиспользованных открепительных удостоверений	196	17	2	0	18	7	20	11	19	15	7	7	15	20	13	25	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	1.Политическая партия «Аграрная партия России»	170	9	19	20	17	6	14	10	5	13	14	16	7	6	7	2	5					
		2.26%	1.75%	4.33%	4.39%	3.65%	1.22%	3.11%	1.95%	0.97%	2.43%	2.78%	3.09%	1.36%	1.30%	1.24%	0.89%	1.44%					
19	2.Всероссийская политическая партия «Гражданская Сила»	48	4	2	5	4	6	0	4	4	1	2	6	2	3	5	0	0					
		0.64%	0.78%	0.46%	1.10%	0.86%	1.22%	0.00%	0.78%	0.77%	0.19%	0.40%	1.16%	0.39%	0.65%	0.89%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	20	0	0	0	4	5	1	1	2	2	1	1	1	1	1	0	0					
		0.27%	0.00%	0.00%	0.00%	0.86%	1.02%	0.22%	0.19%	0.39%	0.37%	0.20%	0.19%	0.19%	0.22%	0.18%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	518	39	29	22	46	22	36	24	37	40	42	72	31	31	18	10	19					
		6.90%	7.59%	6.61%	4.82%	9.87%	4.49%	8.00%	4.67%	7.16%	7.49%	8.35%	13.90%	6.03%	6.72%	3.20%	4.46%	5.46%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	305	11	14	44	27	19	13	13	27	40	26	38	12	10	8	2	1					
		4.06%	2.14%	3.19%	9.65%	5.79%	3.88%	2.89%	2.53%	5.22%	7.49%	5.17%	7.34%	2.33%	2.17%	1.42%	0.89%	0.29%					
23	6.Политическая партия «Партия социальной справедливости»	13	0	0	0	0	0	1	2	2	1	1	1	2	1	2	0	0					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.39%	0.39%	0.19%	0.20%	0.19%	0.39%	0.22%	0.36%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	755	62	40	26	53	55	49	52	52	49	42	43	58	51	65	20	38					
		10.05%	12.06%	9.11%	5.70%	11.37%	11.22%	10.89%	10.12%	10.06%	9.18%	8.35%	8.30%	11.28%	11.06%	11.55%	8.93%	10.92%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	648	48	30	58	34	35	53	47	38	55	50	60	32	38	44	14	12					
