Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Холмская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271					
1	"Число избирателей, внесенных в списки"	39994	203	2758	1028	666	1258	556	116	328	1016	326	263	1756	195	2326	1072	405	2676	1500	2250	1545	2065	1079	2362	1966	1979	1335	2355	996	371	2034	471	738					
2	"Число бюллетеней, полученных участковыми комиссиями"	39385	203	2713	1036	696	1213	533	226	315	983	334	238	1794	192	2276	1028	387	2614	1476	2187	1457	2030	1077	2341	1904	1921	1315	2334	943	357	2062	421	779					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17828	116	1161	419	300	656	251	113	134	503	164	133	630	46	1054	455	154	1034	642	935	719	980	547	1023	902	833	660	1064	373	157	1038	230	402					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	534	2	39	27	14	17	33	3	11	11	4	0	8	2	9	10	8	19	8	38	34	4	17	5	59	26	30	25	5	4	15	14	33					
6	Число погашенных бюллетеней	21023	85	1513	590	382	540	249	110	170	469	166	105	1156	144	1213	563	225	1561	826	1214	704	1046	513	1313	943	1062	625	1245	565	196	1009	177	344					
7	Число бюллетеней в переносных ящиках для голосования	534	2	39	27	14	17	33	3	11	11	4	0	8	2	9	10	8	19	8	38	34	4	17	5	59	26	30	25	5	4	15	14	33					
8	Число бюллетеней в стационарных ящиках для голосования	17826	116	1161	419	300	656	251	113	134	503	164	133	630	46	1054	455	154	1034	642	935	719	980	547	1023	901	833	659	1064	373	157	1038	230	402					
9	Число недействительных бюллетеней	286	9	6	17	9	15	16	2	0	14	2	5	7	1	15	5	3	17	9	15	11	6	0	8	9	7	14	16	5	4	16	12	11					
10	Число действительных бюллетеней	18074	109	1194	429	305	658	268	114	145	500	166	128	631	47	1048	460	159	1036	641	958	742	978	564	1020	951	852	675	1073	373	157	1037	232	424					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	596	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	13	13					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	182	11	11	6	2	1	1	0	1	6	0	0	9	0	4	4	0	15	8	12	15	7	8	5	7	4	7	10	5	4	11	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	90	2	6	6	1	0	2	1	1	2	3	0	1	1	5	3	1	5	5	0	5	3	3	5	1	2	5	3	1	0	4	7	6					
