Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Обнинская городская																																													
																																													
Сводная таблица предварительных итогов голосования																																													
																																													
		Сумма	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586					
1	"Число избирателей, внесенных в список избирателей"	88500	3115	1322	1652	2347	164	2460	2256	2529	2285	2463	2361	2835	2858	2833	2795	2895	2718	2886	2835	2333	2527	2781	2499	2596	2488	2051	776	1907	2812	2558	2551	2355	2672	2118	1221	799	2816	3031					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85700	2600	1300	1600	2300	200	2450	2200	2450	2100	2450	2300	2800	2850	2750	2750	2850	2650	2850	2750	2300	2500	2700	2450	2550	2450	2000	800	1800	2800	2400	2500	2150	2600	2050	1200	750	2750	2750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	45688	1725	576	865	1183	38	1223	1157	1322	1093	1432	1308	1442	1490	1409	1328	1493	1466	1530	1576	1220	1276	1528	1450	1415	1309	1126	494	920	1427	879	1221	967	1536	1170	508	378	1518	1690					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	977	30	8	15	19	101	35	18	20	67	22	32	15	23	28	17	19	12	15	16	22	21	31	19	17	28	8	0	7	15	108	26	19	29	12	34	6	31	32					
6	Число погашенных избирательных бюллетеней	39035	845	716	720	1098	61	1192	1025	1108	940	996	960	1343	1337	1313	1405	1338	1172	1305	1158	1058	1203	1141	981	1118	1113	866	306	873	1358	1413	1253	1164	1035	868	658	366	1201	1028					
7	Число избирательных бюллетеней в переносных ящиках для голосования	977	30	8	15	19	101	35	18	20	67	22	32	15	23	28	17	19	12	15	16	22	21	31	19	17	28	8	0	7	15	108	26	19	29	12	34	6	31	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45646	1725	576	865	1180	38	1222	1157	1322	1092	1430	1305	1439	1487	1407	1324	1490	1464	1530	1576	1216	1276	1528	1450	1413	1307	1126	494	920	1425	879	1221	967	1535	1170	507	378	1515	1690					
9	Число недействительных избирательных бюллетеней	789	51	11	11	23	2	24	19	17	24	24	17	24	24	28	19	15	12	26	31	22	22	37	21	17	28	19	12	9	28	13	26	23	22	21	6	5	30	26					
10	Число действительных избирательных бюллетеней	45834	1704	573	869	1176	137	1233	1156	1325	1135	1428	1320	1430	1486	1407	1322	1494	1464	1519	1561	1216	1275	1522	1448	1413	1307	1115	482	918	1412	974	1221	963	1542	1161	535	379	1516	1696					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1451	30	56	30	40	0	50	30	30	40	35	40	50	30	50	50	30	30	50	50	40	50	50	50	50	50	40	40	30	30	35	60	50	35	40	20	10	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	652	22	46	7	10	0	22	15	11	9	16	17	21	10	30	20	19	19	25	16	16	13	24	14	25	12	17	40	9	15	17	17	13	18	14	8	2	18	25					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	715	115	18	19	11	8	3	13	55	7	10	15	17	10	19	19	16	16	11	12	12	8	25	16	30	12	13	19	12	9	20	18	12	39	15	8	4	32	17					
14	Число погашенных неиспользованных открепительных удостоверений	799	8	10	23	30	0	28	15	19	31	19	23	29	20	20	30	11	11	25	34	24	37	26	36	25	38	23	0	21	15	18	43	37	17	26	12	8	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	0	0	3	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	15	0	1	0	1	0	1	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
