Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Беломорская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16175	707	1984	1441	1978	1232	1448	710	697	468	117	273	204	367	372	130	210	1493	446	1311	411	176									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13780	500	1500	1300	1500	1000	1300	700	500	400	110	230	180	350	370	110	200	1400	400	1200	370	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5489	185	549	565	692	500	450	238	244	172	71	113	95	148	94	60	83	459	160	437	121	53									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	480	15	15	13	12	17	6	28	16	13	0	8	6	16	49	5	13	77	44	66	33	28									
6	Число погашенных избирательных бюллетеней	7811	300	936	722	796	483	844	434	240	215	39	109	79	186	227	45	104	864	196	697	216	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	480	15	15	13	12	17	6	28	16	13	0	8	6	16	49	5	13	77	44	66	33	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5486	185	549	563	692	500	450	238	244	172	71	113	95	148	94	60	83	458	160	437	121	53									
9	Число недействительных избирательных бюллетеней	191	4	15	28	21	12	25	8	10	4	0	3	5	10	3	0	1	20	3	15	4	0									
10	Число действительных избирательных бюллетеней	5775	196	549	548	683	505	431	258	250	181	71	118	96	154	140	65	95	515	201	488	150	81									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	20	20	20	30	20	30	20	20	20	20	20	20	20	20	20	20	30	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	127	0	9	18	14	4	14	6	2	2	2	3	0	2	14	0	9	2	6	19	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	90	5	10	6	10	4	5	2	1	0	1	9	5	4	7	3	0	1	8	4	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	323	20	11	2	16	16	16	14	18	18	18	17	20	18	6	20	11	28	14	1	19	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	3	3	2	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	63	4	5	6	16	10	5	3	2	1	2	1	0	0	0	0	0	3	1	0	3	1									
		1.06%	2.00%	0.89%	1.04%	2.27%	1.93%	1.10%	1.13%	0.77%	0.54%	2.82%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.49%	0.00%	1.95%	1.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	152	4	16	18	28	8	16	6	6	6	0	4	0	1	1	1	0	16	4	11	5	1									
		2.55%	2.00%	2.84%	3.13%	3.98%	1.55%	3.51%	2.26%	2.31%	3.24%	0.00%	3.31%	0.00%	0.61%	0.70%	1.54%	0.00%	2.99%	1.96%	2.19%	3.25%	1.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	173	8	18	16	26	14	12	11	6	4	0	4	2	4	2	0	6	16	4	14	5	1									
		2.90%	4.00%	3.19%	2.78%	3.69%	2.71%	2.63%	4.14%	2.31%	2.16%	0.00%	3.31%	1.98%	2.44%	1.40%	0.00%	6.25%	2.99%	1.96%	2.78%	3.25%	1.23%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2525	71	237	206	245	230	163	96	117	91	49	61	46	88	78	28	49	242	103	200	81	44									
		42.32%	35.50%	42.02%	35.76%	34.80%	44.49%	35.75%	36.09%	45.00%	49.19%	69.01%	50.41%	45.54%	53.66%	54.55%	43.08%	51.04%	45.23%	50.49%	39.76%	52.60%	54.32%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	51	3	9	8	6	7	2	1	2	1	0	1	2	0	2	1	0	3	1	1	0	1									
