Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Ичалковская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338					
1	"Число избирателей, внесенных в списки"	16959	345	200	271	271	507	514	480	536	568	570	565	638	604	387	270	487	149	161	277	199	631	640	615	591	535	510	268	122	199	372	167	76	277	234	135	231	437	382	250	414	192	346	169	627	409	131					
2	"Число бюллетеней, полученных участковыми комиссиями"	17700	340	210	280	270	530	550	520	550	570	580	570	660	630	380	280	510	150	180	300	210	660	670	660	640	560	540	290	130	210	380	180	90	280	250	140	240	450	410	260	430	200	350	180	670	420	140					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14685	302	151	228	256	420	490	412	480	466	457	486	570	516	354	223	458	105	118	174	147	483	530	520	566	477	484	227	122	163	282	125	66	274	209	133	223	434	365	240	389	176	270	149	529	335	101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1749	37	41	40	7	68	12	52	47	72	80	43	45	60	22	46	21	43	43	96	52	101	84	65	10	42	10	31	0	30	89	41	9	0	22	0	4	0	10	10	25	13	71	15	57	57	26					
6	Число погашенных бюллетеней	1266	1	18	12	7	42	48	56	23	32	43	41	45	54	4	11	31	2	19	30	11	76	56	75	64	41	46	32	8	17	9	14	15	6	19	7	13	16	35	10	16	11	9	16	84	28	13					
7	Число бюллетеней в переносных ящиках для голосования	1749	37	41	40	7	68	12	52	47	72	80	43	45	60	22	46	21	43	43	96	52	101	84	65	10	42	10	31	0	30	89	41	9	0	22	0	4	0	10	10	25	13	71	15	57	57	26					
8	Число бюллетеней в стационарных ящиках для голосования	14681	302	151	228	256	420	490	412	480	466	457	486	570	516	354	223	458	105	118	174	147	482	530	518	566	477	484	227	122	163	282	125	66	274	209	133	223	434	365	240	389	176	270	149	528	335	101					
9	Число недействительных бюллетеней	83	0	0	0	15	1	1	0	0	0	5	0	0	0	0	10	4	0	0	2	1	4	0	3	1	1	1	10	3	2	6	0	2	0	2	0	0	0	3	0	0	2	0	0	4	0	0					
10	Число действительных бюллетеней	16347	339	192	268	248	487	501	464	527	538	532	529	615	576	376	259	475	148	161	268	198	579	614	580	575	518	493	248	119	191	365	166	73	274	229	133	227	434	372	250	414	187	341	164	581	392	127					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	6	4	5	6	10	10	10	10	10	10	10	10	11	6	5	8	3	3	4	4	10	10	11	10	10	10	4	2	3	6	3	1	5	4	2	4	7	6	5	7	3	5	3	11	7	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	0	4	0	1	0	3	4	2	8	10	1	4	0	0	0	1	0	0	0	0	0	3	0	3	0	2	1	0	2	0	0	1	0	0	1	1	1	1	0	1	0	2	0	7	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	2	2	1	0	1	0	2	4	2	1	0	0	9	7	3	3	3	1	1	1	0	0	0	0	3	0	0	0	1	3	0	1	3	3	0	3	0	2	0	0	1	2	2	0	1	1					
14	Число погашенных открепительных удостоверений	234	6	0	5	5	10	7	6	8	2	0	9	6	11	6	5	7	3	3	4	4	10	7	11	7	10	8	3	2	1	6	3	0	5	4	1	3	6	5	5	6	3	3	3	4	5	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	"1. ""ЕДИНЕНИЕ"""	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	2	0					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.83%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.51%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	275	0	3	2	4	2	9	6	19	11	10	2	2	42	3	1	7	0	0	3	1	16	5	19	10	9	9	0	0	15	1	0	0	11	0	6	0	0	3	8	1	1	7	6	13	8	0					
		1.67%	0.0%	1.56%	0.74%	1.52%	0.40%	1.79%	1.29%	3.60%	2.04%	1.86%	0.37%	0.32%	7.29%	0.79%	0.37%	1.46%	0.0%	0.0%	1.11%	0.50%	2.74%	0.81%	3.25%	1.73%	1.73%	1.82%	0.0%	0.0%	7.77%	0.26%	0.0%	0.0%	4.01%	0.0%	4.51%	0.0%	0.0%	0.8%	3.2%	0.24%	0.52%	2.05%	3.65%	2.22%	2.04%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	28	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	5	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	4	2	0	0	0	5	1	0	3	0					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.17%	0.0%	0.0%	1.04%	0.67%	0.0%	0.0%	0.0%	0.17%	0.16%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.44%	0.92%	0.53%	0.0%	0.0%	0.0%	1.46%	0.60%	0.0%	0.76%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	50	2	1	3	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	3	0	6	0	1	0	1	2	0	1	3	2	0	0	0	0	2	0	0	0	0	15	0					
		0.30%	0.58%	0.52%	1.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.85%	0.41%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	1.21%	0.0%	0.81%	0.0%	0.26%	1.20%	0.0%	0.36%	1.29%	1.50%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	3.82%	0.0%					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	28	0	0	0	0	0	10	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	1.99%	0.64%	0.0%	0.74%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
