Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Пенжинская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29					
1	"Число избирателей, внесенных в списки"	2034	62	684	229	470	73	297	219					
2	"Число бюллетеней, полученных участковыми комиссиями"	2051	62	670	232	476	77	305	229					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	4	0	4	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1346	46	405	172	307	56	200	160					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	41	0	16	2	11	0	8	4					
6	Число погашенных бюллетеней	659	16	244	58	158	21	97	65					
7	Число бюллетеней в переносных ящиках для голосования	45	0	20	2	11	0	8	4					
8	Число бюллетеней в стационарных ящиках для голосования	1345	46	404	172	307	56	200	160					
9	Число недействительных бюллетеней	24	1	12	5	2	1	3	0					
10	Число действительных бюллетеней	1366	45	412	169	316	55	205	164					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	78	0	20	10	22	10	10	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	13	0	2	0	7	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	2	0	4	0	1	0					
14	Число погашенных открепительных удостоверений	65	0	18	10	15	8	10	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	2	0	0	0					
16	Число утраченных бюллетеней	1	0	1	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	50	7	14	11	6	2	6	4					
		3.59%	15.21%	3.30%	6.32%	1.88%	3.57%	2.88%	2.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	23	0	2	3	12	0	2	4					
		1.65%	0.0%	0.47%	1.72%	3.77%	0.0%	0.96%	2.43%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	50	3	12	10	9	1	9	6					
		3.59%	6.52%	2.83%	5.74%	2.83%	1.78%	4.32%	3.65%					
