Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
Наименование Избирательной комиссии:    Вологодская городская																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
1	"Число избирателей, внесенных в список избирателей"	248729	641	1044	2652	1568	1622	1485	1886	2366	867	1420	2016	1834	1641	1312	1724	1781	2012	2033	601	2381	2338	2505	2116	1494	1617	628	2767	2614	2931	1274	2574	2352	2155	2835	2828	2891	331	2567	1840	2862	2390	2543	2428	2615	2674	2112	1973	1940	2129	1803	1971	2571	2241	2358	1823	1818	1352	1369	1291	2765	1503	1282	2350	1742	1181	1231	2396	2115	2459	1645	2399	1991	2871	2532	2816	288	1343	1745	821	2749	1577	1442	1877	2065	2267	1895	1862	1730	2490	2537	2316	2055	475	1154	2688	1905	1644	2497	2653	2875	2460	1896	2676	2368	2908	2296	2346	2757	1718	2745	2400	1630	1516	1882	1524	2598	2437	2060	2252	2187	1601	1917	2186	353	404	67	272	140	66	27	25	31	284	26	90	67	95	63	66	259					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	225475	500	1000	2500	1500	1500	1400	1800	2000	1300	1300	1900	1800	1500	1200	1600	1600	2000	2000	600	2000	2000	2000	2000	1500	1500	500	2500	2500	2500	1000	2500	2000	2000	2500	2500	2500	300	2500	1500	2500	2000	2500	2000	2500	2500	2000	1500	1500	2000	1500	1600	2500	2000	2000	1500	1500	1100	1100	1000	2500	1300	1000	2000	1500	1000	1000	2000	2000	2000	1500	2000	1600	2500	2500	2500	250	1300	1600	800	2500	1500	1400	1700	2000	2000	1800	1700	1600	2300	2200	2000	2000	400	1000	2500	1800	1500	2000	2500	2500	2300	1800	2700	2200	2500	2000	2000	2500	1500	2500	2200	1500	1500	1500	1500	2500	2000	2000	2000	2000	1500	1900	2000	350	450	100	400	350	100	100	100	100	275	50	200	100	150	100	100	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	136667	337	688	1420	882	905	891	1113	1266	849	819	1200	1070	1025	737	957	960	1028	949	230	1198	1186	1200	1109	737	778	336	1510	1365	1289	685	1346	1184	1200	1520	1645	1611	148	1275	853	1532	1437	1474	1443	1527	1511	1083	1033	1192	1207	877	1084	1537	1204	1088	846	964	683	812	718	1554	824	615	1375	916	580	630	1198	1121	1393	994	1348	1106	1410	1363	1637	171	895	961	495	1434	874	814	1062	1222	1340	1087	1228	960	1119	1157	1149	777	189	453	1349	971	957	1298	1479	1665	1295	1168	1874	1346	1280	1224	1225	1602	922	1520	1304	923	873	1179	890	1537	1422	1196	1301	1241	846	1244	1217	301	404	67	272	131	66	21	25	31	235	26	90	65	65	63	65	188					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2577	0	0	24	25	30	16	33	10	18	25	23	15	20	21	14	31	15	20	3	18	34	48	25	15	14	2	29	44	21	8	26	33	50	8	15	12	9	22	13	28	13	35	16	22	31	20	15	10	14	19	19	21	29	60	30	7	3	15	12	21	20	16	25	30	15	8	40	23	17	11	25	7	21	38	35	3	24	12	14	44	26	22	16	21	28	33	30	37	22	21	19	12	0	10	10	17	17	17	26	22	11	14	7	16	44	25	15	7	8	17	13	18	15	14	9	13	14	15	18	17	47	21	36	0	0	0	0	0	0	0	0	0	18	0	0	0	21	0	0	61					
6	Число погашенных избирательных бюллетеней	86231	163	312	1056	593	565	493	654	724	433	456	677	715	455	442	629	609	957	1031	367	784	780	752	866	748	708	162	961	1091	1190	307	1128	783	750	972	840	877	143	1203	634	940	550	991	541	951	958	897	452	298	779	604	497	942	767	852	624	529	414	273	270	925	456	369	600	554	405	362	762	856	590	495	627	487	1069	1099	828	76	381	627	291	1022	600	564	622	757	632	680	442	603	1159	1022	832	1211	211	537	1141	812	526	685	995	813	994	618	819	838	1176	751	760	891	570	963	883	559	612	307	601	950	564	789	681	742	607	635	747	49	46	33	128	219	34	79	75	69	22	24	110	35	64	37	35	251					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2577	0	0	24	25	30	16	33	10	18	25	23	15	20	21	14	31	15	20	3	18	34	48	25	15	14	2	29	44	21	8	26	33	50	8	15	12	9	22	13	28	13	35	16	22	31	20	15	10	14	19	19	21	29	60	30	7	3	15	12	21	20	16	25	30	15	8	40	23	17	11	25	7	21	38	35	3	24	12	14	44	26	22	16	21	28	33	30	37	22	21	19	12	0	10	10	17	17	17	26	22	11	14	7	16	44	25	15	7	8	17	13	18	15	14	9	13	14	15	18	17	47	21	36	0	0	0	0	0	0	0	0	0	18	0	0	0	21	0	0	61					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	136553	336	688	1417	881	904	891	1112	1264	849	819	1199	1070	1025	735	957	960	1012	949	230	1196	1183	1199	1109	737	778	336	1508	1364	1289	683	1346	1184	1200	1519	1645	1608	148	1271	853	1532	1437	1474	1441	1527	1509	1083	1033	1192	1207	876	1081	1535	1204	1087	844	964	683	812	717	1533	824	615	1373	916	580	630	1198	1121	1393	994	1347	1106	1408	1363	1636	171	895	961	495	1433	872	814	1062	1221	1339	1087	1227	960	1119	1157	1149	776	189	453	1349	970	957	1297	1479	1662	1295	1168	1874	1342	1278	1224	1225	1602	922	1513	1304	923	873	1179	890	1537	1422	1196	1301	1241	846	1244	1217	301	404	67	272	131	66	21	25	31	235	26	90	65	64	63	65	188					
9	Число недействительных избирательных бюллетеней	2637	4	5	28	16	15	12	10	30	14	18	27	26	14	16	19	13	18	18	8	15	24	29	23	14	23	7	30	21	21	17	15	24	26	34	36	29	6	17	9	25	27	15	34	30	15	15	21	36	30	13	28	38	27	34	21	7	8	22	9	16	23	7	40	23	16	8	18	15	25	16	24	19	28	15	22	4	12	19	9	36	14	22	31	25	28	19	19	18	22	17	26	18	7	7	31	27	17	27	44	28	24	21	21	24	23	35	26	23	2	33	25	13	25	22	16	22	24	21	29	18	21	20	20	17	29	1	8	5	2	1	2	1	12	1	1	4	5	1	4	7					
10	Число действительных избирательных бюллетеней	136493	332	683	1413	890	919	895	1135	1244	853	826	1195	1059	1031	740	952	978	1009	951	225	1199	1193	1218	1111	738	769	331	1507	1387	1289	674	1357	1193	1224	1493	1624	1591	151	1276	857	1535	1423	1494	1423	1519	1525	1088	1027	1166	1191	882	1072	1518	1206	1113	853	964	678	805	720	1538	821	624	1358	923	579	630	1220	1129	1385	989	1348	1094	1401	1386	1649	170	907	954	500	1441	884	814	1047	1217	1339	1101	1238	979	1119	1161	1142	770	182	456	1328	960	957	1287	1461	1656	1282	1161	1860	1334	1299	1214	1214	1586	928	1497	1292	928	863	1171	883	1528	1412	1190	1290	1240	872	1245	1233	284	375	66	264	126	64	20	23	30	241	25	89	61	80	62	61	242					
